,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007158845977287079,0.00721089535764772,0.0,0.0,0.0,0.0,0.007915835549631229,0.0,0.008912596546601639,0.00937864319527208,0.01228189977666458,0.014656478297402074,0.015698230850397222,0.018336067439757218,0.018165968109793443,0.016019697482949808,0.012916178653985071,0.012811920148996615,0.01294097431652939,0.013646748321991215,0.017312416535325104,0.020599214033796547,0.02148164614349211,0.022106111851119527,0.023634140811073803,0.026411453820432633,0.02898311111512412,0.031614767790072475,0.03202283095177504,0.031462520346183694,0.03228118819932023,0.03307418494675096,0.030199488558289005,0.03075770553329835,0.030404416177379934,0.0294003723978637,0.02792890942628911,0.02754127548806565,0.026764761557475515,0.027336200786683317,0.028213952820489344,0.030440045484539102,0.03262162380876498,0.03366751338655217,0.03510337341156083,0.03660361404627245,0.037046226533393276,0.0365075965132897,0.03782113283826384,0.04005270525869066,0.04213323590935539,0.042632295201665185,0.043252473524891755,0.04848943239587256,0.051839123762113894,0.05223030323570101,0.051491178580434976,0.04151492010719742,0.01669941061259683,0.017276398851885075,0.017513985782935833,0.017783704248016965,0.018507747732939308,0.019371773854345804,0.020207872736695262,0.02109068190158167,0.022112049954536448,0.023412060092655257,0.025112821231776633,0.026520766615484644,0.027710589976841046,0.029618306642438454,0.03160298783992452,0.03389177705289328,0.03734358154855941,0.040726084845686274,0.044340454461875525,0.04751591197903946,0.04909308726368444,0.05158762039850086,0.05815001137391482,0.06274264820877824,0.062263325127048574
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003205409811858461,0.0031439494577346146,0.0,0.0,0.0,0.0,0.0020981787735775766,0.0,0.0016496759805446981,0.0015869215497897413,0.001970051992678987,0.0025288086241998416,0.0027310203772821394,0.003486876965429042,0.00326487824259437,0.0034412511070106393,0.004088415032814313,0.003710364186879444,0.0042194341861547715,0.005123248018213647,0.004435659517713742,0.004023548677244005,0.005780970404419526,0.007144147683606819,0.006759915207440986,0.0061920324233285745,0.005794792240544904,0.00588433782901963,0.006156955998673536,0.006224464188991723,0.006164515496121458,0.0059550279616592825,0.0053854818530661664,0.004366682482234691,0.004046449733392508,0.003707542296587135,0.003473775050109538,0.0034503356143901326,0.0032742751667192297,0.0027338627001604753,0.002727171847520874,0.0029365094459812492,0.0031542640272051847,0.003075988393498508,0.0028446293928785266,0.002587429557187646,0.0029407297355355296,0.0034965240152460457,0.003750280499935085,0.004272458073132237,0.00447275699747597,0.004717673885809856,0.005215295790791206,0.0049734220753623005,0.00531017436355501,0.0060686852000485444,0.005212643132228041,0.007269541003146343,0.002518395719162545,0.002777707913759966,0.002625483729355139,0.002624862843918386,0.0026303364777035517,0.0027925008703319452,0.0030981115749153508,0.0030987064422419116,0.0029554889477356283,0.003063289054110881,0.0030201121721225637,0.00272453623724447,0.002346626550641106,0.002113182058002831,0.0020599770964220216,0.0021432772796732224,0.00216215342055406,0.002332599908799093,0.0021147530549649545,0.0021128320530203726,0.0018007316909512481,0.0017561899186609026,0.0016928520089005137,0.0022247851270139314,0.0019309521836320869
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003218488816375915,0.003154828352240862,0.0,0.0,0.0,0.0,0.004447459526589844,0.0,0.004251381194541025,0.004319478706383379,0.003169362582462625,0.002511257139426309,0.0023215706294643914,0.0017243413719842092,0.0016202165027192404,0.0016624950794056402,0.0012966444487608822,0.0012859726763290405,0.001423582040547563,0.0015068307615305459,0.001288281325898238,0.0018325123256818954,0.0030650215969743547,0.003986167756371995,0.004246560754689116,0.004351901101375829,0.005045435378446342,0.005681977192365984,0.005524622712912958,0.006522388478514796,0.006748774829821139,0.007471588261160111,0.006566439885870162,0.006637544987861416,0.007189533614955595,0.006790380845727244,0.007850107115985725,0.008404229876557864,0.009250517508138115,0.009066625715836402,0.008939363244023207,0.009060798920557049,0.009416591619343322,0.00975942773918813,0.009555660145574475,0.01020359259207547,0.010581825806068491,0.009393457011941808,0.007459663975149588,0.006482596069543621,0.0058574357055737325,0.004780493366981428,0.004324909252131842,0.005742179051516754,0.005464463768088303,0.0054981458780687005,0.006516544681293522,0.0066652363829436635,0.004108855824834931,0.004446864356783876,0.005046965149022512,0.0055587885404355455,0.0055502313553799885,0.0057297632330975175,0.005377986394427607,0.005329656700812078,0.0055928320076226,0.005901099138062344,0.006453062244427501,0.006799138152978171,0.00705694169932282,0.0071616962581991205,0.007311533223496135,0.0077195130513171934,0.007932912221380619,0.008185673576884869,0.008342867293426254,0.008632168745714241,0.00967815973086647,0.009853760941566224,0.00979425354020611,0.009865865409343469,0.008677364062366391
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007583432948946653,0.00751270565510731,0.0,0.0,0.0,0.0,0.005571333339553031,0.0,0.0048800614473557945,0.004504757009410255,0.004454520058607891,0.004498569852710477,0.004307933366227775,0.003564848972030217,0.003813410140910176,0.00449793561364032,0.005634849176644981,0.005867324753166738,0.00696620516721975,0.010152348546822468,0.012935930862379584,0.01256550309873638,0.012188952773278468,0.011366629977826385,0.010748100683745435,0.00967813510281982,0.01013034383691309,0.009505088391220431,0.008862932639573771,0.007974170692498218,0.007506731027862137,0.006979359775897285,0.006972561433689669,0.005980808963367158,0.0059222321986670285,0.005306198509719617,0.0044980466942086674,0.004097760015988277,0.003970033074978552,0.004042217239038677,0.0044978657498479626,0.00465492986156193,0.004598770941501373,0.004847100094787822,0.005424240736687413,0.005755776760095599,0.006571872126473871,0.007641815963999961,0.007904251141224483,0.007459891348427175,0.007376356825785761,0.007383650431927007,0.007709623497968986,0.008088066337841406,0.008844281687743972,0.009266019772482969,0.007186064927732966,0.006431618084429205,0.007318872985330329,0.007046151124069682,0.006911187137922239,0.006934237473753354,0.0068785626883573385,0.006965149798933484,0.007570605343409735,0.007744830272032242,0.0076463812701853965,0.007771169472932256,0.007362290353724299,0.00690329076597976,0.006736745022737635,0.006483867430437602,0.006020688589466951,0.005664721116813484,0.005085186561666257,0.004215346336412249,0.004126738264292999,0.0033858607468705408,0.002594452802171271,0.0020826652704684727,0.0019523543456821263,0.0016738517381238488,0.002053998325253285
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007583432948946651,0.007512705655107309,0.0,0.0,0.0,0.0,0.005571333339553031,0.0,0.005553300405252687,0.005348456806426082,0.005931003351083342,0.006637980924050103,0.006265932171323591,0.005231787482141406,0.0054510920463285584,0.005462319191291285,0.005551541875481261,0.00593602808626346,0.006971561411517929,0.00806109165927729,0.008016939071040017,0.008218058963075871,0.007812500425442402,0.007894010080276116,0.00877611653795531,0.009055739015724124,0.00946832730699609,0.0092133516748983,0.009396078416678251,0.011506422844589463,0.011768071395590293,0.012769726850373166,0.014109715426506212,0.015447389070681097,0.01614140735828869,0.015032880411813544,0.014876124730047091,0.014554121006688832,0.014358466230251984,0.013947677662872358,0.012998261964413373,0.011969358445972298,0.011506904752838287,0.011880230334918083,0.013088642159497375,0.01347153752561889,0.01333149587383519,0.013421672332382487,0.013928079296853605,0.015449813951375495,0.015748926338314425,0.01531886420311232,0.015307063356303812,0.016070330798769874,0.016687648629618197,0.017873951288319583,0.017718006781626335,0.01649449028249646,0.006183822049489414,0.006355864279332065,0.006675577670021406,0.006911039880828519,0.007135660766462253,0.00735255194023085,0.007120881913945331,0.007204664394108501,0.007342961883166656,0.007437253847205629,0.008116658084903071,0.008507495752437153,0.00891134942102774,0.009272468783445158,0.00944472804873076,0.009601717435916242,0.009803146428737405,0.010932734402797163,0.01262439702740652,0.012717335120908658,0.012921003070188404,0.013702041300617878,0.01416170432827836,0.017301018082309983,0.02003809881761026
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007590123825822707,0.007520354822831735,0.0,0.0,0.0,0.0,0.010275594780054492,0.0,0.010139621399812867,0.0102786229205934,0.009324528231744818,0.008620634616721192,0.008815021846108469,0.008897455556245326,0.00919779849572289,0.009804650877654742,0.010427520134544217,0.010627925593435646,0.011685154737627813,0.013804203221840405,0.0163727412257986,0.01940532782459723,0.024441360074358962,0.02746363415252156,0.03021015424458186,0.03403930994436867,0.03845711458783174,0.04298555393050147,0.045909708578815246,0.050403381246183064,0.05387285718180098,0.05915673632763649,0.06355269780594623,0.06829549926718748,0.07082734758932664,0.07442006593156482,0.07887718246543161,0.08213014815583734,0.08629588400106755,0.09110080597885471,0.09434791938511264,0.09952720566925809,0.1036946857477441,0.10921979729846826,0.113013607091674,0.11735480711548044,0.12299176885923006,0.12722217391509458,0.13040967964224437,0.13693557638122134,0.14275045228601782,0.15084913353652712,0.1587232606693813,0.17498690720673585,0.1897856840238502,0.21025348601808455,0.24476954033639095,0.31026931586905787,0.5442994025535705,0.5303393596347016,0.5125600161246133,0.5026963471788093,0.488775937499993,0.4795646830171964,0.4669467305739471,0.4540799568919999,0.43793758595415894,0.4222927218823436,0.41340558036096287,0.4056757230245769,0.39634331261207034,0.3863804238248039,0.37658389712256984,0.37148444897476457,0.3675799213071539,0.36417459472139124,0.3617146222441084,0.360813658963713,0.3634341780565886,0.36900986390825324,0.38043796553235343,0.40696971026767376,0.4543547669309906
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003226690731393037,0.003163652303316216,0.0,0.0,0.0,0.0,0.0021086572509885783,0.0,0.0016594803153014387,0.0015995835669143723,0.002189656800660249,0.003210640125142771,0.0034605439337088277,0.003425448700302434,0.004086319692893305,0.005751815935938363,0.0075623544200879,0.0077973851753939,0.009504259273255279,0.01442321219835242,0.02056765911123141,0.027111399828509755,0.03765921248592541,0.04568920574228929,0.05036088163718055,0.05576032953671606,0.06236027081911276,0.0686685149678152,0.07398436135645557,0.08500872214075805,0.09134501496742885,0.10137696613059953,0.10890984319019736,0.12098179994006175,0.1281543465239013,0.13401933587565737,0.14962617922169089,0.15718368019229098,0.16289351598772767,0.16307588383291552,0.1625982389940373,0.16213850869832627,0.16090423467321652,0.15906745214935372,0.15019984113403637,0.14062724256010745,0.13365553069272168,0.1291707629425669,0.12218836858776369,0.11427494884446684,0.10666004294588438,0.0995765528055808,0.09189325541382957,0.08410749688225384,0.07609512901549378,0.06740358456422714,0.05696113485011452,0.04553116322983111,0.019222767261425456,0.022759770302922963,0.02768233774591776,0.03186190685570311,0.03625227024674549,0.03962482253241834,0.04191404049737626,0.045841399125268585,0.05044525557438648,0.05341007104176231,0.06040142719022886,0.06608123659816563,0.070201025507885,0.0753518520466804,0.0797629901133154,0.08238621455966887,0.08405279735726927,0.08363862775520048,0.08378289488797429,0.08317206122908183,0.08064151694042367,0.07851458113238452,0.07190255487228188,0.06328545876049738,0.04878493691222777
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014105794692398461,0.01441958156784408,0.0,0.0,0.0,0.0,0.019713647777272147,0.0,0.022004962406538486,0.022457116880018103,0.021421976218590006,0.018866411216020795,0.019289047712351265,0.02147260762098447,0.02261862972390452,0.022694274405785902,0.021646664506955505,0.02282615119624829,0.023100534342891405,0.02111535995223454,0.02072666293379052,0.023171578491168972,0.023084031346960913,0.02299701774093031,0.025321945291130323,0.027339342832424812,0.027514918439021083,0.028072283900988582,0.029495971757335565,0.030425184004400925,0.032109954151256045,0.03537820539859316,0.037768051503428206,0.03996162172999279,0.03879962513625617,0.036913703392447206,0.033854013315465156,0.033004417809259494,0.03305828405531488,0.03514260514527663,0.036205739122152615,0.03731990572873484,0.03911981951161015,0.04081305915257623,0.041696457652911134,0.04452011906850905,0.0464752896555898,0.04564621754072075,0.04435920924539701,0.04388357511203966,0.04438853727219654,0.045660711913099866,0.044360662806678004,0.042337589845191384,0.04117206424623984,0.03887032590998714,0.03546506630263586,0.031808661439675166,0.011857357635405272,0.013579809134005664,0.01519276056062731,0.01596412361055667,0.01740351545255748,0.019050579873411046,0.02093038818247526,0.022080322620738738,0.02348689521231245,0.025148447117259626,0.026701076775514553,0.029381880210533992,0.03175259570753144,0.03370689986499507,0.03694585446287956,0.04055925483830664,0.04324772653180115,0.0474764163633039,0.05116162615702175,0.0547441876342131,0.058918698761709784,0.06272345011465516,0.06415213139971651,0.06375689584877811,0.058834761804263454
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003218488816375915,0.0031548283522408616,0.0,0.0,0.0,0.0,0.004466390363216757,0.0,0.0049519707643609434,0.005375110760116635,0.005955613753245313,0.006649318296457402,0.006275644168809617,0.0056904122884878,0.005777147863137405,0.005046615036976001,0.0041488268260426895,0.0045219008652856605,0.0048877128332943534,0.005866941424645014,0.006785660002097464,0.007116137276081609,0.008180646002292676,0.008605740201289422,0.008462410087577402,0.00876784951144623,0.00927914484477691,0.010401599383849915,0.010021639878590222,0.009505841589315956,0.008394281679371037,0.008333504733571011,0.008379982664989707,0.009390722118214543,0.009684337321084901,0.00905750261267759,0.009136470733961101,0.008708611303528535,0.008257911329439897,0.007787658555631489,0.007987757971358821,0.00782001543982762,0.008264387937608047,0.00871923231708691,0.009205955345333073,0.009080283764375278,0.008424424912730736,0.007983394010024406,0.007703906357798121,0.007850546284984878,0.008279771246069654,0.00823406541364946,0.008187951560947105,0.008137268121780441,0.007962324057173634,0.009463359010070236,0.011437196379448721,0.010091654804779925,0.0075745583916064394,0.008129772710727078,0.008547076420572085,0.008214104450647188,0.008383075311374284,0.008641385076649265,0.008563277301946393,0.00875949545667574,0.009116230954865563,0.009104857675470337,0.009145483380349205,0.009005291957749883,0.008931796326129433,0.009069793527302382,0.008996999499779994,0.008569939344313396,0.008514522833766238,0.008766452148009182,0.009202759553206602,0.008632093790358824,0.007944295741472982,0.008000337989321536,0.0076785982071315775,0.0075096017224395946,0.007220046553889262
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007158845977287079,0.00721089535764772,0.0,0.0,0.0,0.0,0.005571333339553031,0.0,0.005553300405252686,0.005475587265929223,0.006698800896502882,0.007589733639075385,0.007047036857118168,0.005667173858136155,0.004909313268359419,0.0034098574921755487,0.0021172738017568864,0.002097166833104751,0.0018811445254246575,0.0014544023227612928,0.0016269236554359292,0.0017600194203321949,0.0029987811824750583,0.00434429624115007,0.0043963104483609955,0.004841690149740817,0.004995518699762748,0.006031458712821623,0.006331053678427365,0.006336462158303041,0.005730758657954646,0.00483489518499307,0.00535683409271046,0.005112576266017432,0.005109249132452072,0.003972429907790383,0.0042005450093485965,0.004069953287384427,0.004147982375823655,0.003947172696701243,0.004024873283730944,0.004514273571677278,0.004349391371433915,0.0034534545827576858,0.0030633895064828614,0.0030493938665826638,0.0027418529922736555,0.0024602515624874174,0.002602896880291464,0.0030383598680632025,0.003173090426410401,0.0029739592428252803,0.003638057104881084,0.003354877335737629,0.003194752365229142,0.004152248664027669,0.004856578270103246,0.006113990921410148,0.001948645947703323,0.00183465382291096,0.002003054073047763,0.0022515142638901264,0.002218397086333018,0.002468625082788293,0.002420114587176746,0.002539648003543531,0.0027163382305968008,0.0026595888917043827,0.002630584429706957,0.002591740282264266,0.002570613946770316,0.002737881054227732,0.0027757662355490233,0.0026181322586153843,0.0023481764875769324,0.002323688982636956,0.0027212984617548557,0.002920772267776568,0.0034764674175748523,0.003508924781570367,0.0038284088226051677,0.004495504658973938,0.007338619470676318
