,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01171367689465842,0.0,0.0,0.0,0.0,0.000726589927974353,0.0,0.01342933935348042,0.006190824559507397,0.015865047324300517,0.004882246115113215,0.0036840829067803327,0.020211718904803534,0.018041636770074525,0.02316986237738632,0.01618715349871486,0.014528952264774304,0.03162959422347197,0.00015019221468415723,0.016330041322565905,0.010507418618902097,0.0007287676710211073,0.0036528325654897084,0.03127122241496738,0.004211028761609561,0.04478765014153576,0.005642456474295175,0.01105825621310112,0.010864181045161283,0.018919482734101673,0.016536227134092005,0.0021277147545145578,0.01829630313549631,0.04769797019158004,0.00025698384056096915,0.0083057662359481,0.012023947973649828,0.008372687597486968,0.04761175616790945,0.023242826431080905,0.006085877749133563,0.011141532796814718,0.020494996696597673,0.026403884778774495,0.014924563648523006,0.0035599726198486717,0.003485076502069219,0.01711282915385473,0.012679111357222802,0.008419779937629674,0.002197154403121475,0.011571777541914036,0.004283614258509002,0.02601598040919014,0.010582424254451989,0.014086820782892766,0.03597553067487121,0.011369728859582703,0.006569186576632027,0.003754277690520217,0.03603563850991818,0.006610901603734551,0.025124780376786872,0.007643774429893733,0.015792973918390806,0.0019410493197910138,0.020924153771235316,0.024450540218580123,0.0006573395501591554,0.017618352276074226,0.0037205664810865307,0.0048150950550628875,0.0024922960429827074,0.011135325567758671,0.009783471741390814,0.011465465560912817,0.021934786850376906,0.04715697962222417,0.009858881287639622,0.008841790412019442,0.021345370325230283,0.030717161844279722
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00595867621172818,0.00023993394336717605,0.0,0.0,0.0,0.0,0.011238632062621316,0.0,0.00026509933554198274,0.003776032561815388,0.020399934163010777,0.016191306138576157,0.005692610058237862,0.009898968277026837,0.004308285912754885,0.0026570257287265725,0.00041878578918638385,0.009729130282964411,0.004662725811126786,0.0032942370861269317,0.022888002206205217,0.0011273284631188117,0.024221710202018448,0.013070004593863493,0.02353008628498464,0.00416004959913012,0.00278922961996038,0.02727137534064142,0.015102267598587462,0.009045409686721755,0.012697519315636728,0.0034686810694940797,0.013388786226742095,0.008172729529991988,0.003940593338780213,0.0015011356380644977,0.006768201622022916,0.003943243835883111,0.004403322038189698,0.0026909408531711945,0.0015347548299616935,0.0011021637581331678,0.0021183755941232576,0.009603932453146276,0.0055293467405092235,0.0083704118507988,0.011312265117091607,0.005316990143098993,0.009859248022925694,0.003102818317934094,0.010139379409304084,0.01289674550852922,0.00021860528898363213,0.00549820061833042,0.005562381822737869,0.005729065415973857,0.005999192893630759,0.00019391936951104364,0.0028385106629008417,0.006875167765140041,0.010376861911037772,0.016548663542799356,0.0034004742204593037,0.0004826648461729056,0.004375394870652041,0.0030303753637247193,0.0007976951163780138,0.013087707848448472,0.0036853492536013874,1.3587074160876247e-05,0.005909080230191205,0.005144629551641468,0.0022032340296192204,0.0027562351214033176,0.011836513424000938,0.0024117961289289694,0.01057382347649068,0.04739260071627991,0.0010068741723318034,0.005913385965234609,0.0017074450147161171,0.008479456716506581,0.007771004386863387
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011140736655951516,0.009673070878172306,0.0,0.0,0.0,0.0,0.006879917123043585,0.0,0.0069282185469968964,0.00603584813553152,0.005831316452745928,0.006569529286877649,0.00021367710730664014,0.004416233878995469,0.000304898198476609,0.0014570993085709389,0.0024558398312331097,0.0024420141221143964,0.01375119588103866,0.003619800628970565,0.0036144350365494376,0.0031241867087090838,0.004846015689838192,0.0029173162116353842,0.0073709896662886,0.0011155305491626496,0.00794993457864467,0.0038183155991255726,0.010483935093897207,0.016123233836643772,0.018825721006837437,0.00564282468059724,0.016696100019720276,0.002781903419957791,0.0007083327821281956,0.0073757305188894085,0.013421055129491813,0.0036480204004831957,0.018096033934099146,0.0044934416802539885,5.9230239539679433e-05,0.0031497280273813564,0.009717001436317383,0.0045013130990138,0.014803553598464407,0.0016735400064680499,0.009863052809822496,0.0033476679165137762,0.009990482024197564,0.005954293154247253,0.003341446125529271,0.012542953809937895,0.004554761320322978,0.02175840082583622,0.003474201147459137,0.005019508328571362,0.01120912078408215,0.0038328735743320074,0.004411895504726299,0.0028626800079707498,0.007008556924852087,0.009709057772550659,0.006034572245599621,0.002019940672165427,0.010557258195998323,0.013628432838856255,0.004097543466638264,0.001013735611474432,0.02929898607943894,0.009159915962937528,0.012117768958639285,0.007768555225379308,0.013101064421875452,0.00826582822687913,0.00010557611316889943,0.00506734627242623,0.03457987147092723,0.00439454862414556,0.006351602099195339,0.00620984037114712,0.011042712778629163,0.012937917088137471,0.010516070020901713
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015568454402072308,0.0029599472816318824,0.0,0.0,0.0,0.0,0.002470698565782226,0.0,0.004370497077345957,0.008094552787433927,0.005869029680482592,0.0008006304163535707,0.007743253360117658,0.0032462486718372037,0.0002828347407733614,0.0025053817373944056,0.0002154114989801514,0.0051633766290056,0.007058471096945368,0.026309797061226613,0.03237562508306113,0.006245333428216476,0.012098078712147742,0.012471503640656169,0.028226444236783027,0.005113362688916746,0.014327627100858213,0.01659812724435861,0.01637004817052395,0.009378512898522318,0.03263981425481026,0.0029832773280623693,0.0018298950060822879,0.009776881547430961,0.012389859174317371,0.011969456409435015,0.019413991551265056,0.0022254420804147424,0.003470909514774066,0.0012026275256637917,0.0029392265617208435,0.010177730054777352,0.00014906705649297497,0.005218198503374581,0.02302003893388736,0.03503235866024558,0.005170175452623032,0.002286646479120354,0.0020935196225569646,0.003838961124380376,0.006445747211688032,0.0014332799372781236,0.006773634720780135,0.025593665433432694,0.00015345837323503016,0.0016221180647955807,0.007314245805703103,0.0043934368272981975,0.005153878746979936,0.0067689777876672455,0.007273544370991661,0.00422626211447065,0.0005876580468473731,0.010358963362557176,0.032798464784444474,0.004564278989201593,0.007243109821108796,0.010253421149845357,0.0016305878234757398,0.0151351121155391,0.00849843281180026,0.005305845031346047,0.020933901290112033,0.004240877068949859,0.0086124368765032,0.01941238682173389,0.014329624942395387,0.004079450700898187,0.01280445822591708,0.0068726727469279585,0.008371896349204667,0.00766510688240921,0.0030409312700560684
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0021659598580122414,0.0,0.0,0.0,0.0,0.011563186926654683,0.0,0.0010319366124711682,0.00018361266161158517,0.01040310799496516,0.0030583966564451137,0.003592152929992385,0.01217091081823696,0.004126329188329751,0.004874538330096495,0.0018924526930465878,0.0008927280459089036,0.02013428207173441,0.012754946201604082,0.0022037432177888882,0.011487902754197225,0.00021722203668623875,0.033049384305715905,0.012759846369151647,0.011441124158982092,0.0144660097507929,0.018429267390543326,0.005963896988658927,0.001062898741521746,0.007288284065052816,0.00436967363515611,0.016391581154779608,0.009837535573921722,0.014207649099771286,0.012323329882605543,0.01008331790325032,0.003512860432082554,0.011202375259819767,0.0132193158220705,0.020010830407489074,0.00010976550859580362,0.010150192566732802,0.01238500321465657,0.01236500378654433,0.009847025378307932,0.01111479517649187,0.008056615189798812,0.003109516151662008,0.0030321298777183816,0.00281206547508187,0.009530717019742417,0.004638222041044678,0.0021416849604524103,0.014625421342235927,0.006053774751793056,0.00850197724469791,0.014810434308138392,0.005254426263771199,0.007197907693694114,0.0009942039905949892,0.00029548532811210043,0.012123039864827724,0.00881194490879364,0.01594536996993168,0.0026971661009021026,0.014867204438286706,0.00010320368752112232,0.00543155695380834,0.0022587192809007,0.0068037386444440694,0.008138295173241163,0.01316127744673416,0.0029870037331985026,0.0001743557058081514,0.005347335771330585,0.006081850711229717,0.009476298933373447,0.01625480140852962,0.0003129980338967075,0.006673949145443979,0.020105484524405366,0.031594337641157426
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.007764193493505796,0.0,0.0,0.0,0.0,0.004481093956889831,0.0,0.021104069706581678,0.00968475597641342,0.004675622938187702,0.01368769234957029,0.0034264950688182626,0.0016844537691693728,0.007120151346714417,0.004825384739064522,0.0012253671525255508,0.007890131036936114,0.017468529876279566,0.0021415725203756722,0.006652226847786595,0.0007542266827492613,0.0031987900687133488,0.0013314359506915645,0.015397364615219782,0.014577665932045705,0.0017699348936193826,0.0033297304081809217,0.0010195677608575379,0.029072827303016656,0.05429469009739404,0.009006261312216192,0.003358704022678277,0.023660457492429888,0.002098397124350479,0.0007733353682092453,0.003789781434020076,0.04209870096758318,0.0039005113537742293,0.01584321285710386,0.02728766991062066,0.040380419932584725,0.029363832698650363,0.030563513243658483,0.039644105975937864,0.02898078639890526,0.005531778322971627,0.010550514934641778,0.028714802858906412,0.040149446769587746,0.02018615844749865,0.032810960910470775,0.040147515044287624,0.0066862438903702096,0.010600418999147872,0.04659489757121527,0.05520379721299292,0.0037921735718532855,0.061769405120368485,0.17270423170480298,0.004942691759816796,0.1426750341133929,0.16607480958341544,0.0989525200730573,0.023002204526694072,0.16429814569793505,0.02297436456861682,0.03290801196723979,0.01998976304940151,0.026326849087031857,0.04264798568811819,0.06853920570975403,0.03211578274633744,0.06927978808026262,0.040137261916091245,0.040231551185118085,0.09138053421760571,0.05270538817834794,0.047951333831380914,0.03559038730832857,0.0230906374469065,0.00688663931546285,0.028252950404602815
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020427202916772453,0.0013311906496258242,0.0,0.0,0.0,0.0,0.006992098028857068,0.0,0.004870233568825181,0.001965085368593867,0.006357891982250432,0.012020645908768486,0.0011326325999789677,0.00404249354083431,0.006955927641473622,0.01323476891070792,0.024690808835637148,0.0013870904796524114,0.0018217720612988253,0.030130298169940367,0.007383677039509136,0.014833966613957205,0.000868542865283702,0.0029804480871677558,0.05694623999630228,0.018998395646557188,0.053193286352427434,0.048379838882972016,0.11958792199065266,0.03830166276506479,0.06532430266029182,0.03961704827897561,0.06219786836410614,0.08066986116596618,0.15234015780603488,0.1822274411348687,0.12194179215156686,0.05241015299493734,0.14014481718949393,0.0557259050940268,0.016145314192932535,0.05788241405121497,0.05960288432451205,0.08933154585593564,0.03618315678609888,0.0763473183317044,0.07144901752524112,0.00748227899706257,0.06863519399036408,0.011446598399801056,0.02516710695557893,0.043775632921686375,0.049730057540792016,0.007018682927369151,0.013652197299898979,0.05843586182220534,0.03187664589694285,0.06293040782745364,0.02310920153859754,0.0016730827486113706,0.029776639159911748,0.005131456687602231,0.005742132936126428,0.046325199377706246,0.03492304910923973,0.02303085289207285,0.025096585352982308,0.0027986808605579825,0.022756273470696146,0.0011848778336495801,0.049508146578244344,0.020455057106533753,0.006586023959095377,0.014644280165830012,0.06671425641130015,0.06794525603229312,0.03617085625690481,0.0006580404982114376,0.015667833758396206,0.018556060190413403,0.015599226988314913,0.003756151778495833,0.04757346313032699
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006063961633372866,6.799991072101351e-18,0.0,0.0,0.0,0.0,0.006970955644812748,0.0,0.001396141821749829,0.0068000041796496685,0.002276019729684254,0.015402001395975437,0.018411680239853307,0.003269742904232206,0.029098370766945048,0.0005636517424508936,0.0016073778454847101,0.043709474415253906,0.03874063592252443,0.01632335886981525,0.043382819405009806,0.003353741355787858,0.007644729721623338,0.00353882492905958,0.02059917462132791,0.0034097385431262673,0.010929683852446128,0.012576347482326816,0.0319338344773365,0.0090075086665128,0.0018324455746471322,0.04719997709506183,0.03415871779898308,0.008044893942858301,0.013465716543817912,0.01797672683493552,0.03620313036842275,0.013040207373870339,0.027113428493586625,0.010147526120872082,0.0029642913378535225,0.021478976509105064,0.02669306154305404,0.002807304564310655,0.05525655483036137,0.005877228560222608,0.0338085411076063,0.0667048617353211,0.028794127231472535,0.05370256411240104,0.019550621946381047,0.010402838640509181,0.07364248586958576,0.016100998030375766,0.046945063619706566,0.02405021181100866,0.022818667110850836,0.007028662014140135,0.0077269374375365015,0.004470924634489837,0.004247565887112589,0.014043142051947849,0.02263813622909988,0.008724013288061404,0.011595298897302304,0.0010574731377036087,0.03204355680019344,0.008855360047079994,0.027551938019350766,0.005042448849910267,0.01906494410674237,0.04725726115249178,0.039888293678297104,0.021801615090123058,0.036462759630539805,0.04168933759779672,0.03484299487122766,0.011489740982101612,0.017470809833917945,0.024737361823897835,0.06153338652185155,0.04437032444811392,0.00958653179776921
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010375086406318452,0.003180737334539371,0.0,0.0,0.0,0.0,0.0014020343744064437,0.0,0.01103826951823226,0.002764439280881242,0.012845348976805964,0.00046308538193446595,0.0008254032766265493,0.009927674686177095,0.0005865715563264431,0.01218745366084318,0.009312966122124056,0.010305591280747534,0.009510689795676317,0.013069739567677688,0.005557126190218208,0.013547906965381698,0.009050205075832962,0.002701629767285074,0.002676287457746371,0.0008188216696859117,0.0035007962991370897,0.0011851594368386183,0.003870996705517289,0.002127587943692187,0.014178639535923422,0.008761721015189707,0.022519508687464454,0.006895680981250034,0.015264440791844221,0.017076019082353563,0.010813695897884387,0.00664950011963196,0.010168435993466446,0.0008464078154239422,0.007313830995091808,0.012236121659262874,0.0049542246155988845,0.0034448949221163646,0.0057722619382014895,0.00354683048050367,0.004083532288520404,0.00459706364275571,0.004934227664182054,0.009219685756499365,0.010329974698854532,0.02327141110607347,0.009376732443987944,0.0027836706924665527,0.009829424854865668,0.010796638661643354,0.023310241103649383,0.006599368874694136,0.0018740840402229543,0.010566099692891164,0.0008998927505717765,0.0031379522770233303,0.0018894982087033774,0.016749423250274103,0.017807949624856805,0.008298059182135166,0.009166892069235068,0.0025096826775473117,0.003099045821421875,0.013853065431255444,0.010189856558382334,0.018041853272863645,0.01699367381919166,0.0019185428276607586,0.017118853079741595,0.012756911082708653,0.005253126095642571,0.0063068811577457985,0.014029916086940198,0.012673992755816085,0.021000643394205834,0.0011383032764712528,0.00865901564594096
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007511968285452796,0.006191194977503755,0.0,0.0,0.0,0.0,0.0013818831195705227,0.0,0.0004967989163301105,0.0009505880124641712,0.011265777683041803,0.006082683910848498,0.009813582938197129,0.0022355400898169775,0.006270671115007247,0.004444375440787519,0.028965992896880993,0.001440059280604982,0.005456441047818287,0.0068232334743826015,0.005964322329127995,0.0015447427649519347,0.009176166656644424,0.01779824515446592,0.008425368771828532,0.007353722700257449,0.002826555006503469,0.008404278784487483,0.020220208902501424,0.012792134657971348,0.0024262152951550187,0.007765031812517315,0.014682419045687345,0.007181355761297433,0.005141078689091579,0.010103285518931015,0.006527131549594867,0.006094507803271069,0.0007842876987136783,0.015335413248274444,0.011989191013095857,0.012594755990569927,0.005657187633526406,0.007857592842068252,0.007475952953319721,0.002466506122677712,0.0030509222852449654,0.013467117480016846,6.236859961894676e-05,0.00741893142119906,6.55058091913318e-05,0.007714485395514995,0.014699269301334372,0.0013731417760248928,0.015343570895077928,0.005741810055782939,0.0016978375936890877,0.01733274464702828,0.014960765119543556,0.0025844629857790374,0.002261466446491004,0.0029664667774596943,0.00829336512820918,0.006342714501550537,0.002314553174945404,0.00023143755864681728,0.010873180623570438,0.0006431787742668399,0.0024377553449096753,0.010340633709653902,0.008437296446045862,0.021073139695937285,0.004397380733162244,0.020131663494286377,0.012259176253097174,0.003120300430900987,0.0009039832248659068,0.006707795635604706,0.000931888999161919,0.006383106470213491,0.0025181770256164945,0.00800219956647709,0.003003995260191596
