,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.07056317444046582,0.06924017032485517,0.06836981126131339,0.07081265098017626,0.06688080967861815,0.06494205797857805,0.06570914560833672,0.06318474552864806,0.06462143234165445,0.06243886310630402,0.061909547922796515,0.06201836237913647,0.059359097518513274,0.05982685784633497,0.060168630645988076,0.05805103515472974,0.0578083175269339,0.05853994326844465,0.05568531660815053,0.057730320419335755,0.053173841300874436,0.04931049237329502,0.050001410114338694,0.0479000387560153,0.05074089421773168,0.050426012372414356,0.05056785298958283,0.0493031719089992,0.05055574831248588,0.047884435598088755,0.04854310667991804,0.048004373721067625,0.04963279446445758,0.04801856113769102,0.05253621330323557,0.04845008941268875,0.04896822712553811,0.0510498221337937,0.052544235204464905,0.05041744463656463,0.04937143427930711,0.05172781825031801,0.05191431643341583,0.04729622273482518,0.0473652757612927,0.048536882123645445,0.04821424564824729,0.048873436416293346,0.04772266327919214,0.047351208565897585,0.04669504162091105,0.048443314688184635,0.047872067364681706,0.046996236223588755,0.046023469390797225,0.04580812984600934,0.04483129583040115,0.04850631635168788,0.04575593237349347,0.045843790007936806,0.044571701291394,0.04839208141869156,0.045644795199553785,0.0453302394503957,0.04957664454374376,0.04909331548193595,0.04327888423493089,0.04894903544978759,0.04462366623553868,0.04365573480208982,0.04577378572558974,0.04619283194078545,0.045127462382987774,0.04754518044970602,0.04484068123236663,0.043998440791807994,0.040975679799161904,0.04380386995506339,0.04549680349738215,0.0418723346309936,0.04120225600250093,0.040868997479475526,0.04262484511908771,0.04164460827204027,0.04219766143970019,0.041970625435017964,0.040437578444726764,0.043839716006907926,0.04176833619672937,0.040312368373010866,0.042673433609798944,0.0460804131132541,0.045825675794257996,0.046138761154049156,0.048293429211003526,0.04834843572940355,0.04669335755020174,0.049581816379704914,0.05896859667906183,0.058539562869983096
RESloss,0.06407572211679598,0.06734687646269824,0.06789060684502343,0.06372479803530472,0.06264914146478413,0.0578856358402855,0.06102527524583653,0.05869491712361916,0.05969248368295421,0.05726231853687961,0.05576114157668617,0.057980256573987074,0.05898400664440625,0.06020828521087941,0.060239539009506085,0.05887315146090673,0.0574032269053002,0.05542808583754977,0.058051023237532196,0.055613516351118344,0.05538357411187289,0.0534223649556408,0.053568908582824704,0.05269325027728204,0.051439488596179264,0.05453573720092377,0.05157376340413781,0.05165462612129103,0.04974048393941126,0.05098391812656072,0.05460643648291731,0.048720923030664,0.04842608734422332,0.04859793268041999,0.046512180887232434,0.05016815343095131,0.04932390981100333,0.05051443212004818,0.04998885643727519,0.0495623336510074,0.053451848378030666,0.05195409610167233,0.04861719455255324,0.05006571476096504,0.05128611290217906,0.04937801178053509,0.046066866195194275,0.049974520384228824,0.05228484625413062,0.04781247725932497,0.0472555395864695,0.049727092381577645,0.05202100331115379,0.04958801911322647,0.04867330640506857,0.04677553928378688,0.05145859700491887,0.0519047701089302,0.04810263756891706,0.049526375068517925,0.05001146087288251,0.047726058896000574,0.0435831836651585,0.04669518658964878,0.04707406339096223,0.04964437630295519,0.04219971038124903,0.04245885427490741,0.04284275352413999,0.0415974222704588,0.04098170226284494,0.039782215920917255,0.044034529745286405,0.03965714731264662,0.03961932893011595,0.03763600262805696,0.03741935104678263,0.03932714203293734,0.036849506075184266,0.03559132335758941,0.03373061868148716,0.03230312334942468,0.03595508109792016,0.03130622095666948,0.031069483680284886,0.03299053473961429,0.032093589278747746,0.03339248822202412,0.034134180706533915,0.03437856683529927,0.033581771610757025,0.03412808024053084,0.033364390270855075,0.03670397258303171,0.03873171341798962,0.03851257017597918,0.0363682723936538,0.03508157892506582,0.044829156741172424,0.04876879023110144
TBDmultiplier,0.5354049426743438,0.44254086561717754,0.4243868484983654,0.3666019876734176,0.3189748144388743,0.3242649486935192,0.31708771681502795,0.31101778495209353,0.31285118415507085,0.31723425138732847,0.31545780850199323,0.31087027126192857,0.31334407371715234,0.30863785369112334,0.30358590810137764,0.3074236340290919,0.3059806052284069,0.3021535052913878,0.30112413698718127,0.3025585518268121,0.30453255062976586,0.3004875506965077,0.3023080869669812,0.29249531692733277,0.30328622060513605,0.2995409564632254,0.29235690742130654,0.29775025176835773,0.29986506659647094,0.294223912764504,0.29607252609831625,0.2940979201464997,0.29139504571579194,0.2947620361679631,0.28787478553426465,0.2986674254201001,0.29471386047347947,0.29423146993461263,0.29319881759090094,0.29263785704132705,0.29421563987693544,0.29590145143570773,0.2993952120950297,0.29307137308860565,0.2996677742807989,0.2956711238222522,0.2968397991232735,0.2955819479053384,0.3027545005531407,0.2929267208140101,0.29826667450448974,0.2943346121942623,0.30282112079804047,0.3002126200838872,0.2936734063916407,0.30889180645775316,0.30208181171192205,0.30114342059864996,0.3095774808153725,0.30191895658134477,0.31305748255659815,0.30802681115445274,0.3197878226811624,0.313729076140819,0.3176853499494973,0.3217646241106153,0.32362080648465097,0.3310219289888874,0.3281452422404947,0.32290052867230445,0.32322981394691774,0.33511449773800683,0.330900838646253,0.33709183462631226,0.33263855475631676,0.3396661597329768,0.3337662297232076,0.33704876886408924,0.3397157801169493,0.33753492924340506,0.3433569374196171,0.3413001128372463,0.3431380557278788,0.35306710689191395,0.3542443492315667,0.35558861567324307,0.3581410218718675,0.359946674775245,0.36130650780054674,0.3461917087443628,0.3321844616516555,0.6299621914899872,0.33443386707975786,0.3409482620679366,0.3421380841703111,0.3453388309068,0.3510012985784834,0.24410811661192483,0.3458023582163734,0.35821281233096425
M_Imultiplier,0.07415556931028824,0.06725465885012923,0.06815545117310333,0.06490430912074582,0.061555022149245006,0.05912946914310903,0.05801803234611773,0.05926717712208349,0.056113920894820715,0.059698388494013654,0.05724437442288912,0.058476006110971444,0.05671711149805279,0.05734519982323359,0.05629489374133445,0.05576261867268554,0.05302523096062708,0.052921764747878644,0.05097187016014469,0.0510750925427763,0.04623536882866123,0.04635843866927363,0.046784796039960025,0.04538926030957465,0.04506687961389598,0.04233339695793202,0.041260478429092695,0.04386137818715459,0.03870575263648059,0.042275435814041605,0.04353137924889866,0.03806837336834238,0.03864088926562336,0.039524134447725366,0.03756138892571881,0.036404693965160315,0.03934622307148326,0.03856043194253795,0.038810437986147875,0.03869059387879682,0.041591852504694674,0.0365101737779356,0.03845740435703707,0.03991631943525396,0.038039213112405115,0.038310711421322266,0.04138790006114142,0.037609520665691114,0.03929017548633332,0.03891309750010692,0.03826098443808334,0.03986151789722807,0.03668783208185288,0.039188012301836675,0.03754672614422798,0.03904748585418158,0.03603088809991985,0.03642331617659022,0.03508522624344523,0.03664633334615623,0.03272939982704426,0.03590933381881736,0.03644431854967452,0.03984568928320453,0.03701409937115173,0.03713662028554758,0.034276541040671155,0.03888950881995258,0.03739155511205903,0.03883167306437311,0.039009523785528515,0.03874623874468159,0.03410036222115989,0.03566048746969375,0.036169776374464634,0.032237445463350944,0.03383199632804334,0.0352681017478771,0.03473338840025423,0.035951647524516,0.03432409400284611,0.03411692219206854,0.03157413064214341,0.0334100340491329,0.03495389214627327,0.03454515884452639,0.03322484468605437,0.03347075052789024,0.03515628558886555,0.034475880222109886,0.034114805062744474,0.03904998272050877,0.03859025086662855,0.03528144669930959,0.04205252329873911,0.03939098909238035,0.03861211260149396,0.04353712794591715,0.05524556466039835,0.057862086732433884
ShoshoneDMND,0.06004668288656958,0.06598552712260171,0.06923124894015892,0.0656982700772897,0.06438486978273257,0.060125883818118196,0.06383815852310862,0.06289752311411781,0.0630886887398723,0.0652419540356117,0.06316797489267946,0.061457106022089224,0.05889462348217961,0.05912353120931253,0.055988902008771976,0.05817029214226793,0.056611598891172774,0.055679014717061416,0.055391711841005185,0.054855453540853485,0.05002065766004525,0.049393295647799554,0.05114931572282348,0.048431863921132925,0.051408363929493495,0.05004389293540286,0.050342111683644775,0.04705850558814337,0.046989364753078335,0.04665849509307832,0.04371695768928378,0.04932996896104095,0.0466695148099861,0.05013961766899762,0.04575903500532814,0.04852908754413896,0.04565586679098694,0.04260304091852203,0.04357144867279693,0.043122053891250164,0.044516380735865696,0.04374431788837115,0.03987808280208447,0.04105784413994777,0.03806189573396324,0.04136546569802671,0.04118142192486839,0.039286959703379525,0.04171891247157044,0.03933164379607242,0.040845555646504036,0.0371472874985764,0.03676963271495766,0.03775089002606243,0.039253050188965036,0.03684858537061882,0.0360914668129631,0.03611375097654844,0.038071174355872366,0.03944050689487261,0.035159389962603926,0.037906413346424486,0.0361493431532487,0.03563577133538569,0.036950190779462,0.036765825058087884,0.0369772510573276,0.037472187888340065,0.039712106948650905,0.03773087435646903,0.04008283583860025,0.03766908041486583,0.03803524842266083,0.037260253992191905,0.03693070743421121,0.03626228060533797,0.03550179153428633,0.03581002875385318,0.03510098109339213,0.03514694399070418,0.03306942991723481,0.03360389279664662,0.03202154334961492,0.033354167087011354,0.031966772541915024,0.0354188661321563,0.03447998196152959,0.033782415682134526,0.035348047149670915,0.035780301630210294,0.03546140972452898,0.03953178617575602,0.03931044245917278,0.041618851033045225,0.04279761216509413,0.04269006167400071,0.04373841084116345,0.048104771018539605,0.04865010496803498,0.05367764915243881
ENVflows,0.06426731771069447,0.057382126716826784,0.06431541126620674,0.06415462940924874,0.06519700927496104,0.06538912487288899,0.06230639817164459,0.06338197070240145,0.061297974744992254,0.060335585490681964,0.0616309252042882,0.061954370460321206,0.06150577457325115,0.0621888009011621,0.060983578737215535,0.05916706870382719,0.05889183069844968,0.05541488609133731,0.058466101135728,0.05381429737293182,0.05474980895327799,0.05232001390327966,0.05288599592742629,0.051802836941963304,0.05163763328240588,0.05350463720688894,0.05252227125187042,0.050166635518361126,0.04856698386056182,0.05014699906076651,0.04977639803343311,0.04745300684893905,0.046486154866144117,0.04277992098727269,0.04819804641480739,0.04388806155028169,0.04442232581687787,0.04219923442482647,0.0397579936525618,0.040587267570301726,0.03936117650841263,0.041885112160598495,0.04062799125594653,0.038837837044591095,0.03434832265564401,0.03756578733221867,0.034949598077282776,0.03787596812560915,0.03503896226317749,0.03486641365638451,0.035858542118442756,0.03834945068087122,0.036277201904222185,0.0373310270598095,0.03890719997570348,0.036453448670277784,0.04120250742021821,0.03990754515284806,0.041253180964117155,0.04470177498117806,0.04072832582887505,0.04379056855293341,0.04150480017715295,0.04351212242921529,0.04456305493588862,0.04800999160477858,0.04589827634129072,0.044422001664730086,0.04638901534550703,0.045099701540006656,0.04486516892982219,0.04504314635832076,0.04276937907233659,0.04316226034656776,0.04487536851026753,0.04155592315591177,0.044514782700924654,0.04386712661105676,0.041533801325695265,0.04158175541994095,0.04117402933708259,0.039441544314518434,0.04213011947258225,0.03895416231465785,0.04108812356079793,0.04369002755546325,0.043427411678345504,0.0424577608948339,0.04688944422036488,0.04315093069466795,0.045258946060110286,0.041743477540145776,0.04192079430006044,0.04143693850121527,0.04297015932716082,0.04358098862911878,0.04264038914415359,0.04621562698963881,0.0502984596381464,0.051208835576841326
EVAdelta,0.06903456512276568,0.06352767371882813,0.06258061703472087,0.06562960369675949,0.060791610409503,0.05989328803930712,0.06297724269036313,0.05988527450464699,0.06286153874587598,0.06391892719471877,0.06173942232553135,0.06332913675291021,0.0611774638871159,0.060145413585033634,0.060907517009288994,0.05902616354177478,0.05477343023876391,0.05683287780529953,0.05769729044201757,0.055966395343119646,0.05360923543558401,0.05603683870786831,0.05502037792186295,0.05311588192087635,0.05216762996483058,0.051726391929402225,0.05329925556672986,0.049933574180281944,0.04864899905736515,0.0487989713823469,0.046239332438183574,0.04421609112431664,0.045442164217028236,0.04497908643301041,0.04414593570185506,0.04363743466656923,0.04376361925834456,0.041266371933169455,0.040991658074859764,0.042023772483139155,0.04226077192326755,0.04058433240058676,0.04048497694690303,0.04258366411019701,0.039455521475161064,0.03997373087639742,0.042652268966155725,0.04052532016784266,0.039209994587094316,0.04122634429561803,0.039993797922048616,0.03993817223252537,0.038675346835329756,0.03645416719713246,0.03510102726324849,0.036083590968454676,0.03489801783579218,0.03626246292580484,0.03474939557876851,0.03760936642136779,0.034531743349152995,0.03644716563719801,0.034995459029283,0.03802345732874645,0.03794424005093367,0.04015908146905136,0.04117531253794959,0.041958800869305354,0.04288828713129933,0.04055346493910291,0.04017544165080709,0.044254492587513614,0.04117301897276436,0.043357678821291476,0.045654251405480455,0.039980288464016286,0.041393808723840284,0.04124006486197405,0.04074331014422209,0.03925885124554955,0.038991247900168044,0.03998160173181946,0.037780691136524866,0.03703041015068031,0.0363346704696086,0.03550990604089027,0.038888595538079516,0.03342491773786891,0.03316635972345956,0.035612514979796873,0.03614021699969514,0.03551472948986698,0.03247008440298936,0.038736334942552256,0.036520687747999096,0.03641451961340299,0.0421265003750498,0.04556008856353825,0.05319629678506933,0.04962389983224197
XBM_mu0,0.06529312405368595,0.07566286278733492,0.0689781749232294,0.07370937093685273,0.07105285618781622,0.06836040328035223,0.0675301225689139,0.06893406237559836,0.07274277084467581,0.07153035032436937,0.0696198285059655,0.0725151010511618,0.07151980919373513,0.07429066481713989,0.07557514064312058,0.07196898449599183,0.07343545702879398,0.06828005531130706,0.06914583752093854,0.06983348723260129,0.06883355495582842,0.06856947635296717,0.07036880646742337,0.07088656445045796,0.07513912811126959,0.06887604724965038,0.07045206165145704,0.06977171971818964,0.07290541855905118,0.066613136020051,0.06979861939501265,0.06961512360133285,0.06791371594829029,0.07072392808644788,0.06850699631287124,0.06421630336259274,0.06577233349358334,0.06556764908616851,0.062193005075848705,0.06261719952650205,0.06532831707225042,0.06101636142245235,0.06191362294846321,0.06475026573477484,0.06022671278941277,0.06012855614859054,0.06298897035471186,0.058061733030365305,0.060625578554041624,0.060869239633335334,0.0587490888587547,0.061325911967101576,0.05984010976218586,0.054180262368587875,0.061400187195134945,0.059760779735613376,0.05366377295749293,0.06097738728807979,0.05242478043058827,0.05296158529929036,0.05401125964505168,0.05301551124961369,0.05505345956301231,0.05129125366591064,0.05163751511695338,0.05134073763589314,0.05245003138110105,0.05283715904037676,0.052280893198937396,0.048013964612602114,0.050404289895185826,0.04913761014166053,0.045613853482055135,0.048213155165125664,0.04580301706908123,0.0432571248740573,0.041586344186014056,0.04244009177033033,0.04279203738903931,0.042864631207211686,0.03946152583571007,0.04012673295437994,0.040729864820116965,0.040377775034276184,0.040698729584520366,0.04423287906663755,0.03839488045587075,0.042592302119550465,0.04179826906043647,0.04429971941818882,0.04660570081310629,0.04317348038817086,0.046883310134430756,0.045106479183146996,0.0452917185301613,0.047986905084951924,0.04978933789908474,0.057489684420994426,0.06277825558719943,0.060431902002725156
XBM_sigma0,0.0627531345857575,0.06691181031412509,0.06574375809544282,0.06469116465044603,0.06854773201559966,0.06670363374923377,0.0642296419356094,0.06647100155306959,0.0639679754043214,0.06623444100223144,0.06374351255055269,0.06545714293343158,0.06479553256221085,0.06526210706809224,0.06283586482426833,0.06520620132936508,0.0646517486818559,0.0635970179971957,0.05794167043640014,0.059320312220647486,0.05685018347153239,0.05621216141362136,0.056175127183168125,0.05380220121573111,0.05598657374101092,0.05513691824476243,0.055137935124908034,0.05426792271670559,0.0510220626727375,0.0525607482200691,0.05044339031485797,0.04977970927677321,0.0504294893992408,0.05067978221917321,0.0501966884826231,0.04641818487362708,0.04678460768323865,0.048396237059968074,0.046826444475106734,0.047997640547604345,0.047324414041478344,0.04444369840203183,0.043372014882063305,0.04380662845716783,0.046721077901904794,0.043757016650157035,0.047984746344082285,0.04534817139508102,0.04427350703429701,0.04367310819965107,0.046797836788940284,0.04550756678694472,0.04877024462574832,0.04493382760750854,0.043781198484901904,0.04586403269041628,0.04614865084915335,0.044117638694106405,0.04358588158777111,0.04351870150323708,0.041560254246775744,0.040649710490376044,0.04016662404625538,0.043297662813001056,0.04217914805994285,0.04280665864150356,0.04054783200369395,0.04086300526683748,0.04219984975599812,0.0423082897709451,0.037740767717359985,0.038638316536996266,0.03827241142177497,0.03928910301576645,0.037824829640776214,0.03839235490927461,0.03872987632940832,0.03566777915270467,0.03568550186508299,0.035910178622230504,0.03226835651986225,0.0355823401098124,0.0342467506334478,0.03571552987004703,0.036890570345954166,0.035953880067550084,0.03678873503457779,0.03444893015712597,0.03377015021089015,0.03607825034973751,0.0346970491447545,0.034798028750130994,0.0357269253721174,0.03880684490964055,0.039174001487993285,0.038801975167345,0.040060169232508304,0.04070643974222367,0.04807088778606141,0.0503536988808153
XBM_mu1,0.13616159698627223,0.12056015235061968,0.12974787787522007,0.11942011688065017,0.10567282266840046,0.10767677913409752,0.11086752785409612,0.10276161749381582,0.10714263375821631,0.10224994081170938,0.10611573588126166,0.10424106273744409,0.10286612822555549,0.10451354530685941,0.09957109075815009,0.09421307026435309,0.10185335362911756,0.09390632052716119,0.09163706246933953,0.09361808854682356,0.0933408913263265,0.08566326432819601,0.09156690732019497,0.090818305343527,0.0855755094966027,0.08878893372914407,0.09042947311372436,0.08358109243811704,0.08585456591471954,0.08083116426667683,0.0833133343663994,0.08664786060637815,0.08347348511501683,0.08331397681366677,0.08155526288349832,0.08184056394372698,0.07853863463199519,0.07624534581474882,0.0786769512495415,0.08364156544622874,0.07619329401876172,0.07664075868805882,0.07863849158139721,0.07467509402716559,0.07063404158964849,0.07479943531160772,0.07706600913326064,0.07037692996185863,0.07551409252722163,0.06773006507673096,0.06956284343291826,0.07002211135033064,0.07331727245230547,0.06919002688132767,0.07300261680575536,0.06804370982360704,0.06824867760349325,0.07252883587557782,0.07171355816056235,0.07043277948359707,0.06603082245854192,0.06853059294925141,0.06444847320267207,0.06458486363810487,0.06462737594827146,0.06369415419406953,0.06646768738882808,0.06560198294735307,0.06402164232859885,0.06675696331025162,0.06449061422400096,0.06554149227865849,0.06567231479386479,0.06692492614311916,0.06590155151464072,0.06463483440671888,0.06425591542571787,0.06515118021829862,0.06131332291956596,0.06037136640285569,0.06402496324961307,0.05908138791813509,0.06450949443003307,0.05686685666231235,0.05855338293864184,0.055344707192742024,0.05118439332145001,0.054783259951868536,0.05223284168214999,0.05361859941091433,0.05494986339878329,0.05236580708987219,0.04703798531202432,0.04814140868168342,0.04681722961824505,0.04536507239321717,0.04356968056123946,0.04866661883594464,0.05452320160158717,0.05611321445008423
