,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14690748658263417,0.152344421212572,0.1524944920737682,0.15605106509507777,0.15288314925832486,0.15647346729028044,0.15304871772934156,0.15236836759837474,0.1478828799729701,0.15339591548932954,0.1388513215140456,0.14321277094772994,0.14663184665220252,0.15208793159496584,0.15329903703358863,0.1489988773209259,0.15530117262226356,0.15388519684719662,0.15168531793431483,0.1573600909983732,0.1506355366302939,0.16453421792461773,0.15935294787936505,0.15971546501567724,0.16182625118342325,0.166670509206973,0.17190166164140072,0.16854281447531214,0.17323933884427822,0.1730429568460045,0.17709564742852357,0.17750039886184119,0.18098058931530986,0.19359712578280303,0.1949330121968757,0.18458801580020107,0.17474663639396662,0.15934231959608472,0.16156747537577418
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019903533817149745,0.011656507479329198,0.016728351477496024,0.01461700381369992,0.018323637353829456,0.018365918486161936,0.017001855383527442,0.015441989485853352,0.02184599902885188,0.02036870955531716,0.01939133686645818,0.021233081084329142,0.019637680096016116,0.01776985322106332,0.019865000187072605,0.020551688589601512,0.02575408326134606,0.021843590166046756,0.022438900505921018,0.021991968938449215,0.024953625111757374,0.022948085060426792,0.023722288413600988,0.02187367564690998,0.02153662694475826,0.020357054386331695,0.016685921294747795,0.02165690930152097,0.02152546431948445,0.021212417287688846,0.027754687552107082,0.0192220792198102,0.02931755333523343,0.02778784271051022,0.02907572875839095,0.03479594695469174,0.03643080367079991,0.048915706987513,0.04817407303617992
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022703650941635553,0.024350034192709685,0.026106769795416995,0.02527956573631974,0.024987923237603987,0.018405723619676732,0.025307839244462393,0.024296477805360924,0.025485546132902652,0.021279254316519714,0.018475177140103344,0.021070412445682342,0.02826937180202424,0.0242504126685809,0.025353759164017813,0.021555541787170535,0.022369943337044583,0.02117735535205027,0.023398798658023967,0.02533639039765223,0.02184563424705147,0.026690854632875034,0.019489097675547663,0.026100788666145798,0.030502564682772477,0.025775199408214856,0.03004774676059312,0.031165894806383675,0.03441389340468911,0.03277929742203834,0.029587249872647055,0.03374615901589366,0.037031999101595485,0.04689624612291411,0.044654460700690186,0.04701717754614853,0.05543664573613508,0.047248054405361416,0.049243254674234425
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017178944591419838,0.019249454678752293,0.016188039539286575,0.017076731908123144,0.016874457390919684,0.018985432173844567,0.018366141386162042,0.01979513492452966,0.01809192189757446,0.020366192578931207,0.020675385248768684,0.015835910930055135,0.020684721358997397,0.024770030946484507,0.018629838709524754,0.019261506584009148,0.017606633606508208,0.021404786838495424,0.01877672363839291,0.021003602611884147,0.026447613246280817,0.01966299476773243,0.022320834828909654,0.030766766654637435,0.02694172185628324,0.018830048994585995,0.031180575590787594,0.025510040112991073,0.029117548706542557,0.02362777825554922,0.029384270271673875,0.03209823340235504,0.034929297642194726,0.03189900444628642,0.031723974806331476,0.03214189703927946,0.03376697641798309,0.04159119610266561,0.046370152621424396
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03905563755603516,0.04097349176560365,0.033338191081543074,0.03795188958136477,0.03916290346228958,0.03711099187722579,0.04592316494451581,0.039864216009047736,0.03598002598970913,0.03748824365556749,0.038746239564053556,0.0410680781716405,0.035625458742869,0.04116870964271786,0.039169797398913644,0.03399745089518076,0.043753369626322314,0.037132652189174435,0.03919855959620887,0.03548558280657445,0.036404856936108065,0.035201933791551,0.03404170750646355,0.03712669901675854,0.033654307044231155,0.030594662563000002,0.03412598367366697,0.03810725884706538,0.03334653153375933,0.0352361309277009,0.03569012684443736,0.034198112842658925,0.035703322980636144,0.03784581520553207,0.03456717007908934,0.039762543768504445,0.034639338625862534,0.04101359453285358,0.04328842078534183
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02872695013221154,0.028236903447788446,0.024982115662242305,0.029164704328092577,0.030382813682594278,0.0267422293225395,0.028894659944307417,0.03110679959501327,0.028707924016494624,0.030754598773840132,0.031487444315800715,0.031026910357780556,0.0355076431511992,0.033598938086834056,0.03353774536567343,0.03515342453910812,0.027589208768684904,0.024648064647689726,0.03243780681895424,0.030823385980673523,0.030026398880392224,0.029589932750403353,0.027859504413655516,0.03461370484200967,0.03768289943314249,0.035446710252274666,0.03754294649455005,0.03774206830973299,0.03589448837042962,0.03966919377594205,0.036022754586010064,0.03859088673373219,0.03885529314132041,0.044684383260673054,0.04455401901046121,0.050962125079160946,0.04870034970073277,0.05354849056334425,0.049548321830505435
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03128754023720104,0.03160588653156131,0.03217853255144375,0.028487632867527868,0.030761377470727862,0.029048349244703547,0.030963561489212914,0.02814231852651717,0.036796892882574116,0.02945668381744216,0.0294490240218013,0.031619891679826054,0.02771960255681625,0.026250995425978856,0.02638719533319811,0.03439013357590484,0.028214531364002378,0.03197889429619921,0.03456597766221423,0.0258095636207676,0.028920468449771357,0.026898237349128613,0.02941539557094359,0.023640756079794916,0.027739894739574146,0.028301842268458305,0.031849746600154424,0.02741614775826215,0.029981985838010716,0.0282093696175701,0.033310584832919585,0.03042709451422664,0.03522448950948268,0.036910386307747824,0.04029936057581155,0.04206215107189526,0.04942829284486333,0.04822712458539417,0.047077813633467726
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21117012186597242,0.2075996240495636,0.21311076398193504,0.21369055741895587,0.21426301486296734,0.21547599274582452,0.2141389709465585,0.21769046972326986,0.2216788473583391,0.2288041795871809,0.22942228269024528,0.23365287297577111,0.2389808276195599,0.24582925937932726,0.23853747558934996,0.23799368102219684,0.2404191008512254,0.25127315499579017,0.25147932381952726,0.2556465053492645,0.2643093078832228,0.26508325964201346,0.261654226732921,0.2651659204947053,0.2635619168699286,0.27453311343412684,0.2701570545354346,0.2740952168599943,0.27139938711600275,0.28123619751257367,0.2852741909228838,0.282319738274911,0.2957071391147045,0.3003048811448738,0.3021975260910231,0.31394298562703277,0.3274662337344322,0.33935439626556496,0.34959887896329944
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03002172610247374,0.032372323615577105,0.025128437955164083,0.025672346293327552,0.03008232246126342,0.02391003161816205,0.027632229641346727,0.02854506860284613,0.030103214261735574,0.02590015177595849,0.030753836442583816,0.02685986970830574,0.03237748213611232,0.030464559050156898,0.03693821934971327,0.03238138871778346,0.030240837859150216,0.035379553379916995,0.035765027177832434,0.03471337610912972,0.03520530735213475,0.035808464555170824,0.03669466417886326,0.035898338260333326,0.03457838858406025,0.03943687289527552,0.03992725763273125,0.03914095459021039,0.044489644117872006,0.047376473713314285,0.040886517610787466,0.04342854017443602,0.050270669731937945,0.05705927180154918,0.05612151801626521,0.06429321129803953,0.06808417733966532,0.07505644174083781,0.08271836348601955
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17702519237750586,0.1785039057669092,0.16666038422676333,0.17302209817220468,0.17637144730768323,0.17463581059217675,0.17330180328933245,0.17111189826599982,0.16955865485977578,0.1589538504294506,0.16438873713248864,0.158909415733399,0.15768860504787482,0.1531011740991764,0.16007673996282673,0.1549812118365716,0.1554774021168206,0.14844910120667315,0.14800168544906617,0.14685892724635846,0.14226646270358081,0.13712567977682616,0.13759370562840625,0.1209635734062254,0.11857499807678969,0.11238387769472677,0.11052278970132652,0.11345539485242502,0.1062191975452564,0.10490106930507329,0.1046064779324903,0.10162237971211063,0.08865146217143534,0.08060596010998716,0.07819372298369794,0.06268145028425437,0.06661303033371749,0.05981896965795229,0.05378594080545009
