,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029794814733881386,0.07165455090114806,0.08256666115211442,0.08102766049557339,0.08629152180759901,0.07919528098629536,0.0897851094752575,0.06318235186410048,0.038058881628718934,0.037639981570079487,0.04666361858261921,0.09239612940003765,0.09603092953051877,0.09543718204709874,0.08340346187317688,0.07757190893390302,0.07507906367081275,0.08049453831619212,0.07517236642954961,0.050470697533206245,0.0526847669295457,0.05400522205660162,0.05381909922743968,0.06300151799873335,0.06876273917282495,0.06962754942562968,0.13406278231815932,0.054164108021699,0.12370642067332734
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018130225583503884,0.019091884530650128,0.02237274435041261,0.023835050752520535,0.024584605130049137,0.025787379199719084,0.021747236611646906,0.02622325783718298,0.026879428821972536,0.025101335204704932,0.03082523852751277,0.03032711194979284,0.023868823862340523,0.024839263996925105,0.02505531469112643,0.020810236785759096,0.021467119085022978,0.022377655372196464,0.02288490531145667,0.03310564116042256,0.03203103877134479,0.030812958647643506,0.03641258446675193,0.03225168617631062,0.034436876919904616,0.0354584117067364,0.034906439417693266,0.06034463334089095,0.054614930113502116
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020583209962585326,0.022349571093918642,0.028250782530694307,0.02233805631449358,0.024150881226784833,0.027129292566079582,0.028066157721755476,0.02059972606660857,0.027251037670645028,0.027054992218159463,0.03217457636887259,0.02974456294781368,0.033478107383056,0.03582546194247038,0.03067226744895839,0.029263122006809843,0.032891963775578105,0.03257372876803267,0.026567890443900892,0.032975620434705796,0.029737424493812885,0.03183075719378119,0.02738937702200902,0.03447328941345325,0.032364614941579016,0.03265989821298114,0.0460974000556317,0.04657891886067539,0.046048219738651364
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017045362506033748,0.011973493693729794,0.0116591047863089,0.006636515708891275,0.006937169625093909,0.005880180169084772,0.010061557834317187,0.013349344166077881,0.008124998218735404,0.009334386607926811,0.01756233038874947,0.012105365683844224,0.005912097978777737,0.010505347652489219,0.008810796181452401,0.012496258950668967,0.01319664293994736,0.013116067329551553,0.015526747928397564,0.01504791541793168,0.01847023196282454,0.020989568955448873,0.023133042616166666,0.019416755878309908,0.01648467224495206,0.020980600369255472,0.02813798552667715,0.034970034885598536,0.047814442733134725
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03855107385369723,0.033433481964759246,0.03706767730432078,0.04144557906233953,0.04072174328555906,0.03697363242201345,0.03981962685670461,0.03478857281441838,0.03496607354237849,0.043565101243176765,0.03087217243857021,0.03112823547430029,0.02396290471975322,0.032757504951948235,0.032039716346985415,0.03084491666656496,0.030805703198541912,0.030483992397579873,0.026618508804703622,0.02972673144228959,0.03741171443074663,0.0361456830924118,0.03599461008489662,0.03461542741623555,0.03429041930539564,0.03504480698671507,0.039904345230978654,0.04355502906024026,0.051141410485406644
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032417035075162845,0.025062581060316398,0.02946209044401431,0.028088395775192582,0.026994577640848276,0.030105126714766683,0.028512020619081823,0.02938973002409015,0.02672307410235545,0.025309624974014604,0.03235339538306542,0.02561336340102101,0.02810935692862616,0.027817083217598293,0.03212647531715218,0.026190551890181647,0.02653378594606696,0.02301255092533606,0.032234486860058864,0.03530996680582575,0.03388724682495871,0.031164532760636188,0.03001829954918952,0.030621512081966052,0.03328444473246866,0.03723817318958925,0.04196935907847484,0.05105403704831586,0.06030058733248851
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027616089195801642,0.02399330275305404,0.02433890145225353,0.030564662648810713,0.02293242109669923,0.021816071216249705,0.02760564656292779,0.029922612031852237,0.020715800761517182,0.02365562440296476,0.02446492536896373,0.021940882622135557,0.02276631823532081,0.020512927583100804,0.0279306626834843,0.015176294453721961,0.018057976596861463,0.016755944845664006,0.020025936432328032,0.020841513521054948,0.021075363687016624,0.02454131604987241,0.0232089420814784,0.02170249013290336,0.02675352497739869,0.02938800498269223,0.040311420652347954,0.04686234636759031,0.05570812029246228
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31226627287420083,0.29909382313106436,0.2967573471464121,0.2951004994199552,0.2897664923805735,0.2961219449721489,0.29042345123314095,0.29957499492466333,0.3086131538575706,0.3033210686282717,0.3031558069400747,0.291119996143102,0.2966262993479779,0.29236249944547466,0.29536067181381387,0.30910853544943856,0.3017118865575428,0.3144568908993755,0.32182944464450763,0.3566753159128049,0.36989210214494517,0.3703958011834036,0.3745582083786152,0.3712304257771454,0.37179445476748774,0.3793768112945314,0.34521836054777616,0.38215884110287357,0.303461617675272
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030418545952947816,0.035992354745453856,0.037881681553913686,0.032502080047751125,0.036192466519043044,0.03606390235024163,0.03849226918678803,0.03860562410687195,0.035942193580143514,0.02755186284787777,0.036658393031279324,0.03810376570743983,0.03982699847915422,0.037012172656873434,0.04359893460657886,0.04324715027982072,0.0357147805801981,0.04399964383047321,0.04449000794492418,0.04614604457345147,0.051095541040296476,0.04619698038440971,0.053854955717518416,0.049480556321988334,0.05108481494771946,0.04529673350195534,0.058957140326037785,0.06568891440066706,0.06203828455247545
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18779426741948033,0.18481548371424494,0.1672950297382138,0.1652926230603313,0.16932059717499337,0.16908307647943827,0.16798242537343264,0.16996630372317237,0.18337397145084,0.18222755639872354,0.1779446072784882,0.14991063654011033,0.15423988561212684,0.14651768989619002,0.1384799408489505,0.12840020596664653,0.12312245026764772,0.12615567582995116,0.1164507554920918,0.10635258810303236,0.10347447782245425,0.11061953413410268,0.10654093817713035,0.09392850378886478,0.09601921779281819,0.09457786679420006,0.07026874357848756,0.06340247576637462,0.056261112921678756
