,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005655899532369684,0.04121358393663685,0.06124718013993229,0.06367201688818673,0.06367201688818673,0.06367201688818673,0.06489461928608414,0.044551781897875974,0.011041770206347916,0.009787074271885523,0.016620220497625033,0.07295293340522889,0.07620103871925223,0.08483311436954583,0.07679463817217938,0.059369889069636174,0.05944331034797244,0.05996210312881458,0.05133817624082974,0.024148093765410057,0.01954763841181193,0.029104260972537363,0.03275402390788257,0.0449210830222674,0.04735852605303999,0.04974774885038008,0.13674365923818935,0.039531684254846135,0.11130437870793196
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045730735708705145,0.0034198288914577047,0.003108102449943156,0.0030002345749561366,0.0030002345749561366,0.0030002345749561366,0.0030176763825787395,0.003221705012500554,0.0037361649214889122,0.003639686173908483,0.0034401588162488606,0.0019439048656730389,0.001888127660131891,0.0018066071172981567,0.002455917661736362,0.0027222882546569303,0.0027093411480380502,0.0026736391705361098,0.0026003182713499797,0.003766420657753697,0.003861713253986179,0.0037260971531707095,0.003719348629953634,0.003345266689451814,0.0033092501222047677,0.0030996863833462635,0.0028895194161237476,0.002429622369400492,0.0031134773572267824
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011009505142010297,0.0014927576854737031,0.001751774423706683,0.00175907782934332,0.00175907782934332,0.00175907782934332,0.0017615057176190133,0.0015532286648226165,0.0023125193204328915,0.0025008246313054116,0.0031430835134963015,0.0035236329423820227,0.003553410134481552,0.003633584237719014,0.003113775989870201,0.0032519623612363713,0.0032387552214198177,0.003140689196622984,0.0028657069760368373,0.0026816718697654338,0.002915599953266309,0.002562272163794561,0.0024751301897646735,0.002601313927496343,0.002534463764497611,0.0024457757398691025,0.002629854218704991,0.0011845831314157913,0.0010477650967183703
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002091396035119241,0.0028304493910299394,0.0025044512702307505,0.002434852844847798,0.002434852844847798,0.002434852844847798,0.0023796372580794714,0.0023676141115108133,0.0017617030300868172,0.0017193856962909476,0.0018683804463587362,0.0022517623167668914,0.002306315578421138,0.0022588853126547467,0.002179581132630816,0.0023457891755404615,0.002332509114277613,0.0023461562777100293,0.00263099682216926,0.002864710428905423,0.0030493982276448388,0.00319194855139357,0.003265041021388433,0.003229755025573202,0.003212600054013793,0.003188511997536986,0.0023633625889633606,0.003220834841514926,0.0012629194765323736
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008810126679837448,0.008219334675234813,0.007758926909335719,0.0076817352810211416,0.0076817352810211416,0.0076817352810211416,0.007641641046476179,0.008006825057905384,0.007270493657746515,0.007088427030194616,0.006184953848262686,0.005347965641222894,0.005327099433989302,0.004974747632032665,0.005324786817740723,0.00418929527391427,0.004225723931437557,0.004200166340360103,0.004051093761424502,0.005194602991809549,0.005019429506941426,0.005055436424473741,0.005391741863193366,0.005270520727400277,0.005147600420277081,0.005350859215740638,0.005548581768972887,0.006724668391495389,0.0068240619836838524
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007230765831234999,0.006956984857314767,0.006662740102605007,0.006763370578873743,0.006763370578873743,0.006763370578873743,0.006844621975064276,0.007166618559017052,0.00675333316498242,0.006864761690327739,0.007416967426045637,0.006100409697685472,0.006231881323697345,0.006279436279310942,0.006050487222560562,0.005613733105919824,0.005676876856990746,0.0057332191681747574,0.005867549856666493,0.0050515566771432985,0.004744778386888435,0.004947274002244965,0.005058067691198184,0.004851075517910599,0.0049356826998196305,0.005043698272739415,0.005465400714881353,0.0039008792077368424,0.005012702439090605
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032039645310534023,0.0028162513299338455,0.0026338720421861055,0.002684501746907527,0.002684501746907527,0.002684501746907527,0.0026792874322952194,0.0029249705581850796,0.002394823770940505,0.0023757252528036647,0.0021150385790699162,0.0013814065674006585,0.0013436411468329232,0.001483927711075272,0.0017109043476989797,0.0011720343921688516,0.0011808644421354277,0.0011829012698976937,0.0009420759631212358,0.0015188673113764495,0.0015553445572527992,0.00181301672798436,0.001768009246458959,0.0016376872321735105,0.001749170311574714,0.0018508091150198252,0.0021656186689975026,0.0021586758602701412,0.0014080224521872632
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4500000120038946,0.4393199979893652,0.437866884298005,0.4382171215940038,0.4382171215940038,0.4382171215940038,0.4382294918769183,0.45113673495860873,0.4537398892630732,0.45050185797104497,0.4462541944792092,0.43688084415797585,0.4371390966472872,0.438620173306126,0.46204986747248733,0.4849585937140367,0.4858910921354285,0.48665790232983386,0.507416983276837,0.5514478827570821,0.5729536806450436,0.5758056988499985,0.5784356636430702,0.5810816854457218,0.5834973606793178,0.5864460821559911,0.5405609492748923,0.6209663200111978,0.501178013601953
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005173163139263838,0.005137536438496049,0.005892346251263914,0.006014266194724476,0.006014266194724476,0.006014266194724476,0.006164508310013564,0.00789552690936289,0.008715494056861544,0.009003186470019546,0.009815416486669913,0.010348308911991242,0.010588203812026256,0.01128246040131106,0.013190263770759766,0.015651985185515756,0.015807942909556807,0.015793906125509755,0.018511615205513643,0.021579102520021837,0.022553070915601214,0.021836120206205414,0.021532225383777595,0.020909113922746282,0.02132270701000988,0.021771260660959645,0.02080373762918862,0.05095630971592492,0.03688894902910271
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21604824875283096,0.18896145973012793,0.18117767599854345,0.1805636832468315,0.1805636832468315,0.1805636832468315,0.18063268081082345,0.1856798170214798,0.19330268403805076,0.19301646403007036,0.1809431160286945,0.1426455207749171,0.14107035580205068,0.13597881557602431,0.12336574984795691,0.10720500965631814,0.10639957665754611,0.10604465794583842,0.09753314229556156,0.08426211777738188,0.08023401900196934,0.07619717116440401,0.07427961108120262,0.07063968971478526,0.0691153742497738,0.06821187654842553,0.03632041902977915,0.024064086881391913,0.012020097898974952
