,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,1.7672744685355757,0.7222272576514397,0.5460838300291904,0.44854145900206427,0.3998036720938286,0.3643240455692553,0.37469875705911115,0.3714621403536004,0.34764083437102195,0.3442064681906944,0.33943914121498675,0.33898191699993097,0.3332195988372545,0.3377565609468237,0.3319613150926783,0.3352208982737742,0.33700209779893014,0.33719013664467334,0.33508034610191967,0.3429250459719396,0.34385486554756783,0.34116417340839567,0.3428148442633986,0.34650329607705843,0.34509349922521126,0.3522220499749516,0.3478947147156729,0.34445024597210916,0.3423984503822964,0.34570802145666946,0.3493605116142477,0.34946594081146676,0.34333078325377214,0.34183439632800133,0.3469485009248256,0.34878245989170065,0.34180711645025885,0.35263036321702534,0.3437120125848072,0.349579395995295,0.34426042846187677,0.3482131740304883,0.343311957431673,0.3424519882417241,0.3429779142292203,0.34551204165752775,0.3466481201643135,0.3466727103624728,0.3438233351756953,0.34058834048733566,0.3444544174987736,0.3563297221041112,0.3527460865199855,0.34343972263668915,0.3445157133146409,0.34841961993577525,0.33979180860971064,0.346708516030518,0.3462685832446043,0.3459687748044723,0.3465744124648672,0.3522222702907196,0.35406498882981946,0.35270603579318094,0.35467959546026717,0.3486589518740767,0.3598110819694841,0.3489204372109387,0.3504534750437995,0.35204875520242884,0.3535168586338685,0.34955232206241,0.35459141738484135,0.3539896285835705,0.3505407489296434,0.3502831066371388,0.36022563449303446,0.36379003172374186,0.35570524964756134,0.3589655916905384,0.3598409471627542,0.3654418466674166,0.3701784132225148,0.3640846576249125,0.3720277450282347,0.3694809136927967,0.3703711143367498,0.370545606367089,0.36488808778577475,0.3723592960876164,0.3653753351128934,0.36997396807805616,0.3660489661285305,0.36029040836089105,0.349794728963872,0.3284950327298288,0.32833649397723164,0.3240271745739262,0.3144787521439129,0.32227422933262984
RESloss,0.06854890555141598,0.07339567113037393,0.06953049196044885,0.06604199792027428,0.06272964370897852,0.06169332327255883,0.0646907675762121,0.059310267428125306,0.06089057178307698,0.05781638841731083,0.05581082074669014,0.053086933990042384,0.051442342355711976,0.04978675764915312,0.04941651901064158,0.04950196800816558,0.04792443091298619,0.04753748149456784,0.04651240263178998,0.04427822942756841,0.04585810682326848,0.04538919856153188,0.03985877082931401,0.04338130286704898,0.04105812403702833,0.040549793212052335,0.03563009784961553,0.0368206685167612,0.038148560006289745,0.03705285782741023,0.03420653427201524,0.03436456887920662,0.035071547667988076,0.035361327967340116,0.03521037027003717,0.036527945624741556,0.03385425434993172,0.0378866418362236,0.03193228441692933,0.034528915023095706,0.033901072841792515,0.027947520347105077,0.03491985588354901,0.02956397631633431,0.029568921521129516,0.030012657989041642,0.028252369085713852,0.02421715806381225,0.026511000198333447,0.026828707085918547,0.028953209066845086,0.025788872551941466,0.02609293422549249,0.026645733407361795,0.025734121021001033,0.02368073533616634,0.02225296531621695,0.024423542495553372,0.023924735955432742,0.01958935826221785,0.02387853892145838,0.018585412590558438,0.02152680033098457,0.017734339824223556,0.023192303824617365,0.02057365440222701,0.018765865297509638,0.0184535118201703,0.01641476569019486,0.02207620740781646,0.018993294040095844,0.019640615805679325,0.02163073432996488,0.02514068195245257,0.019419287985583605,0.019813978882324938,0.023419613238544544,0.021572271905940944,0.02232613740590623,0.0236828947690012,0.02402411583310117,0.026238832083793136,0.027275495713378794,0.029823085430548214,0.03228937802941017,0.030525004109196414,0.030098776439810414,0.03809131134763857,0.036002817157814906,0.03484338689879669,0.035662031727193795,0.03415570277630657,0.03488680612116179,0.03897483869859425,0.04097419081999381,0.043070382957500715,0.04545825930746167,0.04812418407161121,0.05623172557805225,0.05451280985007452
TBDmultiplier,0.0681295292027733,0.0670954068053085,0.06558526491327507,0.06168749490669968,0.06006942720129645,0.05903100351079197,0.0618389461410513,0.05972084729433243,0.061109717020117325,0.059143519231244814,0.05417690876445199,0.053400402719946005,0.052581914204792767,0.05117557500344909,0.05373307577122037,0.05262911334720175,0.05452032195201937,0.051335317944054694,0.04733299653618428,0.04815698116498747,0.04598316578323151,0.046591730098271354,0.04487048718088812,0.04369811031307251,0.04594500340865292,0.04457589924257001,0.04586792557125198,0.04662488904499807,0.04389623796974988,0.04216520062003335,0.0423948354612798,0.04532381810060669,0.04617459474978723,0.038912363531331706,0.04261841859421984,0.04375397276999361,0.042884291716765215,0.04526745906754623,0.042803228734436566,0.04299902183529186,0.04112001312432091,0.036990273193152415,0.04012724165787679,0.04057649802259567,0.04098394030459662,0.03964828161391042,0.03564278992026891,0.03738104377223643,0.03684974728150164,0.036860046429121295,0.03354990910065829,0.030146834302753184,0.03970031963365893,0.03573372277602246,0.03642576051614489,0.035866798527648965,0.0360316886527927,0.03600069535952631,0.035177174456892966,0.03390327896453378,0.030155570926836045,0.034667521812177096,0.03308806978641727,0.03177247517034174,0.033609485901622174,0.03006808454773514,0.030886676296219284,0.030172186651007987,0.03426043035336607,0.027416198151277195,0.03097190145560937,0.02805429255736793,0.026539571797012905,0.027972082131480586,0.026293439926346467,0.027409054534045844,0.026561605919530724,0.022967465837987755,0.02677493400959291,0.022250819168514437,0.02720809060579288,0.029178203772019747,0.02615329307049241,0.027043021912315324,0.02702698230220496,0.030635038372939967,0.03248565843143941,0.03188722729808789,0.03621642167404099,0.030926346435334325,0.02960563918896266,0.030658426999491263,0.034465815791867596,0.03663023130714539,0.03669374787067251,0.048791029234120806,0.04853122367843137,0.048344113981772484,0.0483454645880844,0.049379357408834756
M_Imultiplier,0.0691436749477978,0.06461535542732541,0.06121630983297588,0.06502786972441102,0.06595296218712539,0.06809281984078457,0.06838282708154844,0.06490340214063119,0.06311246141968394,0.0635592245946701,0.06573961012507243,0.0629631486642931,0.05916880953654635,0.06012853072889816,0.05884082172768468,0.058144640653167004,0.054558609348325605,0.055060132108644036,0.05415295600918393,0.04867457519861834,0.0510977610822201,0.04756093452330717,0.04589857823469408,0.04773018043279518,0.04544490041685291,0.04483820686342811,0.042090978107875134,0.04379496484276442,0.03978387432269658,0.040400475892498774,0.040975352071753984,0.04111152600416275,0.040447340362836884,0.03855772890786649,0.04104654895757612,0.03686606265597657,0.042278389414405315,0.03994190758844234,0.03764368329361056,0.03504826988158666,0.038647654779110016,0.039922495085939314,0.037576846879269446,0.04014134561455611,0.03807411686086921,0.040181106331730276,0.039008426241474374,0.03583275113206403,0.03902259305159235,0.03955703748807282,0.03697769040869101,0.040217002569253646,0.035776846328235946,0.0380369005473843,0.03897718445509449,0.03680994927550623,0.03715745963102738,0.038926394299035216,0.039261531470939,0.03969335524134289,0.04039428535368429,0.045102587522762326,0.038394341860718814,0.036555613090638504,0.03964712305291364,0.03743088351891889,0.04196759989824396,0.03778879719011221,0.03758490686025197,0.03767544165192345,0.03490363316518738,0.037412698555751196,0.03581060246612518,0.03748666062350241,0.039451341563183674,0.03610803538042111,0.038422812700266165,0.03985109616444136,0.03788362230677401,0.044215317136104576,0.041994734381884995,0.03859522653622306,0.04478317680808119,0.04169734755442177,0.043735797659447004,0.04696967630900435,0.04326101423105167,0.045096593210009556,0.051016406057638145,0.04769169303941455,0.049345820831367085,0.048719471784591614,0.04742038079263244,0.04736257408697681,0.04912398736231226,0.04450578340620266,0.04352564425357451,0.04891561910245814,0.053388876028661714,0.05497640136531514
ShoshoneDMND,0.0732640614126103,0.07331878407353948,0.06939253369920798,0.06891308846981983,0.06819498329364211,0.06892148842000721,0.06455298704898814,0.06357428499684295,0.06417193953147343,0.06300249826027392,0.06267089510453601,0.060846863370795215,0.05871597589972786,0.0587185239077488,0.05589826438491034,0.057215855509846106,0.056725918388998084,0.057847954902526665,0.05834304770259981,0.05449622672863993,0.0515717602220868,0.05318050301581312,0.04906845430561811,0.049022694862723835,0.050208838448733265,0.04877713827491287,0.04750567364222336,0.04793526319506792,0.04352454188694671,0.04504574448755359,0.04306498484536515,0.04498505722967923,0.04435545283084073,0.042396865161076346,0.04301747104822391,0.04035069875922968,0.04227292669161084,0.036941592652667096,0.041407189986393596,0.041959287252683594,0.04058850172514764,0.037376254364658926,0.03693580102453626,0.036764153397083776,0.03726471111315033,0.03610096936303637,0.03306343799035498,0.03470319838633383,0.030296760138671924,0.02932663789832879,0.030290018932815486,0.030457026555630352,0.03094369641253896,0.031186606703967272,0.029647596273248533,0.033279566105545784,0.03272672001507083,0.027830640316944332,0.03024657791165431,0.02918188807867366,0.029226950767891204,0.02395946679983893,0.03014478863725375,0.026771159271718796,0.02923203672701108,0.024439103545206377,0.024209452404545886,0.019052343508668183,0.02457840729680817,0.022795407194861138,0.022824586752231573,0.020843890620482503,0.025258547234065197,0.02522088505121896,0.028382071411578263,0.026624178269690647,0.030192090940513266,0.026041189098202067,0.029527609985207814,0.03334210587903313,0.033028783647293676,0.03654163766026887,0.0370331693564597,0.03602112202303775,0.039678302748498664,0.04284804745815638,0.04613462629624103,0.044937149653471405,0.04127068608437515,0.04495047129547864,0.044192816009328936,0.04542605968610307,0.04736069981560234,0.04727155989769232,0.04968035843713685,0.056382737544913686,0.057860986813224956,0.05940197389528523,0.06265601402532414,0.05886476423487079
ENVflows,0.0777126586622199,0.07064475278452749,0.07084666034148543,0.06836276794356635,0.06406757639216466,0.06358250656267395,0.06628770805391043,0.0646695418536633,0.06087097702647343,0.06132892122627609,0.062928138244541,0.06087239370295737,0.06438378565252015,0.06267176167287022,0.06225240176441131,0.06060449359539719,0.060303193358505994,0.0619481497178417,0.057375281400722844,0.05735053455953939,0.05641981784927913,0.053491060352795314,0.05430353834601374,0.053919731862750876,0.054658391797236486,0.05138140964925839,0.05090274887133624,0.05004177772434072,0.05019406128698397,0.05004219239930224,0.04674776308420618,0.04803853588257601,0.047366217046209594,0.04727326772801315,0.047511248971660716,0.04729935441183504,0.045573076777788615,0.047888602143153165,0.044416649856624815,0.04276596031376741,0.04367605799566414,0.04229943716202341,0.042278350920283536,0.04332398670858702,0.043948856272943024,0.038393942629177794,0.03576723688879359,0.03443505437148382,0.037903221842914156,0.03870229084532701,0.04247861302212336,0.041022037880033634,0.0418839430755596,0.04449683856745587,0.037946249921344086,0.037665064534510774,0.03865841984244631,0.04067481407202467,0.037160043736099775,0.04256862719953937,0.03971504592290561,0.04055072120651241,0.0390616722409844,0.0356686915190248,0.040475892259865365,0.03966698110771991,0.040254554937806455,0.041035010446567356,0.044120832580833096,0.04264496197916927,0.03988255453801011,0.03357480818947888,0.03752237431216184,0.040613122484034744,0.04225809578608715,0.03809517639101752,0.04124599160960422,0.038983279570327406,0.03982890090224344,0.033939677021918344,0.035279925873514445,0.03355306667494967,0.03718390544313573,0.03940058661225021,0.038165633363874026,0.03842354090377414,0.03663169220477737,0.0385234471509031,0.03822647950833097,0.03761607279629696,0.036608222372188005,0.03345940836083015,0.03582001022179703,0.0362057795185166,0.03886208350876057,0.04523095920463801,0.04567651960210824,0.04855053784490029,0.05174299452008797,0.055148416064953666
EVAdelta,0.08701855450083133,0.07693141145836567,0.07224744659704972,0.07809312798106478,0.07519040124454571,0.07389484516746264,0.07138639848428949,0.07612055958992013,0.0720871147317709,0.07169475196544325,0.06741481580921646,0.06448197485540597,0.06022217688189611,0.06483831505087631,0.060664101327433315,0.06202820314428734,0.05614345563715258,0.058612467075305576,0.05994891810223396,0.05760217742865834,0.05450410821908449,0.054277717030554715,0.05324139267100893,0.05502347722528482,0.049367588360747026,0.05339425700892615,0.05217600292958263,0.047320967972531984,0.04509854297468874,0.0472860025682419,0.05001184407305419,0.04703278145897917,0.045279149656413865,0.049228620724941205,0.04380355249437095,0.04630216398336367,0.044270049517283486,0.04342102470836269,0.04586822943181075,0.04622372999667329,0.04212167806608438,0.04361490139166814,0.04711031684863665,0.04384306998043617,0.0385696169873332,0.04135044042386242,0.04283922786551456,0.04202146036668973,0.039598623904091496,0.0411070230375334,0.034237289633281945,0.04058781650902958,0.039865757628309746,0.0399833261839615,0.035173160076240634,0.038977393421455266,0.038854453307198986,0.03875626707606018,0.035051213533002654,0.03454690785335891,0.033284072734143196,0.03528771107643656,0.035526622584608133,0.033457352708830365,0.03546004159305725,0.032266244986084075,0.029361236646248706,0.030117219181002,0.02534642425160784,0.029507100001235808,0.027717199847607697,0.030333967385428533,0.022302991946596917,0.024981456284169347,0.027080858493718614,0.02938342090422034,0.02568204014236829,0.0252196892361382,0.02718057408469406,0.02557120696117452,0.023276781805816653,0.024260213948268612,0.021741805380131658,0.023494877531273016,0.024122566635324586,0.0275916076243041,0.027593174968639923,0.024966119914715354,0.027945430327882888,0.024886964277418176,0.02738354111121637,0.029717821987586872,0.03045693945406209,0.033111617830974036,0.03921659964535002,0.052565560688185756,0.05418033256933241,0.05164122462760114,0.05680312328664074,0.061088854427905716
XBM_mu0,0.07440301533751097,0.07792940554648987,0.07655171283773683,0.07679654819193447,0.07940112957083788,0.0858816557948184,0.08401682471905898,0.08278339444907108,0.08084754268120399,0.08372858148062351,0.08191060110910761,0.07811956617441333,0.0747810474731434,0.07102942153201847,0.07575839576712988,0.07564549873684476,0.06864776412445242,0.07356683516591764,0.07090066898824826,0.07062105289340857,0.06855035850543287,0.06922868144746849,0.06540422273567724,0.06635988377087335,0.06731517158357367,0.06682959899746443,0.06978487931722996,0.06852078035512882,0.06518045829850623,0.0649287840279398,0.06650833015472911,0.06924438483007406,0.06912763963701464,0.07068432676673737,0.06642643423480618,0.07208214094257617,0.06697326652238857,0.06727479509332876,0.06726138841637268,0.06728621767610674,0.06796135720151594,0.07159617739032534,0.061996220997517795,0.06833358903402656,0.06455009377408723,0.06543569529398857,0.07163108695028172,0.06805562605479534,0.06533699853443742,0.07145396053899335,0.06391773095519045,0.06502194714264256,0.07153300800099134,0.0719763672024005,0.07105194317626004,0.06869472750456583,0.06886426432967886,0.06840109051575477,0.06929537483257875,0.06124618065428363,0.06840628481020361,0.06260547114132979,0.06698661043090146,0.06860703859789082,0.06670877510222169,0.06694142884268535,0.06396078472406513,0.07097301526251518,0.07397677222000375,0.06351685689802074,0.06581931408562146,0.08019597005462892,0.06964627785354455,0.07335608848650156,0.07555399809224082,0.07320100737301038,0.06772818290652219,0.07134788035716574,0.07353367038028655,0.0668300281825818,0.07061727216941896,0.07608470051046758,0.0729402827293709,0.07850203722966911,0.07969491772085605,0.0728927052464237,0.07451481713713791,0.07733101942418426,0.07945414167959097,0.08198182477981907,0.08198796746689638,0.08052635962894619,0.08312404110385534,0.0839612891064374,0.10383117002494527,0.13224106653495282,0.14092779782512221,0.14421349938427436,0.15715378510616745,0.1610776944249253
XBM_sigma0,0.061122202397150605,0.05593776918679353,0.06044186653779641,0.055721292288467596,0.06137921791043218,0.059958374308722376,0.054709929737847586,0.056360144202339924,0.05806979014482838,0.05390117836654491,0.05832192503951559,0.05532898268124058,0.054171573590476405,0.05320997505105679,0.052505872402092965,0.05092476270909911,0.04771910800839977,0.05120673398161527,0.05295409372816469,0.051630299576228535,0.04797471272926122,0.04770482223707585,0.046985184166492736,0.047414976929579584,0.049147374206680944,0.04589320339891836,0.05027255281172397,0.043864425037298024,0.04641829506210224,0.04642171915563494,0.044249460954093545,0.04221672663879741,0.04522666345929853,0.04549063838512198,0.04451711151210923,0.04306664043988548,0.039062806753178164,0.04623619129562407,0.03945636790063336,0.03686221047241468,0.042244202652907056,0.03833373945914406,0.03801950533522627,0.03892371607234909,0.03998127227677572,0.03696186488857696,0.033051270145079206,0.03652794560928968,0.032911356473601584,0.03183154106957549,0.03482652953793473,0.02795585668687594,0.03093733286083448,0.028420414005848226,0.033458329397865534,0.027785676316754816,0.030353358654938607,0.02957647725384881,0.029477901698726272,0.027314820862024553,0.024637319480805588,0.028788837128688773,0.02479673677057154,0.024499860864691324,0.023703925151045864,0.023628452268069644,0.02250595174394333,0.022912751946479702,0.022520108397951953,0.019642011408734637,0.024792639132422113,0.02084192149625791,0.025311818356631034,0.025580373844152248,0.020463159047957813,0.022840232514089405,0.022220055215099083,0.025229988971965794,0.025897212204140218,0.024302754003994426,0.02773125878966274,0.029567358381227267,0.03170985318985689,0.03176328806930086,0.032516293424038334,0.039887089031331265,0.04192678970974415,0.03982200317112124,0.043804755835424924,0.0432130747959489,0.04428520799853813,0.045277088863888405,0.048025648422790834,0.0501313218521632,0.05563742131334822,0.057542101245291764,0.05358172887574536,0.05773992231307236,0.052706636325494896,0.05473626284580409
XBM_mu1,0.12109917694843594,0.10860864047955003,0.105478092982128,0.09533530395417815,0.09087561292740136,0.09790140474336972,0.08721501293783457,0.08756744453743455,0.08199482655913407,0.08233277466803757,0.06962198826106243,0.0728284873934901,0.07639693175021642,0.07205951089236007,0.07109664579291593,0.06810696440163362,0.06726553789468284,0.06944095359879589,0.06576850662357711,0.05995182538374642,0.05799915668848053,0.05616211542534928,0.05579095143677655,0.05723187009723509,0.05881355141932585,0.056627309455481424,0.0564692587630604,0.05332716536517904,0.05555707809433743,0.054729731158955006,0.05365542162373872,0.05462844937613078,0.05076647823078971,0.05392348923155636,0.05094666769195834,0.050429894685288204,0.05030154254405541,0.05358746942968812,0.05169770413867634,0.04665792959881874,0.048771726487514114,0.050260066336040375,0.04832103486594505,0.050864753638992635,0.04535890053494342,0.05009707463299018,0.04668280660809175,0.047110070091278634,0.046998313792815306,0.04856062147108426,0.04292965352403176,0.046207273514679244,0.04411585496908384,0.04624104493429781,0.045867067997168914,0.04166322563557779,0.04163394106464545,0.03956858666609394,0.04305277447465107,0.04182276136296105,0.04345516713427437,0.041126409402400074,0.045078377766094226,0.04191474495029476,0.04411062499000942,0.040075585908001164,0.04031963764473227,0.0396359612208045,0.044122029515552566,0.04238768339425789,0.045954555212426196,0.04572213284306473,0.040534308064796146,0.04565449792059868,0.045257032013733024,0.0459672989672058,0.04648220866100664,0.04635943483838189,0.047640049754531434,0.048278476325191805,0.045941746816856935,0.04643515409781359,0.04814583745831905,0.05009629251087509,0.04874967849671635,0.04818844467890234,0.05557831115113869,0.05240262164157603,0.05645449118570954,0.05446254495938955,0.055437817956026494,0.057145511230258225,0.056501356146230676,0.05444708294646603,0.05087858849288298,0.05041289330891584,0.047201459132748466,0.04680777754477698,0.046968669596609426,0.05129060075056615
