,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3417157514729397,0.33454478130012666,0.3395151141723628,0.33530057679934744,0.33945024330949536,0.3373386483651245,0.3392470343710698,0.3475482546344383,0.3436769903583081,0.34701037208908364,0.3462584531655402,0.33814641352454267,0.3436601026825474,0.3477923983568696,0.33460056926414755,0.3472042120306396,0.34247088565276396,0.3314410447834183,0.3258346217220612,0.32932281332349145,0.3183035649209421,0.3230237245183548
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018873868723969137,0.016151041762514688,0.016827177564412637,0.020850180232047304,0.02205084480576101,0.019275730943767534,0.019514463203921927,0.015435626582732686,0.020133112163066413,0.022019776954274844,0.02068791044783904,0.023269071828262995,0.02107688701110042,0.017602892598544053,0.021792913918503038,0.023575190903759896,0.02087830175022821,0.02454466172008935,0.028399314197858284,0.03205814942248972,0.03133096720719327,0.03492522860842038
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020757322167680302,0.021016450467708274,0.014620463068839653,0.02265443068925091,0.02631555426154334,0.02569767635759145,0.02304770480986435,0.021103062730025875,0.022413776020698297,0.02376286992484057,0.022504330971795744,0.025309008104312043,0.025016413480769613,0.023221912668666432,0.02664740240005297,0.021457269045810162,0.02437004986249191,0.022583086131969198,0.02695715611611569,0.02738754023739116,0.027800683989135155,0.026094664610761376
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040038711169959135,0.04458236992852269,0.039843642489621287,0.04080826961017435,0.03535980906124893,0.040425609671935314,0.04051909903280791,0.03947229728268407,0.041279272452684965,0.04060263272387289,0.03918367117991753,0.04230813841856791,0.03745633742911009,0.04130681505224807,0.04369077715463949,0.03820181007682753,0.04346703023285104,0.042730235696151905,0.039462650999936746,0.03775924376746382,0.04647036713335766,0.045780441359572224
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398000143857788,0.04129435041575264,0.04110580599944418,0.03686138710540667,0.03784876215991563,0.04060565098188755,0.04202247247125015,0.03957256709904443,0.03471647283538924,0.04039181614084008,0.0393381939342165,0.036615861361690705,0.03618582573502056,0.03885289154582878,0.03871413619280412,0.04006961911729351,0.03962466560660871,0.03886246253334365,0.048674039401251826,0.05213706039605911,0.05142672530825708,0.050450652541895166
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03291667915955458,0.033529814979629265,0.03307889319897865,0.03112411656524546,0.03042618932009087,0.030363159879959505,0.03141758055414565,0.03564006768547846,0.035061944511595736,0.038138044563079725,0.038861003449348494,0.030185697807445545,0.03558027113538957,0.03760095499918688,0.040446933390894765,0.032308876999347654,0.03621883857534811,0.041495582171874025,0.04238441581957672,0.03584764385208557,0.04017797038366075,0.039722202830759175
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041959384134431524,0.03981665076391368,0.039328799110036464,0.04090953779349155,0.03590169369810346,0.04130293722891774,0.03693778604223764,0.03708410937304167,0.039265769738811865,0.0370998637094755,0.04194356510877636,0.036460497989991646,0.04072524292436019,0.04010575282565219,0.04154190193203326,0.0407005301572537,0.040337000500880994,0.0377397929052194,0.038633047464307464,0.042716101093587366,0.04200668718235455,0.0453722413369509
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15066163367182947,0.14883399847762296,0.15284954635391662,0.14956086824390755,0.15738281695939935,0.15507999774080625,0.15531598087915804,0.15687827576304253,0.1557703446272292,0.15740653097886487,0.15504976335835338,0.15776815514054846,0.15852101832659676,0.1626771108923319,0.15743046118356716,0.1554792530754685,0.16457651367780812,0.17400367024268026,0.16876508660778314,0.1716666417839136,0.17726700974735501,0.18455221773610153
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038072356827631305,0.032344163489805074,0.0408065267304354,0.03383558792744453,0.03526916536917868,0.033245559425874274,0.03996967953929355,0.03603310649922818,0.033133646616530385,0.032978785957654334,0.03177349533004585,0.034680884794593345,0.03069778897043974,0.031250388367865575,0.028070907054216644,0.03214321968937927,0.032461579550727385,0.030332813361715106,0.03588442433000614,0.03327869544818296,0.04103553659316804,0.03997313853102198
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06752650787893147,0.06945770726062984,0.0735573634640778,0.06832786132582827,0.06875199945543861,0.06846691833591176,0.06984513008849423,0.06001964206359299,0.05866325681590281,0.058688722099171045,0.06534556541775995,0.054606794087766954,0.060825400631535256,0.06073143509171307,0.06604342497431069,0.05392413735448938,0.05333056261806777,0.0550085660153774,0.05089602585712538,0.05662118724362556,0.05460233528654659,0.05203184749200738
