,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08541287252543106,0.09063665139122579,0.09252950537103077,0.09359065802436983,0.09453206052165308,0.09661343555661916,0.09880968210590813,0.09930571710253233,0.10042317233718434,0.10253210979150307,0.10301646324666514,0.10268979455372496,0.10272209082989503,0.10327956311021946,0.10296496000966338,0.10214962593187338,0.10251501520554585,0.10296153548323683,0.10332407490413342,0.10335300270679104,0.10484313283132107,0.10526248998410959,0.10500337212774213,0.10359192619730806,0.10505820698647672,0.10883767521074339,0.11053323186516728,0.11235732091788098,0.11336824910456478,0.11601420956431163,0.11696360217156898,0.11690195287872951,0.11948636797106393,0.1224471841117648,0.12219435615673602,0.12385366226835937,0.12042574233812531,0.11996377829211546,0.12176919028285593,0.11990228908798994,0.11582017428053992,0.11048757234888917,0.10667010875990157,0.10083926106724228,0.0855392089487289,0.07168695229125321,0.06297941100233206,0.023745612915291203
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025265027267273865,0.00022900119689550635,0.00019577403208126398,0.00021011465014031394,0.00020016741320538767,0.00020310806885803778,0.0001638005695928646,0.00016723624756687094,0.00020344538251859667,0.00014073637321476706,0.0001873660368910679,0.00022927966673125244,0.00021595079617742208,0.000259511290114145,0.00028740647145109044,0.00021374613427582734,0.00021021399944587404,0.00025044801764473323,0.00024367378928313865,0.00026361907234329074,0.00028328487745465925,0.00029212641871345646,0.0002851494095008622,0.00032090945927898407,0.00034830032090749086,0.00028150063227672106,0.00024963432537872254,0.0002885050738273831,0.00033202893639117104,0.0003480390443558745,0.00037071305918812136,0.00034384115737862153,0.00033360132683879495,0.0004117286612842497,0.00033682540588353405,0.00032358529196363506,0.000257749951416808,0.0002828148968621047,0.000315360415029442,0.0003088388838724532,0.0003028558488584743,0.00016977597132461497,0.00015511140004575985,0.00020024842363131068,0.00020238387249593703,0.00010816477865804863,6.173075692761376e-05,0.00021029879038791943
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.233514171918088e-05,6.0784071089448055e-05,8.79509372184728e-05,7.492889384386192e-05,8.01813122105477e-05,8.37470634530435e-05,8.317038962635248e-05,9.353855462290728e-05,0.00011919885342270842,5.9953304471616065e-05,3.5529312073845354e-05,3.44951551006778e-05,3.5804121100380115e-05,2.9990114148281677e-05,2.343700437446028e-05,1.8338072373502712e-05,1.918544473733519e-05,1.682679980319346e-05,1.1436412693743847e-05,1.0106558954947609e-05,4.584995686895965e-06,5.917261986287947e-06,1.1239534416285224e-05,1.6228489404968016e-05,1.547158724390929e-05,1.4052320354229764e-05,1.1020259158445178e-05,2.5642862231500807e-05,1.828811475079739e-05,2.8228844505484574e-05,3.334427030210474e-05,4.3235126429230775e-05,3.834063252761144e-05,1.7129208814692376e-05,2.406365273277533e-05,9.743847129706218e-06,2.3156782934186104e-05,5.654856038539435e-06,3.835866160817325e-06,9.60029324403866e-06,1.4033261845125544e-05,1.5095240269324961e-05,2.4980225058479633e-06,6.822258723016006e-05,2.5313822100248018e-05,2.5554721561071858e-08,2.2323227859333272e-05,2.4888181981541635e-05
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010148396082751976,0.0009353498675784833,0.0009197736502283282,0.0008687471362344157,0.0009339669910749526,0.0009607160718686503,0.0010713424107263725,0.0010650886575754859,0.0011122602420086114,0.0010640535679876661,0.001101364183649589,0.001088919439290903,0.0011497934552994193,0.0011034701214902576,0.0010378403751590826,0.0011514862188629627,0.0011922946393323475,0.0011728314540111473,0.0011767517006970873,0.0011409961316740658,0.0010394347327278286,0.0010384836332139047,0.0010590937240799736,0.0010282504503561496,0.001026852284793045,0.0010402749955389368,0.0009267562300587784,0.0008124315174997676,0.0008078677279915736,0.0005847493843892382,0.0005894191307195262,0.0005447670946167049,0.0005824132326542886,0.0006577185998272173,0.0006953904881802364,0.0006438902357237541,0.0006535779734564429,0.0007544920317543724,0.000840926099037409,0.0009544455359690174,0.0009619116798549321,0.0008354319202148464,0.0006676080002715468,0.00046068235565877025,0.0005471385120523475,0.000622442412134383,0.000611031465681422,0.0003043401528318723
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007848179316943815,0.0007228069566627138,0.0006817925497522026,0.0005682356177993952,0.0006044885080337403,0.000664087226018073,0.0007355185853867852,0.0006856479001261517,0.0006547533560796737,0.0007243071734180928,0.0007534664657842249,0.0007179829604931909,0.0007298908785409175,0.0007088778223141023,0.0006250824476461414,0.0005855989521615923,0.0005622532549676151,0.0005543800281778699,0.0005180842672435348,0.0004874595764220446,0.0005367282849684241,0.0005507836793997578,0.000558217694556884,0.0006922731469470866,0.0006742639145309592,0.0006422561929966264,0.0005791598085560512,0.0005632555706757136,0.000597115647278379,0.0006754260638466292,0.000673440783003465,0.0007384673718408008,0.0007090858836343861,0.000731700163135951,0.0008357796479335766,0.0008275138073475796,0.0005731274641768147,0.0007662580204798042,0.0008931005505175005,0.0007984670617607881,0.00081046866728407,0.0008297303716560123,0.000574408962239148,0.0006168378834615629,0.0003844166027429097,0.0003450136610910759,0.00020011905766070814,8.922671908084823e-05
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008715426725285358,0.0008511286901958792,0.0008461935685633026,0.0008037011749670864,0.0007979459547349244,0.0008139064333463342,0.0008839666970416049,0.0008583740741187063,0.0008879507333574566,0.0008758527405241523,0.0009857018198545786,0.0009520656782907588,0.0009608816917971996,0.0010032937415616061,0.0008886108518451064,0.0011110328370972367,0.0009661317114514345,0.0009878298075861602,0.0010274515911298243,0.0010557814458397319,0.0011789931518353391,0.0011584286636989738,0.0012058495198918884,0.001125394356432996,0.0011123519846781837,0.0012251752041483321,0.001342088897902216,0.0012424504654888757,0.0017075117232938641,0.0016686203580907888,0.001626749434624264,0.0016362993011482807,0.0016470855905632575,0.0017207523717162054,0.0016789476731688957,0.001814342727648799,0.0017496003688156625,0.0015379971613338483,0.0014010076784440884,0.0013790478936670514,0.001376535528178513,0.0012647266216421205,0.0009350404221337705,0.00097161978345639,0.001187218701435122,0.0010713052908430942,0.001050091198462888,0.000678479938561849
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047827012758827614,0.0005817874961530078,0.0005869826066429162,0.0006144953777583728,0.0006386149210070302,0.0006551373448075992,0.0006636292624513374,0.0006377258446824685,0.000625693456962062,0.0006145044912629904,0.0006114086126813856,0.0005973079214210975,0.0005683159917709846,0.00048072999021198104,0.00045690747489679495,0.0004974209011944231,0.00048439412454415187,0.0004920220995225932,0.0004986653872040003,0.00048023317814116506,0.00047705775357509417,0.00044333431769927323,0.00042378322026603854,0.000313356808564369,0.00030303765837602636,0.0003513176046162636,0.0004239919325712549,0.0003418510547990028,0.0002485340154301241,0.00023097139989558535,0.00022861210790448006,0.0002539399365576456,0.00022573167900652447,0.00027271482877133657,0.00029189407351959407,0.00025009327341463106,0.0003317809201082156,0.00020514882440003657,0.00025692137880561905,0.00019213420070796072,0.00015018849399761613,9.645139277880688e-05,5.70345383810178e-06,3.5174478749677718e-06,3.4168387407218503e-06,5.504247173604426e-07,4.864765452650133e-05,0.00011132689830073428
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33075767387925137,0.33655708798792805,0.3381132959908768,0.3397919112990927,0.3409510116223833,0.3414244015183173,0.3419417081375721,0.3430326482537829,0.34324442941002753,0.3446379065845393,0.3483445071829424,0.34811563021502556,0.3474199625178279,0.3506568598389562,0.35379165465670903,0.35731761897386316,0.3591516578109648,0.3590362986682418,0.3604546519449092,0.3621929229923311,0.3638592020971936,0.36467368834159186,0.36560052221230743,0.36779051346516345,0.36819688912804505,0.37124914023783806,0.3793933260003097,0.38204375697849136,0.39994059020865935,0.40406621224452355,0.4079205599560777,0.40913013400045806,0.4111270462033144,0.4123031959697325,0.415133460202357,0.41499784708760334,0.42011380932376197,0.4267529348596282,0.43226483035789454,0.43387768376106906,0.4368297626258343,0.44569043206481107,0.46528322945848,0.5155159019749728,0.5644085262196751,0.5778296803035459,0.5891178832632369,0.6221753867783177
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001589674203310465,0.0019136416970277903,0.00198352384522249,0.0021338631771045113,0.0020807875845114676,0.002404515987335487,0.0023988726457992993,0.0024081772365847076,0.002538841014894766,0.0025630115794099684,0.002734897055553076,0.002789030054756947,0.0028070600286832503,0.0030192151072220286,0.003303852522044015,0.0037902174457354887,0.004095081217628027,0.004194456702574789,0.004192037028941331,0.004356913577952093,0.0043737169825334155,0.00437496957893746,0.004230776909246781,0.004425656109151466,0.004406168524492493,0.004371980533406261,0.004508930750396711,0.004878300035470184,0.0043566722711312345,0.00500943289408029,0.005226332553310842,0.005239037626483367,0.00528996306181706,0.005573678091548406,0.005706955086910881,0.005755559921240105,0.005492696919685125,0.005882213329315378,0.006497398661363896,0.006736621323758851,0.006738506373892839,0.0071924318022512645,0.008299702237149487,0.009997117324194393,0.012647392721514827,0.01454683912001542,0.016615496535957064,0.014079687487275505
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2656449373843528,0.2543001059426062,0.25264272923809517,0.2507829160333953,0.24885496929198303,0.24661396000922675,0.2423558371379414,0.24094983363381794,0.23974669284673122,0.2346604542006997,0.23266721612877528,0.23238217133084071,0.23186153247867514,0.22855868120938272,0.2257487704063088,0.22275452397013296,0.22025798246067396,0.2191083558637137,0.21901234211491782,0.218633043364162,0.2171750704815364,0.21625512019471715,0.21514910407014332,0.21499752983140774,0.21381907366308428,0.20748705761849373,0.20186531264364738,0.19422394354690142,0.17482894572701524,0.1680259915718023,0.16447631878793167,0.16369940568341412,0.16038029332553305,0.15707025705025213,0.15264878022388462,0.1509226802181194,0.14789510544033135,0.14227136172057986,0.1387638387356197,0.1379381593644391,0.13921106525645865,0.13551270133213533,0.11959985173787613,0.08979120535250895,0.060495341738281305,0.05060514009524186,0.03969808456027535,0.037127623139167065
