,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.04003700865218298,0.04578493656356939,0.05478765192393894,0.055607297967156896,0.049539930502679096,0.04331695645892871,0.03131461903811711,0.05179080666720239,0.05443262102086381,0.03329126940323778,0.03834711415315631,0.05101430811031701,0.06951444820575318,0.04696746048891208,0.04144053526082888,0.027000409257987152,0.035736665782040086,0.04481804434573139,0.052595975688578475,0.06417184524843086,0.03729773088643947,0.049115792494984815,0.03522545242048786,0.03232640677797672,0.026228357058293374,0.05402368670555934,0.03439871344716088,0.0343958986558114,0.04335060802262667,0.04654951457818794,0.0472812250122155,0.04203473233896881,0.0503872447087586,0.05472231800182998,0.04029176232849078,0.06929515304623794,0.04690333085531728,0.04014690260773453,0.03452923701974901,0.050151500317973045,0.04486557898796029,0.04038990243437331,0.04048018939543906,0.046739067538887034,0.027196904327419287,0.0509475253010268,0.030601302894188356,0.03533700533830696,0.048773547752264786,0.03580546783176651,0.037484208310891234,0.0480103291921223,0.057285625603474784,0.042560844823343956,0.0341978799229093,0.04309327925866882,0.043434501447174124,0.038421793174893026,0.03367515841540524,0.025962843958607856,0.04107083740831646,0.04325398573682617,0.028773438325284374,0.03991759808237122,0.03153497313319191,0.054102535845558596,0.04073307771179322,0.045968135778333634,0.07272309803096381,0.03743457119198029,0.04503796798565151,0.056624581195811395,0.054771322639070016,0.03518750909143017,0.04760344431165984,0.04898767725992302,0.03160046498634796,0.04125433832185092,0.04987102114281315,0.05031234984534198,0.04168302406984399,0.038097635088250925,0.05747364647289056,0.04678897657399359,0.04852624988299236,0.019113198022611945,0.03211082556953382,0.04196580629051788,0.034868228696608196,0.048742505843294946,0.048712622387876006,0.033499224173799594,0.04586264526552698,0.049185907497175885
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.010012611305074776,0.008611222190085989,0.007265886588335293,0.008238714121192679,0.007110825444831375,0.006623480828834839,0.004915095937851322,0.005611656398534474,0.00687879147859821,0.01293446761556963,0.008631939702262061,0.009716793936657447,0.0054771012521093055,0.007957236460911968,0.00950166971730767,0.004994435800458025,0.008139039089300028,0.012892031980004487,0.007724330555113641,0.007764057193327703,0.010806454500674165,0.005580982734799166,0.005432248385699432,0.0062116396588802044,0.006342894709684685,0.016965231442383717,0.008899961452066304,0.005291798109624602,0.007708271246599641,0.012035245285043275,0.007831288923674106,0.006031655217957819,0.0074648100323491595,0.007036802154386089,0.008974074349077953,0.008270762581654465,0.007239414281621702,0.009405246844223999,0.009598094744840573,0.00884559550318493,0.007708277425664754,0.00811726770765386,0.011339162804251013,0.011208589152071865,0.00724743351272577,0.009339073240782257,0.0043086305382012465,0.007154032436582047,0.008193892322857032,0.007734201636943901,0.008124799299978835,0.007995337683313807,0.010584863131031559,0.013071809982091356,0.0048528348119530156,0.006918905859558096,0.00814685239930194,0.004262267680866992,0.007531859128489878,0.006224025032543511,0.0071935321644606785,0.009576297449478239,0.011519683227387952,0.010231528861437945,0.01039297270917555,0.007615001207345197,0.009301674899053244,0.012191575757101185,0.008797805195770798,0.00948943713390962,0.008452986052415599,0.009131994863537897,0.009575764002966449,0.005169980122723665,0.007410256671694526,0.010957869702063068,0.007913031288896574,0.006145357746003545,0.0037927590375892487,0.009326576967422954,0.00887714241272354,0.006411716945933193,0.009962586172053941,0.007467373614116066,0.018070550913115557,0.012110380538246295,0.006478006808350132,0.0048783733994683205,0.008645390912880404,0.00672727552464438,0.006638201707658653,0.0117673261174494,0.005217497924652409,0.013927977352966902
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.010420014275184538,0.006018863215685501,0.004607259191000775,0.007378254843426514,0.005438856606585544,0.005768022217008281,0.012473862990768091,0.013306941060147525,0.007913576728872947,0.006846091240054632,0.006731712837668537,0.008985488996043286,0.005485545040896033,0.008005645301162736,0.006619786637320173,0.013758138364029709,0.008243791386145708,0.008590532700627752,0.008892447920527029,0.008499148969098713,0.007323268808247354,0.006734445370450112,0.012032360219100076,0.01165832270473274,0.009345243633650333,0.008687524812637695,0.013055722376915152,0.009877223759970006,0.004724867876102937,0.009674733723998252,0.00573712017407844,0.00918472329880964,0.002580446876264221,0.01058281122162461,0.005358104491353392,0.008039384739630756,0.0073996499107557975,0.006530030181800402,0.008179513840156504,0.007247437453660807,0.007643410798539758,0.007280562857187573,0.008043118180071992,0.006627540984689726,0.007696659241109159,0.013869689859555837,0.010121384986114933,0.006536313415427535,0.016128275847739532,0.009868119264804728,0.016942168845219444,0.009490243197715725,0.010732759770521575,0.014860779016405501,0.005494675914831985,0.006764315060635127,0.006241004312899844,0.006977709300616712,0.010088978920874256,0.011360259760176674,0.004688268703641906,0.00405787321138279,0.00749458410502059,0.008532446150907732,0.005215426466930988,0.007127879450925742,0.006566928575455218,0.008031232599212628,0.007617432543598071,0.006594073735830878,0.009518515918121431,0.005351603797135168,0.0066315814927608435,0.008822950120930276,0.006268930330472439,0.005943747511701006,0.005110416320448954,0.00842721565064992,0.003163512978247487,0.007306193666258609,0.006009510091248302,0.005844871224519222,0.006122721045818508,0.004377333419077921,0.006000223689589694,0.005818682250045654,0.0033716532015535114,0.005635617808825469,0.008987373637961298,0.0060720536669854,0.005523572343739458,0.008035659960881915,0.011787404630354366,0.009414271487807838
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.00853044721051822,0.007594003182517457,0.005974566434632362,0.008584483629024536,0.010309453923725027,0.006737811370678608,0.01018217116410175,0.007581850454271583,0.008080095300211542,0.007276864254931291,0.014225504252512493,0.006601399845030101,0.005519357616222391,0.008579044474615957,0.010652797377232988,0.012700639243448192,0.006041704444351809,0.00619403541708143,0.0061799514426800674,0.008363188216040842,0.012739039184655859,0.007530224870808565,0.0070032831607106305,0.006083327763235415,0.007743630834813744,0.009836651582557159,0.009626826699227806,0.005225424491990629,0.00926231256181013,0.01010869598917382,0.008057337578972087,0.0044060330475112625,0.0071435650256064685,0.008369514220426713,0.006463974775040124,0.010560666890200505,0.007295482685283189,0.006879388000248189,0.006021690699929523,0.006987809588111792,0.007732769028084178,0.007947933189711508,0.008610143110405854,0.007709087029830696,0.004704684715274099,0.005186881442034396,0.005657055855654036,0.007960121801667209,0.00885667267827471,0.010057133973304537,0.005849389756706398,0.008588119507246745,0.011668306311426664,0.01035744224588343,0.009519496025041927,0.011143499834325266,0.006325133622646009,0.0071319835868430105,0.006970234285865347,0.007541878506138447,0.006822246042239025,0.009609905027540458,0.0054573786165533645,0.008710059529675605,0.006342654352863965,0.0057442631701428,0.007927770737191694,0.007673530868028995,0.006147999805832916,0.0049591957487504215,0.008476880641150077,0.01155228072107312,0.009724832864531588,0.0074783430799270295,0.008860911589833199,0.00887571268733956,0.011114016002376131,0.009204351145376554,0.010244841849271432,0.011297100542637625,0.005835327978511616,0.008758618430208769,0.009620944898586453,0.0046510674651071265,0.011285460996338344,0.008765512932400635,0.00956920225596992,0.008371277886740032,0.005877004690047643,0.00927787346238005,0.005608034501867423,0.007278103375513355,0.006287463726681572,0.004452806824146695
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.008318837863373726,0.007994639805467281,0.014131443700590328,0.0110519616128997,0.009076461547521836,0.005930694211303939,0.008946170948604212,0.010312796485633774,0.005789482111951373,0.01071087239543018,0.0110126954629549,0.009238699612578475,0.006944947862306373,0.012617936149731331,0.008422460569216375,0.004007691491916563,0.007729781120908119,0.009773627964569102,0.011313177978609623,0.015387984953295493,0.007463853625285864,0.009216157494395886,0.013221140057764095,0.010162557007230365,0.011518447285790745,0.011960405689113432,0.010539950932309979,0.012822564110132615,0.009319814236421685,0.007898849643218088,0.010474319404201302,0.01108844119002785,0.005518130505644401,0.006006379135711792,0.010441825680176072,0.01453381555665895,0.01098720259529156,0.010973982816533301,0.012323020615907527,0.007944881307624819,0.010838224320276335,0.008074359621799709,0.008707340957764412,0.01298617852142387,0.018446124597427387,0.00854522757471533,0.01286215162006344,0.017935461610055523,0.007763360129999666,0.007883084166434334,0.010785061430487254,0.011558975899075152,0.015399545920643111,0.00958640111359643,0.009994890750666422,0.009460864831498184,0.013753760238231738,0.006547171203953483,0.01186146466936098,0.014902387591453592,0.01732626202503852,0.010359662970553064,0.01665195620610696,0.010061705440537366,0.007560405473810823,0.012958215785267903,0.011342485342672334,0.015012343179827208,0.008013977927274454,0.009001817544505134,0.011788526456071001,0.013433862332486368,0.01834041110267045,0.01737793056701793,0.015765191413208392,0.0081116482543823,0.012147661604953525,0.008210424794007997,0.010774804501667777,0.009059708563184428,0.00936295146186955,0.009923192148071084,0.011164224313912233,0.011076909961580613,0.010711788534109633,0.008455060251154516,0.011402278703245094,0.010674022021959521,0.008443065937751293,0.014344895065750242,0.00995794964608493,0.007729567860231462,0.011974297712987763,0.011136027218576637
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.014922570625744975,0.011902951586773586,0.011238258353655974,0.014316879108186716,0.009906200596890827,0.012182957105710848,0.009297625829658103,0.012782407775908684,0.01037114453598423,0.01700361415328573,0.01196594773446704,0.009769100851687959,0.012444784716185207,0.012235957206073698,0.010147436209468024,0.00979473481830239,0.010843100684351667,0.011628322215295663,0.015020566312574927,0.016574158138888864,0.013234975298931641,0.007459004284870062,0.010933028179702547,0.01569587544389226,0.014028859859586386,0.01288538009441503,0.009290393594175262,0.012536662968804055,0.008558275786910995,0.013248799400144074,0.0158956528615248,0.011693029548711481,0.01250023039923829,0.012071838410878633,0.008980097772106801,0.014865358865109424,0.009574774797878579,0.010403447094032781,0.01434735514157223,0.01894518605848677,0.009103067600930123,0.015785830725336777,0.01507114163174107,0.011360371576304377,0.014004769098517606,0.009353453341776436,0.01226560565617155,0.009322365599053502,0.01671793300840779,0.012122930384928466,0.008534564826330488,0.007319485081569312,0.009145153023007616,0.01044389645344174,0.013059335878720447,0.010080272469905954,0.007832309155448396,0.007366864698004684,0.013410977880781485,0.013382958454082949,0.01236134659596984,0.012052153501173215,0.012515668763025919,0.011366786905656135,0.01283490821983361,0.014964199345417702,0.010250037050497915,0.01038300605790669,0.007989497802230896,0.012705038552804472,0.012669437595091055,0.01571250369391928,0.022738130570347185,0.013480504807267415,0.011134696712199398,0.009150805453301894,0.009989837631830423,0.00844571325747553,0.01095227937661171,0.01745883676219653,0.007009660440074957,0.009500481215556893,0.008533591464914992,0.014791841647322486,0.015302022224955612,0.010358263844936431,0.007475272468241381,0.011901748637668708,0.011764679515474004,0.011743809917364522,0.010526137634330305,0.01630752875685992,0.009479496160021087,0.00788157003474313
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.013923347926350912,0.011256384169577863,0.008246171702942057,0.012413037254190401,0.00907904531636491,0.01265243207774621,0.0076568326642342845,0.008709454430960929,0.009128343462292098,0.011214493823239963,0.011601751319956092,0.012796158878844473,0.010915532094495181,0.00855159688902286,0.01484274948924438,0.014913977242942593,0.011950999076787544,0.010300167197749384,0.005670997236300626,0.008411705517340145,0.014974365383332126,0.013278912317083943,0.008994342407072878,0.010899902833287027,0.009523796556647804,0.00743912862459682,0.02339680296713577,0.012887790453904074,0.0204568098174402,0.02255713007130809,0.00861780015776432,0.01620135509973983,0.00876549334880838,0.016509541295681666,0.010303833218263439,0.011039437393242098,0.011490761064237904,0.008332108185416631,0.015870027268739186,0.009980247742592856,0.006300489305896516,0.011932466973597865,0.013083125140731003,0.012069446736997788,0.009623760342188368,0.008750206704678635,0.013175163093768658,0.008629798776450634,0.01079934163181953,0.013513923985746995,0.014983112373985823,0.010812644762213663,0.01647137349285726,0.00871256842985027,0.018722893188324367,0.013224331714547682,0.012180510102068994,0.008628233866931624,0.01897777477011517,0.006456886521991291,0.008138146631481661,0.017220690406458936,0.008567270309784839,0.012559185961001891,0.010604086235725233,0.015972674868095924,0.013069775341882903,0.007950351773112502,0.010706468806970801,0.013574256175518998,0.010751546739815114,0.009553023024595857,0.009943292219665473,0.01327532091180454,0.009204835197531031,0.018588697187901154,0.015958392906456183,0.012222858086265673,0.012264731371288945,0.009927014933067886,0.013263810044733067,0.00757457612681073,0.011926248744228233,0.01913915484321915,0.012432079027029716,0.01749079138976121,0.012199566998244617,0.01588238948912006,0.00945746569456977,0.010547837430667856,0.009443693057567822,0.010254344786040419,0.013214486757125516,0.008767161326919182
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.031796142310363686,0.04344232647682668,0.03730895964019035,0.04400909112399139,0.040811583251989136,0.025221523463178103,0.024159326607168543,0.04666078666533979,0.03697377879437059,0.04441701177059281,0.036917411511961054,0.04379104492359375,0.035572814161601664,0.05550174798543422,0.03471510524174612,0.04605321835064863,0.04030251055224279,0.03597005392833552,0.03572212881010808,0.0566565105106576,0.029714457139518518,0.04310206627663782,0.047579269041545025,0.03181103149322438,0.03268136518338532,0.049873462124817775,0.037358370446318304,0.028149973240712667,0.032229583754086306,0.017799518203309363,0.04796145368082586,0.04217004357568703,0.02389465053776158,0.03009644978903383,0.03661401362384144,0.040417980985808746,0.031424372533920795,0.031379319854740885,0.028539118671918398,0.05418062190600941,0.03539678803307201,0.035185331231897175,0.024365097975516198,0.04252565664689422,0.0483200997751983,0.02544911278938255,0.02369864198802579,0.037614650794801474,0.04254129316044418,0.030255848532565188,0.046746885610829604,0.05014296534085824,0.04099026990380906,0.06254423772059173,0.031213491019188928,0.05927074314828828,0.0420976859975186,0.03192480211916584,0.03131505165562584,0.05660581940663067,0.036810309196435166,0.05649028444465937,0.04773738597882714,0.038252373470295975,0.04704952704132083,0.050232714723292986,0.05583029526094394,0.03968589265229601,0.041501666342759494,0.0362062198875456,0.03875805000459956,0.06350613583500501,0.050786877813157855,0.0255415731683795,0.06057377775217298,0.048020543778882346,0.03943270716396207,0.04287771342595906,0.020931717108658016,0.05282778333700375,0.052655146299850124,0.0442727967131969,0.04396867705215707,0.05628673538250149,0.04776371655603158,0.0654202645671578,0.04439318507766062,0.0552067875166084,0.0562736916231405,0.03922692051149663,0.04491111658995231,0.050473518038494584,0.03362047679074403,0.04683414500965175
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.009601016136830154,0.017011596959606516,0.011608244307213944,0.010833842587375042,0.01023474614502249,0.011239035582067566,0.011420566858927768,0.010902853381792447,0.009027468572915765,0.016682448275462797,0.0050185365401836275,0.006854200031619138,0.011822120824634283,0.006893064409088473,0.013442305546976738,0.01663243281756484,0.009054873563976183,0.010638524823667957,0.009176783657330745,0.011969210596151164,0.006220121699718819,0.014141081422363514,0.007782078410457121,0.005587360689004292,0.011408553087969318,0.010892219603130955,0.011199456282922704,0.007066525639562304,0.008076655516892479,0.015531642132153403,0.010803212263949438,0.014475192493510366,0.01146778483903817,0.01148424418610723,0.01016465230429216,0.012125917024642998,0.007012808465198562,0.008960236331622419,0.010316466288910376,0.01210335332742398,0.010221241795099104,0.007525009683347653,0.01604128636650571,0.01626364983656304,0.009488978699156905,0.010903528026223033,0.010595162982016341,0.008612153902136264,0.012097051070941119,0.014066709778732112,0.012907299300928453,0.00937676711250156,0.008337623494985489,0.006681127152767304,0.009218477743095286,0.014506484732875975,0.00884413746344508,0.009382631513480342,0.009845672114605493,0.006142204487134696,0.007818043311421047,0.012932671050033203,0.009706886609257517,0.009879412510524266,0.007770914121034265,0.007452893388851027,0.012829828271081131,0.006157647754204255,0.008289463914867302,0.006294068686740282,0.008435568129223086,0.006941725613590096,0.007847871783533416,0.007398966309979483,0.007602323164759163,0.007519840782789317,0.008404813165704801,0.00459201057729107,0.005895811993962878,0.0062078486711225475,0.006499333720463061,0.006004218859499549,0.006246745817496005,0.00979974195618313,0.010630441405994371,0.011051991163437193,0.008568462710901269,0.00933136398383481,0.006922343863384768,0.0089860160931558,0.015271837223916847,0.012023183982902577,0.022615946257830092,0.012856762987113317
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.047224679216606655,0.038321177466649176,0.039164529547963574,0.04521790131190791,0.02959180758011641,0.06037518114347499,0.048879086640574866,0.045076352888161614,0.032386498271025646,0.04455609508426612,0.0498850906655072,0.04178018336454019,0.02426483206868846,0.03145467089252798,0.04700875283992802,0.034152369742444205,0.028615235905419943,0.03364671011384003,0.03595722998058889,0.04138799950004199,0.03272909211094303,0.026046700199340037,0.027752089436960243,0.04236785664374989,0.04487201374459554,0.05455659542432251,0.042559670178020495,0.0426274946674127,0.044229254666592305,0.031641353249409955,0.03385663256583352,0.04242992400036225,0.03093892217164968,0.04404840199366628,0.03676957406858615,0.04988299200551467,0.035913324810237415,0.03905915764727777,0.049107140199931655,0.03325697587594025,0.03373785428528406,0.048346916200742766,0.033130047690120006,0.03636182680329192,0.02315135626658193,0.039182724534264406,0.049991620895288726,0.027349816656357738,0.043275190266454586,0.030779143231675223,0.04525989364732358,0.01915622900064271,0.037751180577475854,0.04710997486164737,0.037595739699924774,0.027163365044126624,0.03282203952326756,0.054515032426665215,0.03380348164885665,0.03674963824327855,0.022514162369407117,0.03363386302347278,0.04383208110009292,0.020960918270547753,0.03441947937985939,0.04018533319983391,0.030002789573574468,0.01859154422591076,0.036806911322991874,0.0218460097051364,0.04240115015590541,0.028616346058626015,0.02098882828869902,0.03701363188056177,0.02958755992974731,0.027471235212290394,0.028544954571091862,0.027536693672920946,0.014462465566774786,0.030567011333573823,0.019297953429215392,0.030996918225167182,0.017546669900183685,0.016612482557184238,0.020317837694244632,0.022820739801137874,0.023736331312482727,0.020727950482075336,0.014428783303573807,0.023656883725327975,0.024280240067916358,0.018473088210261873,0.020202635185679614,0.01956439116763662
