,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034380520664918986,0.03982228646960341,0.03859886063724181,0.026889376172426014,0.031322366430678976,0.045176336395572315,0.02747524594859689,0.059217617129872696,0.04342727495210333,0.04217508342656685,0.05860804248337047,0.03620675493389985,0.037184404252242516,0.036920812418217076,0.0398937560293734,0.051077170825897446,0.0373762855336047,0.03666860815468999,0.026666082359103515,0.013409655196843919,0.016398164012245184,0.018996685112125745,0.021578901051893848,0.015781830009719562,0.02674357566271898,0.022470947279045212,0.0156225051678887,0.019042617437153696,0.023290207852436923,0.0254090924134848,0.016257464518674384,0.0155225423609764,0.026532603945957314,0.025011852617211196,0.018976445080181363,0.02741373060412133,0.025797643156381868,0.021961200094988715,0.019055157643596415,0.028219773815829442,0.020854330454521206,0.024777004631822915,0.008448532754054626,0.018264359665705835,0.016501274830016517,0.017147840797170976,0.03627601339035668,0.02443246151800964
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007990921579133262,0.006789376200087807,0.007036143628634203,0.00859562002696605,0.010457615953965218,0.010398160502102504,0.010418892203290989,0.011174852355212202,0.009002528835538863,0.007385926718769315,0.008123710187660772,0.007272187017198077,0.010161561991132453,0.0036021713788697103,0.005903161077885701,0.010335671853371602,0.008581686818666036,0.010358750120758351,0.008477541834325182,0.006823715272448117,0.008320808470664806,0.014927626824831368,0.00855439170260596,0.0050673406338720755,0.008904804576526164,0.008015304149937962,0.00795562181147808,0.010355626098618028,0.006500131445510603,0.010058480747157691,0.006857435225886926,0.0069990462491322574,0.006510132327525646,0.0054762678409470645,0.006925507376569366,0.014154415139821812,0.005068430379677605,0.007975967805878057,0.009624864033226859,0.009025464088380035,0.008203501204144596,0.007618450001725716,0.010964747215533902,0.004301275633588836,0.011599513870926326,0.00820945597893185,0.00561833082362928,0.007592089316313327
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01024122274827442,0.012515006615779346,0.006151077915453121,0.0061578382445728235,0.006478601893486531,0.008576370716318154,0.014597739106121355,0.010447932909356975,0.006775660005444619,0.00810538947437027,0.006923242146239584,0.010735315326209416,0.009117036131086817,0.0060197770854860146,0.011006387961599879,0.008641806699605887,0.00916048697750457,0.00923922013931932,0.010807688177501103,0.010799187584062401,0.0053089223255584714,0.006987181633135554,0.008033654820454206,0.00829523082786908,0.0049298247273345756,0.007381347548559822,0.00818669932725356,0.006012123067044356,0.007787435768025642,0.008181534267615457,0.00855005374320579,0.006687117724083784,0.006336669389137719,0.007898678347742312,0.00925964983267861,0.00885244158912938,0.006574451972813947,0.005095248584105227,0.00787098336866103,0.008832376710534192,0.004696164574486778,0.009346989532400601,0.009945813279741268,0.007431244366804836,0.009223047750886072,0.00526535227281493,0.009284411703734776,0.004762295699484509
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014017008439459248,0.005601291112185035,0.005871729583807187,0.014241510698089464,0.008505637108529761,0.011734666302740273,0.010035113488270835,0.007004215639402995,0.010361147182523086,0.008558577247167406,0.004602682838691566,0.006082678368455949,0.004877470754313265,0.00600598118535218,0.007113374541172495,0.009763075365288053,0.006025379829036591,0.00805992194753116,0.015374656296093985,0.0135582104823767,0.009696906243400591,0.012480963629369804,0.005792659253608351,0.007165942387096303,0.009357746092218679,0.007174104354524946,0.007842683875977067,0.004985560551313764,0.010414731729691658,0.012730904478058089,0.005828754255221425,0.006453628657761579,0.006606935187729266,0.012287374446121541,0.010531663637902486,0.006251112140357579,0.008218541182118105,0.01861873836661345,0.005354866830644701,0.00836235166034837,0.01068126835838436,0.013524007664862815,0.008241617161359944,0.007154083184723727,0.006817146814232299,0.006770530872670976,0.009641359480776985,0.010195602739382269
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005996619698733508,0.012198066004725202,0.01244671833861202,0.01160621850349411,0.01048097296921821,0.011560642514825484,0.013963777619439786,0.01135385549000217,0.014792206692446472,0.007889407079505955,0.010276270327945992,0.011767438608666662,0.01044325140008767,0.011906061434785075,0.017322235671300007,0.011588876956511906,0.014977462881782403,0.00877637122958542,0.0080640493055272,0.0068668215218647,0.006313401297554063,0.005479025169695263,0.010125178261739974,0.009398934095015878,0.007696152128168043,0.00939147244960962,0.006608251718039991,0.010156665730773232,0.01246782302513938,0.016355891495427006,0.006489920455743713,0.005018414435348005,0.004763665468939017,0.009756960947965973,0.006813923888366812,0.00877757323086815,0.008089723180532382,0.007506727738326402,0.009150711464315084,0.010179582421131608,0.006067739219057215,0.012246396449707184,0.0074693602293099265,0.006832008072326883,0.0067189774040872785,0.004737026248815312,0.007515570371528922,0.008683528764468677
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01648393643707847,0.021437763520559844,0.014588362348402958,0.012630432457792773,0.019151300274501522,0.014217089308957754,0.008553229076175764,0.008402604859107186,0.009302470818236907,0.012155758184464183,0.010934679102749329,0.01169718393934968,0.011792307824676737,0.011912544350483644,0.016905280948723702,0.012933259910855824,0.011036503395463101,0.011860056256127429,0.013890765374021095,0.011270435025279822,0.018315186262621293,0.007692228506856842,0.012492018618644135,0.012670162056913799,0.0122273240426957,0.010772662010550662,0.010210944575143465,0.008647618778659561,0.013873421826137187,0.007399541474885671,0.008269843451659879,0.016622633820885052,0.008756845327547285,0.02043416543343517,0.008900679285683936,0.017812116950470334,0.009903191161100808,0.0069974127299344486,0.007310113160228258,0.017093424349085513,0.007793229958806145,0.015014976712467237,0.010113980741279782,0.010527302885941116,0.01452923658395251,0.012308301939710718,0.010978061876486533,0.015849004744957422
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017052906988211606,0.019377280134722015,0.012779397920194651,0.018916956778037845,0.011207774343348853,0.013933601559869396,0.014121320198105589,0.009251278104560457,0.008060984114578954,0.007812248505139789,0.011904918801122993,0.007194815920096813,0.01525102152502036,0.012336797696550881,0.012489127866034554,0.014134122728738293,0.013802834426888644,0.019367495768884455,0.00800476559576342,0.009920965616259875,0.006873340818873654,0.0062639120865532185,0.006954009221932431,0.005778358435460991,0.005093717917016661,0.006697643730322606,0.010405163372892377,0.00834384877082306,0.010370250454847066,0.013333044848669177,0.016594013703429084,0.004322226404878738,0.008086971697525754,0.009033871541372408,0.011987022358912356,0.010319267454437484,0.006093959049482544,0.0068176561050192494,0.009013185938182866,0.008099246297487846,0.006410816125725639,0.005678150645539892,0.004908376897285919,0.0069410483995387415,0.013845570891429456,0.009879786470638956,0.012856028418612489,0.004750109826988829
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025728244952635475,0.0381408671384176,0.026105986062733424,0.03199173585357681,0.014588717933525307,0.03800055980135887,0.05842243185411868,0.022824490783824165,0.03558556058495277,0.02474578491650537,0.03425026308437639,0.03221670304552708,0.03398610853868396,0.03353985230073254,0.038631358072384624,0.032123048529718194,0.03795274585419554,0.05216417679499985,0.020108961753920518,0.02056322483525141,0.02600175796375799,0.027259813429558164,0.016561252052209714,0.020685935923899872,0.020019477089071664,0.02677071107598249,0.021749052518263635,0.019260928147658257,0.02645793801486321,0.026796969833388275,0.01812874602625019,0.02331864646999914,0.015500291669740056,0.02427731073141926,0.01951149079619187,0.019804404902557346,0.02144867222327968,0.021359049303963606,0.0257125216792138,0.015398294307433547,0.024434833543595807,0.017733829752607285,0.013703804119933258,0.024373213573259434,0.02057345705274406,0.019950293891787894,0.028850249796684928,0.019720382992064057
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016475948004757292,0.011273504536706749,0.01753860860350892,0.005743610377837129,0.013842493706584684,0.012736641745669344,0.013107725908424498,0.010586357857838562,0.008711849920792217,0.015048547013185894,0.0071788775491032145,0.010417029699737053,0.014118976051380395,0.01679068080217052,0.007868088475298716,0.014336490380700413,0.004291471347243171,0.010820059541311842,0.013774807964828824,0.008576884559671549,0.008146155980174727,0.013225772209484407,0.009161588208212775,0.010025156995213723,0.008979632978018308,0.010561232333719247,0.01472644749563611,0.009907098526777592,0.015258700072488897,0.012211529529489985,0.011001525210666404,0.012305759867148188,0.01438592269890626,0.010299420441325445,0.009285778319031723,0.014520437315983507,0.016464682240481594,0.013590979758445415,0.007726043149204174,0.016389673810531726,0.009420803643635468,0.008392403694622219,0.012674115540556141,0.013873378008972762,0.010317544552133623,0.010356937987976645,0.00803236268624453,0.015199062235834018
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04261454950419911,0.028186113147693113,0.029449438335123628,0.03815352073748032,0.031521545604852035,0.044269502123321425,0.036186494997846784,0.030671697133840915,0.03395461560345223,0.04139886721307966,0.023799421436420387,0.029902083475461638,0.03384804314647569,0.038576864899812345,0.019747004837633808,0.03017699247538867,0.02925521681212934,0.028701380683644417,0.017812136100013563,0.00933474932842029,0.01137932104489231,0.013335739844107559,0.02071053418836044,0.018083493141925137,0.01930613438610619,0.012797586316961606,0.01624197476450145,0.0181263814443118,0.017463903162206643,0.012834872658972162,0.011336024800476237,0.01850712877039754,0.014230853026716712,0.01421479290738294,0.01604538163324562,0.015806692978458013,0.013363527945934641,0.011074303130194179,0.017866242538971025,0.017884116177681927,0.022107152676570905,0.015909360074566524,0.019239467121060495,0.00961399212507679,0.02571789419470873,0.015897623846254413,0.016159807482358478,0.0163891190695962
XBM_sigma1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009148399433270313,0.004809168808821816,0.015108479556263413,0.007355588566030002,0.009752085988748497,0.0058316639625216075,0.01070803531799295,0.01570590556746043,0.0033589201913719956,0.0045761194617690674,0.00862993084889272,0.005121670046969399,0.01019089690795979,0.0036276017435463714,0.005704326664164642,0.005229550158519976,0.011320144793692241,0.005664841598193885,0.008726062466637215,0.007479608693940679,0.008015393807754692,0.006451111306479285,0.0073000644835373215,0.011178014101835328,0.01720343357944868,0.00848872431312136,0.009813925344814102,0.003817944113776722,0.008160819989385002,0.007496479636059311,0.009211935955045351,0.01436434720483922,0.005306977084364258,0.005183258018428835,0.007827570420671693,0.007889870266312798,0.007669611474996232,0.01239799268484605,0.004827196284329553,0.00877518265659875,0.011669505950318067,0.003527403300929111,0.00950038931530637,0.009399209923693324,0.010222434340053628,0.005519220747778209,0.005682373781940589,0.008438297904503142
