,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027894980621044233,0.037234631299651585,0.029375513886877612,0.0216545249859052,0.038212336203343585,0.028636319953502964,0.030387015484394018,0.023161316828581812,0.02490964887086747,0.033843156528895864,0.028543959318064763,0.03081618714303523,0.03644588524261516,0.03291962250956769,0.04607018868579918,0.02552553344507861,0.04396256706482699,0.03897059774612219,0.03861687328193017,0.042657476430113424,0.047828563163478825,0.02472849798481328,0.02959921640078383,0.017010902569342793,0.049316689309725555,0.0367314538675586,0.049279765639717206,0.031117611413141493,0.024865538962527092,0.029841525493485833,0.04391893884487052,0.04240273113915335,0.03583191523824084,0.03931088809294544,0.03401480676520047,0.03200227084569973,0.03471447542558091,0.04303494908202064,0.03503683711794572,0.027018981748409457,0.0303034693641276,0.04953388405043347,0.03677464215904468,0.03700686848701479,0.04698323306733804,0.04507109978854674,0.05227866212417714,0.03871225844231291,0.05780162515000107,0.03325744173156686,0.06271066842542146,0.058085528094382805,0.07632939142806924,0.06728923672624676,0.05034082817606558,0.041042963562041124,0.04569416488629436,0.040142177792059995,0.0436525525133531,0.045207466198964756,0.055803354602374164,0.043498349647691364,0.03423112985363606,0.04644105271735138,0.053963682073323395,0.051064342250356436,0.04680609141077161,0.030786927554075187,0.028144675763916372,0.04395010112688176,0.02443758787379053,0.04926373854734032,0.045390087680710206,0.047164638788802664,0.03808534318522143,0.07228460943513292,0.04756629843759472,0.052465299804569356,0.02247449016976182,0.05051913261814795,0.036226129554450114,0.03736178289078036
RESloss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004178305414800626,0.010559302914346256,0.009815915953082245,0.008808034862012768,0.010239713749339959,0.008520959739257317,0.0062765491891565535,0.005463488282719367,0.007104272280391998,0.007492701290186702,0.0067649643910071035,0.009749581324037358,0.009731497781343267,0.010539252390091946,0.003648423048299325,0.009035633734397442,0.00734760348231975,0.005544920975655546,0.008361388810565177,0.00460664338567121,0.007278870050035301,0.00693614111560028,0.007782064352722286,0.009760985466083338,0.006999639127065031,0.00538776866872636,0.004211623251416444,0.009473450055840434,0.00848601131687695,0.0036695936035009507,0.010909681640723784,0.0077851092704885275,0.009220689223536045,0.007395623567464011,0.012011031613571232,0.007488854912494204,0.012436680175343254,0.010125876520205504,0.012528566602950665,0.007411395246556033,0.006520593735680978,0.0040190496816139044,0.006725119143104203,0.007721209549789751,0.004196348571743028,0.01024449693974469,0.007526868398777595,0.006405223869683789,0.009446587260099377,0.009648442011220292,0.004192799553774716,0.010461831842590906,0.008808759270309312,0.00845094813964919,0.005353227584719623,0.009354059208135238,0.006828166694196099,0.010077207711465537,0.008910150076531065,0.008739242043268671,0.008074319784188096,0.008066161534187526,0.007315331089693351,0.005539266506860996,0.009446118886761081,0.006689090880852429,0.005713538649789099,0.0041879378024042985,0.004384990047536266,0.006715403800560828,0.00570423683416183,0.006551390078176007,0.007442840964510943,0.007233701511049023,0.008328063369094647,0.00803999115732758,0.0038847997078598263,0.008155602408733337,0.006346158068385271,0.00479651357404994,0.005386113271886178,0.004499314089170159
TBDmultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008651965582028432,0.006851105135574736,0.00786388741260367,0.007023404437920771,0.007004379666419725,0.00853114407170256,0.004594830131280574,0.00537808807678277,0.008114471071591557,0.006351827455711939,0.0040840519695675755,0.007861925015368861,0.0071770599216051745,0.0033216105929563234,0.00857941150308711,0.006164478915180167,0.008364040594211461,0.007801295854766674,0.005743937491135964,0.006458311011604507,0.005988090827482065,0.0075049449282753,0.00918376884305213,0.007045527066541594,0.009165581722152446,0.00539570769496064,0.004264139321289203,0.006015586773790776,0.007286792230570222,0.0067957051657504325,0.005403859235082526,0.006438902480084502,0.006675223561359441,0.007895180749860104,0.008793429669548372,0.005304004281613029,0.008174826349380172,0.006565101188630557,0.010439162655222966,0.008998293185132792,0.008910840238942681,0.00898181724899697,0.008621969828896441,0.0073765416160602865,0.00973483604805823,0.007897294229218454,0.007541041775012801,0.006845827705455142,0.006130615188733033,0.0049078800319551,0.007343641573347574,0.009937777441591144,0.006293416413913701,0.005085620721876416,0.008449490350318691,0.005507570567535687,0.0053485101510816774,0.007561099783454874,0.0070582552371060816,0.003242296878902207,0.013180908515796083,0.009800022367639338,0.009331518456133024,0.00573703865353478,0.006504435287405737,0.00559352132778779,0.005139091951720691,0.006900735861698755,0.006455742727812675,0.007900586902191873,0.0062026243188685725,0.007485056965036878,0.007343914124462752,0.007305411403048962,0.010581441909602037,0.010331189553817736,0.005726748052381999,0.004494251476888502,0.011084348739322219,0.005427923446908128,0.004649137686769327,0.008289364041632542
M_Imultiplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00631951538499979,0.010000819381481618,0.007890221427822704,0.014379234006493559,0.0060158978380568965,0.01207961394320756,0.0105131063905782,0.008694761048693624,0.010570925403948168,0.006091603146243346,0.00728077146533178,0.0032177412295523173,0.008427497470996113,0.011727583788982882,0.01126179326893817,0.011256774242389812,0.010915388133652861,0.008981620477927757,0.005820962809071694,0.01098887831000785,0.005709711367386864,0.007535392719810374,0.007741231531018811,0.00991452332734079,0.006441463391814158,0.008579926698625841,0.004853313816287966,0.0052637201013007295,0.009265991965801981,0.01309291129321986,0.008422646121150448,0.011819461749068614,0.009546612194312184,0.007164093751604026,0.01043446452718205,0.008858001571135006,0.009408916809554666,0.009762562358550332,0.006580684947018824,0.011655044973974103,0.011487690966291425,0.007026179898001027,0.00705757541899461,0.008427183057304239,0.009544689826132194,0.010332534330243844,0.006692805285752746,0.007869747251002748,0.01270116399250464,0.010268698519841366,0.008224469446445563,0.008799484487317558,0.007940114700082032,0.0032774068404997055,0.007644883817466653,0.004321449246917551,0.007348441377546057,0.0055779960823384555,0.005421581571133331,0.00913590512990532,0.007756879112527679,0.006148414217867378,0.009999362475011995,0.010305714500954211,0.008958972193839735,0.006759686966878291,0.011221963393993076,0.01180365319444945,0.0073811476382835885,0.0063043225220417755,0.012905634097829025,0.007091965941313898,0.005462500563125313,0.007241580275156067,0.0080275956733733,0.013419899612972406,0.008515523359264544,0.007995843070157422,0.006624394575879997,0.007881391767289296,0.007879009264234875,0.007697255610827752
ShoshoneDMND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010711608816925003,0.012458058965617528,0.010697602067686654,0.012852138547532813,0.012568267937741701,0.009622105921513602,0.004509483515890887,0.009733129508930653,0.012930957835431788,0.018593070192371882,0.012488536212737678,0.010175966139149076,0.011119829358707022,0.014020593234003884,0.01186300921042492,0.012166668979377,0.017845572896467196,0.011486350217948966,0.01604390149794211,0.00845628917319495,0.02101220821680002,0.012493603365173401,0.017173611809904864,0.009045506439687606,0.013423380526300285,0.01496524801751533,0.010900158659841298,0.02094967550218533,0.01139127123066956,0.01213710341847211,0.010717328392260132,0.010071640962309844,0.014509844359033333,0.015777851062360487,0.01308186062953204,0.013762441554107973,0.009492352371640788,0.019191382377653457,0.0142343431501486,0.009776085981840056,0.015265137755292289,0.010248098353998512,0.009014605048230203,0.018175559169053637,0.014309548464665782,0.015466688135676991,0.019554739000615246,0.011066651899997195,0.023964651947048235,0.01260714055713519,0.014381912428003284,0.013993659301149982,0.014341361713991979,0.013876181345215436,0.010498196704362656,0.012794621428030045,0.011223223240106403,0.015610262019044974,0.016718091188237902,0.01175548916237825,0.009573218574989517,0.015989931854220492,0.013146301383196555,0.012110599559613557,0.010455282192970448,0.011643226098157738,0.01797658985709124,0.014350701456995981,0.013269908636335957,0.009098939980716076,0.013541567321025528,0.010117400357754597,0.014577383445766237,0.010490947676341053,0.011134436144433865,0.012847920211913605,0.012168017979080546,0.009504533900631768,0.013514272772320327,0.012369887695802785,0.016640889588906298,0.009994132588762132
ENVflows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007222143196037749,0.01128755387875181,0.014195545069744539,0.020845735538214696,0.016297333649753283,0.02012688860981164,0.012435843335624155,0.010705204431503808,0.012331667670141294,0.009130335068152926,0.010669946837767775,0.015189533547340704,0.01027193548263258,0.012193239168987857,0.010055566136231146,0.012658374518919956,0.011222264510974385,0.01684635883060579,0.014278062861119985,0.00890582830788459,0.012137300719358474,0.012070067643149966,0.010494699627827033,0.0085500819370465,0.015148552875643836,0.008387020105788082,0.014275182463216391,0.008721916064307398,0.01615608957655874,0.013996906505943834,0.014579569202282575,0.010559911307682517,0.013947184601779397,0.009157112906030437,0.014589503950341786,0.013210206796352904,0.0060423491100438835,0.011747337663733993,0.01476727557298077,0.017942705546059534,0.010449616223353584,0.009897442284615103,0.008341000787240134,0.009467590049197738,0.01490697591758816,0.008470345110704679,0.006519722764972573,0.015393085169426059,0.010417109024467288,0.013282960847781427,0.023007581577491186,0.01551308774100395,0.00927850651878876,0.009020688154766301,0.01047369107767435,0.02341832406165227,0.014721605159685574,0.01106333552019194,0.017598544660016553,0.006696851377974376,0.019296788731486735,0.012470306663814346,0.01457983192712249,0.015266437100901906,0.011624325964915284,0.012891123503785323,0.013913812775529314,0.009339707607957586,0.011754635360369059,0.015662918157336694,0.016485726033816935,0.018141003397901756,0.008607757340287996,0.011255284734524123,0.009226007282346235,0.010547783268921983,0.01392915510435721,0.010582418064838096,0.016484175271881257,0.009606189618883133,0.012491446778739914,0.009826420474023847
EVAdelta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020401167018326054,0.0112939462078587,0.008938466409658839,0.015310899617495405,0.01348303334403945,0.007145538556459719,0.009815035140786578,0.011476537456780154,0.015437285853006709,0.018364976376084207,0.013995224066901873,0.009625035587342646,0.013932243793527088,0.0062588613979054014,0.0138364197576659,0.014321821847963137,0.007059058952565415,0.011192057403700146,0.009791076047068166,0.013770629272412013,0.0164769377372371,0.009653696658957154,0.014302718368363165,0.017556022175551644,0.010043819090018962,0.01459573529482338,0.016589628360359664,0.008635810881126447,0.011059343693028245,0.013283202982423675,0.016384225066275446,0.019163845692836582,0.007775547604073246,0.01039159269180457,0.010605662845950907,0.009196035965295894,0.011189729253325377,0.010177441688869127,0.021323738169686433,0.012756761738912662,0.021313650631052374,0.014653477101370613,0.01261480529430024,0.013591802430580755,0.009151055593336156,0.013373251043846696,0.015780229385234438,0.015514972738414234,0.014333325051615447,0.013165514743292209,0.013205074430694734,0.013901427791196446,0.018724301625530227,0.0119969113288823,0.019652362540141733,0.017711780807352327,0.019938145350340997,0.015330919596544396,0.012878470618772907,0.016419811809293527,0.016107600174556872,0.01133079364560157,0.01750784182844944,0.011629167791564796,0.014177836274979342,0.015284776597291466,0.008049462387626286,0.01016035134573475,0.009831449141089039,0.01551269868241487,0.010167750104998664,0.009870817895125611,0.005773542172859292,0.013907171330157257,0.010678648932846122,0.013462994901639677,0.00664702482262561,0.010549865710525743,0.010904147688011817,0.008715533558269995,0.0061579041590473175,0.008308890491011928
XBM_mu0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026481772420526455,0.03504788829470323,0.033345392802324014,0.028650963727211272,0.033567550169812166,0.03585320454898857,0.039721743500557134,0.046126785823516384,0.03296314245973128,0.03164246318570845,0.02269550341001388,0.025567428460613908,0.021874971246576225,0.044940319476881395,0.03008376529178438,0.025551262309774097,0.03617053138328692,0.03305925582712063,0.02918002983566287,0.02651658760572574,0.03094013337543908,0.01618705500950913,0.035985364057785706,0.023457927080130978,0.03090390834410125,0.025639473970008955,0.05567399978138528,0.02958315433807761,0.037612895082686476,0.036521934271967045,0.03331756405880823,0.038408495274512004,0.030786596326397634,0.03430153631848425,0.03088369687728838,0.023884788882536027,0.0347572007285701,0.031551789889576985,0.03845310353541793,0.03478088637088474,0.0456942675721339,0.03932603295771673,0.02558188451099376,0.029748776732735353,0.052160821521029695,0.04244424294910935,0.046656484328583894,0.04899642224274307,0.05242652705347187,0.025092591080338175,0.04170628504389185,0.03613358358262167,0.04309242866621509,0.04797952832032049,0.04452728009734926,0.04980410133881744,0.03984182972254358,0.04374465509216008,0.036114970374227284,0.03927375853746791,0.04582898184783912,0.0582801441876424,0.02850254062025632,0.03558997485205666,0.05151112196058174,0.05267409963856678,0.05043904149543362,0.050293697719978506,0.036073514225658646,0.04161881404244825,0.048813819389266,0.04176304487224712,0.03991718202954219,0.0545298953915516,0.047531081587517635,0.03154723931559285,0.03694333902313596,0.05630664135008669,0.046712673279946874,0.04607963038353533,0.027247027208696803,0.03971829292939672
XBM_sigma0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010839076392966305,0.010978534400616902,0.012300796820326787,0.01023147696450708,0.008196539756473274,0.012997430547814886,0.007815709196887542,0.008167960105097872,0.010405280443037119,0.011549217048541918,0.009373652258860322,0.014262453161368501,0.013230866671767571,0.011506516270915963,0.011308760125535416,0.018299991064388167,0.009853335437906343,0.018722342265553485,0.013797192161199907,0.02205756182848722,0.00875824412382695,0.013617184828130763,0.017640320037381363,0.00987096006274531,0.013391246687838336,0.018802755678720216,0.01309757463255364,0.010707747491564931,0.01357416042397992,0.015911529898537575,0.016619866500823494,0.015482770162982296,0.016300595912870607,0.008116567694042433,0.0106180148856302,0.012090097101260107,0.011331710382065915,0.012402629723046591,0.005525788277246632,0.008547736321603777,0.0224204306013436,0.011977147796186749,0.008507178231353817,0.007784385405441066,0.010712285578243127,0.013838849556808967,0.007744082673506417,0.0030048663297056553,0.008726408956489858,0.014005877253364605,0.01451593230778506,0.012806251377039755,0.01104772792400384,0.010607470549342355,0.009745814725052376,0.01036878877495324,0.011898334893287133,0.008210255287381266,0.010709998000535964,0.00858273228791765,0.012368444639089489,0.005401676116192807,0.00789569993166471,0.010665541891652886,0.009794849699593973,0.010826163755677576,0.010865303337481964,0.012900916156521317,0.00865169796294399,0.007032237220908023,0.012461678253686524,0.008427548189850283,0.008634719513973313,0.010893175187419894,0.009228874844124265,0.007550792483084656,0.016246455537761505,0.00981446234153469,0.012378180670360122,0.01748533077062197,0.01497802544295547,0.010170100696186374
XBM_mu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03882451697117524,0.029181244506003845,0.046644832098959914,0.03527007333013516,0.027688087023800385,0.05280117273361903,0.044993891184916035,0.03687946541041489,0.05334086592109422,0.040054794040847816,0.04505990233064158,0.05104024130276592,0.05025282716205501,0.04742061031052605,0.03310844118359362,0.04464778804825171,0.044417071157646384,0.029372055902774814,0.036505360801273284,0.05306840496520369,0.03833643210378136,0.04143497412181874,0.03953143120334058,0.07541880521816358,0.0289470643139584,0.043435361308857064,0.043352040550653295,0.030870655620115095,0.030992727626146445,0.03442994263421562,0.030784534503018143,0.056130526685136836,0.04574013994115768,0.05052314217837465,0.038664928962151436,0.043201034841133384,0.03720823944643471,0.0377395174671064,0.04494590279914837,0.04312334786878706,0.05572302802071496,0.051050676364095916,0.03526625204304492,0.040053093474556885,0.04775429195531818,0.035817267501282016,0.02929089551384198,0.02995287314028357,0.03362198197154987,0.03338387687241293,0.03615608335398958,0.047637973982439304,0.05654863584515703,0.025978559858809386,0.029445095930116835,0.040771028932219455,0.04617157064304972,0.0345153611180019,0.017247402345171248,0.02949105071974326,0.024264731728070994,0.02661546750745565,0.029403273739272366,0.02461089996836956,0.02011177187670008,0.025557675558909716,0.036806944054619935,0.028868090058338743,0.028776311253114004,0.017351853717385478,0.022520536929822647,0.023930575870289534,0.026955142640524867,0.03179160548056266,0.01949672651501203,0.011562132137081092,0.016970868543069145,0.014326181022312862,0.022169224101554214,0.02059089221781649,0.02109676243913895,0.011827294530766853
