,IWRmultiplier,RESloss,TBDmultiplier,M_Imultiplier,ShoshoneDMND,ENVflows,EVAdelta,XBM_mu0,XBM_sigma0,XBM_mu1,XBM_sigma1,XBM_p00,XBM_p11,shift,Controlvariable
3600507,0.01899935095771876,0.01162391844258803,0.01048507610267645,0.015212539621573875,0.016235733816859832,0.012687351974685393,0.012779232019143707,0.033573186517131134,0.01607687461565723,0.025626887018698426,0.0137600029781669,0.018784710288626053,0.011635825573853306,0.015850553938826624,0.016491680171182976
3600603,0.019053654786448646,0.012719173127546736,0.012752019737000023,0.017059226656045846,0.013696027884362028,0.012741367241421121,0.014983316594005012,0.016742702205940797,0.013498648367569794,0.014292105952338187,0.0148220444944425,0.012836741322492068,0.023530119374541476,0.013259817613016266,0.01185272367844368
3600642,0.0169157344611145,0.008408830969688159,0.01971598139246793,0.00890462842029879,0.01620749940276894,0.010998544769678896,0.01376053337258722,0.014300140685497538,0.019560534307695325,0.015307040097562244,0.01422731786214958,0.01763860465017296,0.014405839155672596,0.01798753066914474,0.00913724139747412
3600645,0.036175760326487526,0.012453198481974627,0.011197344529921265,0.01884996621347733,0.01301882645947003,0.017441554308868533,0.014857580506045584,0.02393846706229333,0.010095478216145115,0.018217049619457325,0.011813737779012243,0.021046715106176773,0.013322797933578462,0.019060636717595173,0.015750873417162522
3600658,0.023536362453018246,0.014472269261375728,0.017591592736283832,0.01184257955091982,0.019721706167172576,0.0174601068959912,0.017086021331887406,0.030648326370008836,0.025880183285519887,0.011634199272125674,0.009213322567648516,0.018536821777154225,0.026074169497702183,0.02041418073134276,0.0138793101590538
3600660,0.020430100090981857,0.014566490082944729,0.0173334563133214,0.010923844742388023,0.00909713715570278,0.012493690851226192,0.011258982428656358,0.00934619439905763,0.015279129063906209,0.014932116994135224,0.011052710973498638,0.014055914704630357,0.008405522870410484,0.010765721985892896,0.013093149638948795
3600671,0.015414447206046303,0.014519464770351738,0.006519829660834078,0.01440742661757492,0.01849338896093813,0.014243134091897943,0.015075600149187409,0.017659247812329994,0.012844803822480532,0.0107873455433885,0.01826903761789286,0.023009906885904742,0.009898001085872979,0.007810918229323931,0.02284535310345252
3600687,0.016316803278322682,0.014772317729869078,0.00813883790750693,0.022108836148792263,0.014607155648360931,0.010870935214300374,0.0182350921249857,0.02597713022968851,0.014914710194808969,0.02822555161343764,0.016517332479520086,0.01572598961716355,0.013057792633496984,0.017087963605240116,0.0142560354939913
3600709,0.017049016299277426,0.01252384657749438,0.015260682039575976,0.008820487317107875,0.022767623663005814,0.018944587733468903,0.014002268592590676,0.011575211962560809,0.017249981252916283,0.015145115964505863,0.01723895656623713,0.020294600182202763,0.012932720354206841,0.0206689021030782,0.012226756229807205
3600725,0.015337764621090162,0.013813186598494216,0.014414983469473463,0.014034614909476202,0.017917083387127976,0.01662050675728382,0.0166245006799713,0.018568712675212828,0.017692502702703526,0.02055488296908891,0.01335635106971135,0.010342647787842971,0.02326050928299397,0.011867675499223759,0.011129691802232096
3600728,0.015844933430872187,0.011844413531766506,0.012693778169331892,0.006966076174411396,0.016531602304040074,0.012490859630537948,0.016779713385033975,0.030731980997931643,0.011548831565240378,0.019326762776573067,0.007970787885122056,0.016495423527182484,0.012450135947533796,0.016436741177421728,0.015419673690154654
