,IWRmultiplier,RESloss,TBDmultiplier,M_Imultiplier,ShoshoneDMND,ENVflows,EVAdelta,XBM_mu0,XBM_sigma0,XBM_mu1,XBM_sigma1,XBM_p00,XBM_p11,shift,Controlvariable
3600507,0.02355866722031485,0.0016570734999360461,6.476043610037507e-06,0.001517441361203575,0.0004884888546690114,0.0016066948801908287,0.0002835896447106468,0.14392573909668396,0.0003245307761073901,0.03325525727276868,0.0006313917155992277,0.026965694024815856,0.0021319561382615593,0.5974453733598407,5.166146838098129e-07
3600603,0.13751201645040578,0.0016963740775786107,4.5048054191365586e-06,0.003510209721281909,0.008216097750187501,0.0036875747761093694,9.88246277738858e-05,0.4690780271459123,0.039520449796793485,0.008611084670033686,0.0033036534628315684,0.03986784193065573,0.016348194212707057,0.09401295277743672,0.001623927169327799
3600642,0.04335652200147588,0.0007995339886516241,0.028209618606457543,0.00501928461993284,0.013756147144928564,0.0017545579837227045,0.02114671384850164,0.12249335707907914,0.0007853255500517298,0.03979843470502198,0.002032328123429239,0.015043881553046812,0.01458556023905111,0.2152091881671967,0.00019855656747391762
3600645,0.257412337860626,0.00011591675008870703,2.297234995007891e-06,0.0013434669425114176,0.000842085606986176,0.0038231620189981283,0.00011541098008027714,0.3079099110105989,0.005145826130036557,0.030550257599104125,0.0023563486825761704,0.06360606006544067,0.01709367562419717,0.1113482178605496,0.00033146332352818053
3600658,0.2241564550524635,0.0005880175415867718,1.1382530241021982e-05,0.00037995519438249753,0.034320624963778634,8.229405823456659e-09,0.001293241969884007,0.4193984832356992,0.033262834198387936,0.0009179398190469756,0.002548936266245194,0.038261822014341466,0.0098071226661125,0.021614276101313838,0.0015247823910780054
3600660,0.6400321815146126,4.182595587320925e-06,0.002101375306241437,2.2089326698448982e-05,0.02324736856889686,0.0037595011874844713,0.004936198209507414,0.11877924891583867,0.007671310542697206,4.0626063451898446e-05,0.002625155348462416,0.01774439708536757,0.0008244463651211342,0.0028250513688331536,0.0034641427342243514
3600671,0.16039759498932415,0.0011460179283316885,0.00043996746634034084,0.002290425171798005,0.043114703766864985,0.00010043690853922538,0.0010783275824456373,0.4905467067805109,0.025678937015002457,0.006026525187003973,0.0044129498523983735,0.05958880692609825,0.008397921098141971,0.017568143567686656,0.0002867409877628236
3600687,0.0016136508382107448,0.0005759593146856813,0.00012024697750667725,0.0023932863209685795,1.65902836475329e-05,0.00031623661628521477,4.5844728517430156e-05,0.12695551185870968,0.0006958556492292488,0.059884405596895014,0.002732528163103653,0.042234765017652776,0.004676651164087664,0.6079958245687416,0.00028366184886963186
3600709,0.16752514142273425,0.0010680936582462275,0.0009141118235316269,0.0029466228080927692,0.07603161001280312,8.342974918895685e-05,2.1391941402826294e-05,0.4833241087587512,0.04237551717811894,0.003988354142960393,0.004910762764373633,0.04392819958323546,0.005855923983123734,0.016618305197503846,0.0017889306747207454
3600725,0.1020233792355022,0.000378017329273006,0.0007726107485815925,0.0007738078540415749,0.010796937774088078,0.0008847888842841156,0.004434994185931185,0.3885849325601304,0.034270679276630966,0.006148131826579029,0.0016743446037996712,0.025166138546327543,0.014403229092760594,0.027946325386255855,0.0016613484671452738
3600728,0.13778267922561171,0.0008867629718681824,3.0392949518232015e-06,0.0024255316355147327,0.013003304098341606,0.0002748586210735704,0.002873190174906504,0.4347860504679504,0.034060504383057966,0.0029671849486099244,0.003577310925775068,0.052751497035480883,0.007250852277926989,0.017084763319659246,0.0003123824036735945
3600729,0.11955862752592684,0.0012375919910196929,0.0001426556317405403,0.003172997822685097,0.016955425788508168,0.004340557109892784,2.5940091388010345e-05,0.5304933834071628,0.04213603679036537,0.005263816575477143,0.0011898773138464547,0.037659940401505776,0.008177179215588914,0.10154684439873117,0.0014593275732326385
3600734,0.14215329347099434,0.00021736099135760692,0.00012637709752494342,0.003192051006004171,0.01407953070016088,0.00035436703794688995,0.0006022448662691415,0.43815105898773465,0.028630022430617408,0.0038233855601363938,0.0013018708590242234,0.035807806708378236,0.008954293950399041,0.028586715178678057,0.0010309727012958179
3600765,0.10101514803014212,9.418281549711248e-05,7.695220706527284e-05,0.0022127289167409576,0.006963227728749022,0.001811947475527376,0.0012418200323799367,0.26907375345774465,0.024649221802415355,0.004580865504834275,0.003315265519613142,0.025779197642848528,0.00469338600521152,0.08260239780778822,3.623899341853587e-05
3600775,0.19963181210064185,5.101759857895072e-05,0.008960483606580638,0.006584092831654731,0.017431633729866336,0.02799303571622236,0.004851335489796216,0.31042263813184623,0.0007931837215688907,0.06968496835460136,0.0022980003749413225,0.08310184564410661,0.016166285214210152,0.021857471365232303,0.0006121243348400363
3600780,0.05629215033865187,1.7630996175910237e-05,0.000628516956152958,5.564352017373153e-06,0.02515747014545755,5.274545354483351e-06,0.0003136703320886225,0.15123665009952014,0.02613629527598893,0.0003383632960231031,0.002238730210248341,0.01668811421308558,0.003682487544117597,0.010675216281265444,1.471443605349787e-05
3600796,0.1058857916506507,0.0008152677536231723,6.759579402326742e-06,0.001326836849412483,0.010406468764248332,0.0038680846924802337,0.00278246637487356,0.3661491574121145,0.03228806304795684,0.0007513561033065662,0.002143595809100729,0.02704179529144413,0.008390145879033417,0.07504350286800597,0.00027259200822871144
3600801,0.03771120472627654,0.0003289307526246344,0.00016314678095530333,0.0003165583569663122,0.0011105956830510524,3.1191654355500205e-05,9.864019204575135e-05,0.17586027406260907,0.0006394158459590571,0.2200073266011333,0.00035647772472457984,0.1137538673337849,0.046867068621906934,0.0034130077008974746,0.00019336177066575644
3603543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604684,0.00021202569157985351,0.002743625577023345,0.4619885480085518,0.0007970130795297293,0.00018818289734368052,1.746642881439442e-07,0.004662171684864379,0.01996536154162853,0.0015026672782920694,0.033893777684580566,6.382908199586979e-05,0.01596359535554459,0.0010541976498311678,0.02372237242255171,4.367773045710344e-05
3700519,0.012778441601210113,0.00013107365344444674,0.0002640411948521271,3.5512995975039985e-05,0.0016244899833204318,0.00017944517075685343,0.0011874006554426495,0.4044808998883508,0.0014358468573908436,0.1461232346655056,0.0018559431098851282,0.14270408474591256,0.04014612010452512,0.0020727928670567497,0.00011693959454894819
3700539,0.2378128816635149,0.0001693322351888904,0.00035715320875606693,0.00033116317118897515,0.0014232984462818619,0.0046670480629171784,0.0005462261913945499,0.3425484307901754,0.013501456997340178,0.00806386552632843,0.0007453434789753688,0.04000039827327029,0.007725043325774394,0.17454253180165302,0.0003504410232848532
3700545,0.11419279361667635,3.328761681853365e-07,1.8133404803055694e-05,0.0016528132745847743,0.07000031045784416,0.0010963702860330438,2.637895204238294e-05,0.3406507743223701,0.02175519154718397,0.006501969787427231,0.0015831452575310045,0.027792534505330813,0.00995844323517714,0.0028443830357596234,0.0005781540843693422
3700548,0.05714206558549306,0.0007858158439918439,9.258960709579434e-05,0.00027154597625767,0.3669774125516687,0.000620079554556785,0.004761537737386967,0.21032952382388212,0.027760453701596632,0.0011202154550107313,0.0011799928470297427,0.030044423443530758,0.000982982594759041,0.004081739109789706,0.0017830039040973578
3700560,0.005308058485138267,6.530341713306687e-05,3.8361653209806335e-05,0.0005559264839309909,0.00035410398981838837,0.000833524537139696,0.00028880429801647617,0.33726363607189497,0.00016431257418203504,0.1726700295303576,0.0011514680542024092,0.14669927512538228,0.039520129381489744,0.03990287030826867,0.001439786510945784
3700561,0.3521708919067377,0.0007383796547854037,0.0008571662516397849,0.00039789711066173794,0.0004596706535829887,0.006944687796390458,0.0010000862329375693,0.22544221424614094,0.005442465377200834,0.0006827820195486334,3.9763117591906656e-05,0.025666954213192542,0.0019322450431660254,0.260392523758902,0.001533253940948498
3700571,0.03917901577788896,0.0014407553095264758,9.137598698982785e-05,0.00030388094756739203,1.4424864782647262e-05,0.0002278743304301445,0.0002323847962119041,0.2765733909733823,0.00011048174823491409,0.19045586729235695,0.0005608521174553793,0.13492340215482768,0.05504838037876547,0.024818622089065826,0.00018633390369682257
3700642,0.0519295814285452,0.00018333395858705082,1.9148461172235894e-05,1.9648414227857455e-05,0.4108087078971604,9.440832928153675e-05,0.0025065865351475702,0.14353543963014392,0.028504125071426526,0.0005275531471875539,0.0018916454514308343,0.01985109087358794,0.00026575638343406816,3.354165166657985e-05,0.00026891074300394724
3700655,0.2476419472148185,0.0004982261170971558,0.0015400480632258295,0.0008514259785555868,0.00041354947449789847,0.007273126615806147,0.001289321631483431,0.25319068666801103,0.003299204101542053,0.001209598798378675,0.00010482436441738853,0.021436106030199964,0.0021130233982299407,0.3201970700517557,0.0008220740441080565
3700658,0.18546809367054384,6.349652346160363e-05,3.6775238780872854e-05,0.0011073644812468195,0.033992550811320243,0.0013333258154909489,0.0005707763611578763,0.5010522394542292,0.06273342756637723,0.0008352783075563641,0.0043997302819720465,0.03542080630525235,0.007937612632973767,0.0006582942128489089,7.859860495329496e-05
3700686,0.8093211777554115,0.0007847244771443941,0.0005212663885133528,0.0007877068454701375,0.0003829158920164444,0.0034710725424487165,0.005265064708251832,0.023628986657214468,0.00022288111083046402,0.0010545413673553883,0.000486901241824933,0.0028289508574284032,0.0012221929315133773,0.0003335659964215365,0.0012073405279963145
3700694,0.4651921831339694,1.4009889351962457e-06,0.00010578203102962204,0.00013282944095671656,0.018644488925422698,0.0005822423616826944,0.0008827379179964234,0.2728695382842724,0.015576704328694513,0.00010213465067565596,0.002712365721156296,0.02024995699957144,0.008338779715495348,0.008729633467114417,0.0006610562362674433
3700723,0.1519980469874056,0.0015168150245002956,0.0001605003271721861,0.001973243231311761,0.07551243448518041,0.005230683989029372,0.0017950211296854368,0.4373593696225044,0.035198638937497084,0.003546614407853088,0.0028931000065390844,0.048346276028326966,0.005734050996473061,0.016102666696076406,7.438383752578215e-05
3700743,0.04461817555096681,0.0015597288379243235,0.0002228307976628319,5.6998528534801815e-06,0.25902553207624235,1.7493525609313387e-05,0.0042668628347785065,0.21374468867420493,0.04111608297414027,0.0001063835537983282,0.0005198009507367818,0.015167503768510171,2.9489226388235142e-05,0.0035872451264495897,0.0006010365093809256
3700823,0.19339866705732334,0.000386919052425827,0.0005604156426888274,0.0020156075801420763,0.0011632167515697178,0.0029877487147471626,0.000905673697791376,0.2470047671133935,0.0014104005436073044,0.008338760183813855,9.933086470903517e-06,0.03595888638240252,0.0029458723697878275,0.3390979134097556,0.0015215712019308605
