,IWRmultiplier,RESloss,TBDmultiplier,M_Imultiplier,ShoshoneDMND,ENVflows,EVAdelta,XBM_mu0,XBM_sigma0,XBM_mu1,XBM_sigma1,XBM_p00,XBM_p11,shift,Controlvariable
3600507,0.019428287165886838,0.01226853006943232,0.003957215913489368,0.006527487270389638,0.013489034305435564,0.016258477483782192,0.009498826414443986,0.05542667058307218,0.006370560300645544,0.025658664347325562,0.005315000167519215,0.01766687990766668,0.011718575702611844,0.03699481092306051,0.010415289691393709
3600603,0.03502812141931279,0.010876228648847762,0.004329603765504546,0.011181429316923631,0.007171597619652883,0.015442814685360231,0.015129388437898109,0.07986084079870368,0.02294148159926368,0.02086681475640842,0.008886856472679075,0.028356093029490482,0.014877005146763912,0.037661803465265084,0.01298650700507002
3600642,0.04774675320571189,0.008296053928556165,0.030200953456623075,0.01646212466922779,0.02365486705100531,0.01430055610703269,0.019495015955531124,0.03276456247491167,0.007232308880837627,0.024587113516737192,0.015333403696451682,0.01119216461773952,0.019808877710803918,0.03482174527942015,0.008420074618017286
3600645,0.03542246292916195,0.00886623129745902,0.008844500218573909,0.010183732399108776,0.014662815805303353,0.012303219390517829,0.010735074162031536,0.04499067058674313,0.013351340457932624,0.024833674187853764,0.006864028381176278,0.030469489193458026,0.023713934041709052,0.043391697998812206,0.0075422710461340485
3600658,0.045744490278335034,0.007170042816475262,0.006236995402028653,0.006783371996279426,0.012396391501458466,0.020688034718841248,0.011569063409717077,0.029601573591576287,0.01600146677716016,0.009404232811226022,0.005632434713239985,0.022786228426512626,0.007010576579576035,0.01634550898017409,0.006930452376609064
3600660,0.02772848332542717,0.006121644165409721,0.012161372098701629,0.0051220285056448045,0.020271061176254598,0.013751820021105405,0.014453777929282319,0.051466804865278284,0.016653471368120742,0.0089331646725498,0.008911463643920049,0.01836909996384007,0.009568268037879,0.010782931714701405,0.014623417583636084
3600671,0.03922111045936383,0.008691430340784635,0.009687059755925684,0.0096150149403968,0.022076929168564102,0.01790635779207863,0.015102751760768056,0.03435386249100831,0.015977366523576432,0.019542867664566085,0.008778532302799645,0.030815808817491512,0.01803769556572336,0.02135220839694927,0.012624760024948577
3600687,0.011932153771527391,0.012919555823492085,0.011004445247838723,0.01120260822510722,0.01512307053020061,0.006027973140120747,0.005758005942966881,0.0357156761454594,0.0099590206506262,0.03695233076856818,0.010029397834919192,0.023987969529996257,0.012393797971035198,0.04790170489450372,0.009899173603367678
3600709,0.0355796827307172,0.007628213135123405,0.009420740372109828,0.012641896908554651,0.022147369810404438,0.018362785026905144,0.016103774892769974,0.0462916788153557,0.021675294882912952,0.014351000746752088,0.014813995612961112,0.01395554381848938,0.019913452699431216,0.015376411658218516,0.007229482787403239
3600725,0.03443264986165548,0.008897585099181921,0.011276999473107495,0.007313962552661966,0.015365932843316844,0.01322557506262731,0.012844374139142013,0.025138288480888043,0.02478903829203385,0.016489773072336674,0.005131366716565057,0.013586977281170727,0.023804815567341386,0.024918483259108844,0.014749628058875109
3600728,0.02603289342059656,0.008151109296351438,0.007087365703788292,0.011056678778517522,0.013775649690254065,0.008488273150806108,0.013129049381018169,0.037896930437689866,0.01858128693187121,0.013113019419367657,0.01151608257978381,0.017766575347885498,0.011642228938217085,0.01852896551180161,0.012474653741323284
3600729,0.033515255387918365,0.009588557976746235,0.01062573492557238,0.00687777621309065,0.009801106247629138,0.00912522304298777,0.01890093695836255,0.04065947724352648,0.028204000854977793,0.019850441496253403,0.0060063262879067715,0.021914293235290903,0.02376830787872785,0.023379854165131518,0.015157116251997784
3600734,0.04441195407234497,0.005735010707562761,0.004089018698226168,0.009948495502146113,0.013983108006096714,0.011117796634488112,0.014730610951523997,0.037416701821983665,0.02409202165181437,0.02050635521884274,0.00819568701476518,0.015101219080546359,0.015041085253951269,0.02121686466310958,0.0052322679684541525
3600765,0.03638603943176478,0.00992635062616192,0.011510276855346877,0.004211120037339839,0.012811590200653788,0.014424984403806048,0.007505873998026039,0.06552079345583403,0.02216406015933773,0.012567201267193157,0.009147479029222493,0.022603091135583158,0.011043325339800044,0.01803188770620795,0.005843967766100896
3600775,0.028752040865518507,0.01352371334509099,0.0136257848740641,0.010725373800080823,0.02541789119326601,0.02306259346261445,0.02267490641141785,0.02656420303762181,0.00889195425297602,0.02423222874383005,0.009078163784766979,0.0499635127013174,0.007753744113026042,0.03463905734186744,0.010603467737244271
3600780,0.03874474707607952,0.011092670767593309,0.008146692046922073,0.010573244982066476,0.015145217161898438,0.008906425811070897,0.01073728787155884,0.03309793077704863,0.018477987036468583,0.004206861635579876,0.010288697154833708,0.01006288417947392,0.013613452678565304,0.010982653503356895,0.004551989611698776
3600796,0.04972330912699421,0.008354387155740984,0.0050953537968756926,0.012915798634493679,0.01377312190304337,0.004515563584275143,0.01219620470839165,0.038556122773993035,0.024481262014560176,0.01619048642173734,0.007888507882806158,0.023239362129945318,0.017227107552633316,0.0239614499438993,0.008082250092534259
3600801,0.027351226188228862,0.005473312059726322,0.008563696237589222,0.008550762088125427,0.009353035200783198,0.016026185599391066,0.01246363300979994,0.02440887997684626,0.008706354543791487,0.050923548628710485,0.006606405007994966,0.042469694028186906,0.024144303949315268,0.009364257431425731,0.00594891583024349
3603543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604684,0.011356917531586418,0.01282973155673024,0.03224909678596858,0.0105998056118578,0.008449497464038258,0.012398326210642487,0.016422281157669336,0.019709495194940158,0.013833663926669928,0.03630108222354938,0.008105226050235786,0.02019998352293096,0.012987726084190515,0.016565988835180824,0.010642322326729186
3700519,0.01517281867954347,0.004119344642819567,0.013716258361867484,0.006202587209820714,0.007306539108649638,0.012092503333331828,0.007596196204647379,0.029721950762724818,0.015594434579678131,0.040459252895946304,0.016599252627700886,0.03671607620055056,0.025106790141233026,0.012578302949444556,0.009652750666606005
3700539,0.03497909103402192,0.007329133368506741,0.006373586945581535,0.007865879108340553,0.00740355487108863,0.012581268521608496,0.014536224029410032,0.03732765037346878,0.012909894541928913,0.022281256610962592,0.008629235707730066,0.015230948096113459,0.02143501630182214,0.0218705220618369,0.013133482299646176
3700545,0.0248764560050486,0.011015000374015652,0.0052116593435728685,0.0117741777336857,0.037574615844425036,0.008142202623875175,0.012751869700080123,0.03504550021775487,0.013011479958652232,0.01709047457872869,0.005942357198877385,0.024314757778376717,0.01276147502120997,0.011256355608870424,0.009767378248205984
