,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.14256663441592554,0.13599949017693805,0.13734057875229805,0.13920597735952306,0.13831481465254078,0.1362127336504273,0.13581347941754923,0.12901321694384715,0.13135914880506233,0.1358460158368509,0.13610857059121867,0.12916983001453564,0.13705177156515796,0.12917644737071332,0.13061987921595494,0.13376546501447967,0.13123180117338135,0.1347012506853271,0.13375811224536505,0.1300960703770185,0.1336535739210441,0.13653519055444044,0.13142233158508596,0.13843939740384564,0.13461959408647817,0.13045902777190152,0.13291810144584415,0.12379206216100495,0.12702497898504633,0.1308829315356279,0.1350602121389912,0.13533604032774155,0.1332531058633098,0.13587399199801659,0.13121096851064046,0.13669940894944865,0.14065273647450363,0.13815360660843085,0.13732614647448108,0.13635705976193754,0.1409557626545626,0.13639702248913488,0.12848106589137112,0.13752970622971344,0.13465925062492348,0.13613389844267526,0.13666621691194727,0.1378919534232699,0.13341070686141426,0.13093934074368513,0.13098114543846623,0.12989352562003,0.1378188648459422,0.12910270515803243,0.13023080996739322,0.13441369994827304,0.1345593039604863,0.1359614769787416,0.13628324397585354,0.13360274888858897,0.13399809520257103,0.13685191891429968,0.13536513607930906,0.13083130924103786,0.12942028063118158,0.13550623241933046,0.13688138654096377,0.128744647673451,0.13447562422785897,0.12763145295109748,0.13222613832542002,0.1330031401565475,0.13038797297788698,0.1325733013061688,0.1372102411564898,0.13197150551373021,0.13327169608869946,0.1339507016876738,0.1274077830897415,0.13404527530925653,0.13233807292154387,0.13212052313008224,0.1309812879855508,0.1327902607897009,0.13651165315678968,0.13287817784595543,0.1205275756168039,0.14695315200076037,0.1473285304527719,0.14120258134894845,0.13557494112719362,0.1454065495101536,0.13946692112353748,0.14035863647674518,0.14774413747342038,0.15046803993826724,0.14909793994090367,0.14324357256327705,0.1211324541507337,0.12197927809357993
RESloss,0.03431996276587381,0.030440477378100222,0.03267133385291273,0.029300618923918713,0.02626649748523771,0.03518702730754665,0.03158155247232734,0.026974391926848595,0.03391443062098705,0.02833111011233626,0.030858900012445057,0.029504220204699422,0.03342437434784292,0.02925096673909273,0.027990047697952703,0.031184107495060055,0.03411810612449616,0.026631766736495137,0.02820958021893008,0.028523962994149547,0.029021635699166375,0.02730247945593219,0.029176934161217694,0.025937985703671097,0.02680069906475987,0.030825889213974268,0.030798957608692158,0.03341034486742341,0.025016947218999698,0.026936787111843375,0.03224894915576258,0.029920014688807662,0.028309557832133913,0.0287865184812685,0.027256660530232502,0.027903654550069122,0.030697039735743215,0.03268744030487327,0.02971298886877457,0.0300633421823015,0.0276307962164875,0.029776905308454338,0.03222085494614876,0.030094059720159494,0.02781627035114954,0.032311288911812536,0.03232109198210016,0.02482089172516746,0.02839312574866602,0.029855750077207744,0.03097013510337888,0.025946882240200114,0.03300799549082273,0.02988445226368524,0.030422551645216723,0.03273215699897057,0.029676160718441518,0.025381272142793933,0.03218528994376766,0.030769010900846168,0.024824036768375322,0.033147042126725854,0.027114566226694576,0.03204463420553138,0.028280786199508506,0.027879851331523507,0.030754321817408486,0.03444768466451688,0.02945459297352599,0.023650504316322245,0.02688372149423416,0.029366222394608697,0.02404372658218834,0.029367728674645877,0.028439281701200102,0.031699461022531926,0.02473924242292817,0.02753007992365692,0.028204712764860113,0.026635882817733336,0.0273872449065318,0.03159550847712752,0.029508603652555043,0.025597354436034624,0.031128287641383916,0.027758782984125468,0.03194228808443501,0.0327260802052363,0.029122149185858294,0.04092146186786013,0.03580329506853107,0.035465825966353795,0.038251500441782244,0.03946447406541215,0.03320139453820712,0.029497940921712297,0.027329023056910307,0.018312854694257065,0.023769598798060836,0.025429834483134784
TBDmultiplier,0.029507782920737347,0.02666314620439873,0.028669393511239028,0.026483735564585182,0.026167533242309565,0.02478556596241962,0.027483707548537368,0.02398074748792355,0.02594481436697978,0.026728879304788865,0.027424053333100728,0.02583666135035647,0.024912771185594484,0.03214970447148091,0.027725196573798416,0.02296515568495911,0.022521777200290242,0.030793596749470374,0.023508149767042203,0.027018102861227966,0.028642359943652003,0.028543242021795347,0.02999056589666358,0.027640837154314073,0.02241438399950052,0.031166170245783893,0.030644273507204316,0.02604319426007982,0.025056532703598772,0.027210906973068782,0.030940945068372326,0.028207270575933308,0.02582058403499175,0.03242271767018009,0.028724679840006484,0.02955108552090428,0.02755408094969932,0.02893872549602324,0.028428974114448346,0.0234977751482481,0.0288547326803612,0.027362556361004486,0.02777936514991685,0.03156920189975334,0.029028888652155433,0.02822880421262079,0.027400485038561507,0.026032571015180334,0.03171224545169372,0.028211897032770605,0.029045583274707264,0.03223942579724478,0.030167728222695665,0.028052168195134876,0.02750452076150991,0.02656153567492764,0.0279658391482089,0.02809595958814674,0.030197531986321795,0.03062044192511749,0.02836104233182187,0.02813483190463999,0.02834248320943807,0.02845800096863176,0.029000935376219294,0.028116938615228036,0.02856320613907748,0.028793515528074787,0.025001144291362094,0.029360702509313875,0.027904822710997174,0.02641368367431588,0.02662795068384849,0.026033587664439462,0.02692268259692405,0.028738937595398046,0.029321237032785996,0.03345061448669557,0.0272123337632861,0.03118358806403229,0.030480918987502777,0.030648761209031428,0.032335663948857535,0.02712582770416062,0.032231289981688255,0.025936645198671966,0.03084836754123939,0.026633096334540245,0.03514576304246268,0.03301046880580437,0.03568043948360714,0.02727075763364805,0.02374654200249695,0.026290864488623007,0.03341073150226659,0.03308065005415878,0.02846722855192768,0.037092546501886044,0.02107508202701119,0.02635173071771733
M_Imultiplier,0.02571558867396485,0.024150937191993793,0.03024149889057015,0.024260173993706006,0.024895015006476298,0.022584638949584363,0.023755119927136727,0.02175365691135831,0.024043936594583544,0.023240111433172176,0.027523115117951386,0.025841652713606382,0.02530084654689164,0.024407404151270982,0.025425171146283104,0.024280630621007392,0.02275016486541866,0.020576205623800838,0.023297397879769123,0.028440884634553288,0.022921099907970092,0.024694725924968054,0.025105820339066227,0.023799289387784035,0.02467011054810981,0.026042217930405415,0.02828739461508135,0.024115157671175485,0.02485258292546409,0.02780844156028096,0.021838526236413903,0.02471990527343331,0.026913433640199692,0.02358044052563602,0.019768022370065363,0.023968691149381043,0.024736408052469797,0.02718123282700121,0.02213137239912152,0.02560030365742626,0.02654157050074124,0.020916780212518686,0.022987453334615566,0.027536643418222595,0.02580084064324315,0.02771263699523956,0.017018861057076767,0.026141958707209468,0.026478234094268055,0.02611113278858434,0.02281832997317888,0.021885478585698538,0.02470235670471204,0.024070589455495468,0.02306375109129094,0.02788260321694298,0.02625033730520464,0.028590822013143613,0.02305344807558569,0.025199745246140902,0.02561966724219994,0.02662585201697503,0.026802428853530142,0.023920127242273128,0.022760431790287174,0.01798847592946859,0.025231790003924708,0.022768870311816618,0.02381065056202028,0.02593904672593388,0.02323997812212126,0.026455934055425834,0.02620702937537004,0.023924370933182317,0.023067079045742046,0.028878183179416872,0.022345894370178393,0.029051737167229065,0.01952740930347757,0.02346353933287925,0.02907397050850439,0.02287195043497405,0.024824030804356332,0.024422018314593542,0.02984811850583018,0.024910470636117055,0.033085326444637145,0.025629335970694,0.03223697710784466,0.029002633189141508,0.038907400768872356,0.03385932720739901,0.03603719748976757,0.03812134478611326,0.033132155134996136,0.034016418895454904,0.03845438708744052,0.022350212741926376,0.03583623239897056,0.029549563598394613
ShoshoneDMND,0.08961096223954423,0.08238190999410759,0.08337384445827094,0.08557766595724596,0.0889942958390975,0.08580392683790108,0.08961372700562921,0.0804000636653677,0.0881520049575246,0.0902417573027561,0.08631282037933392,0.08154045580645933,0.09091907765578314,0.08970870712973025,0.0948487796470088,0.08509566606190591,0.08759881375225732,0.08621746493271917,0.07970863464194582,0.08855199422745877,0.08140999588550048,0.08446748154160992,0.0910121245645665,0.08817174256467838,0.08108484291008702,0.08361027339203227,0.0894559767335151,0.08431464264042544,0.08485428100004476,0.08564134892960026,0.08646755502921613,0.08152163330578086,0.0885959613296479,0.08725422196755148,0.08829213554089989,0.08332836517578249,0.09301781579381271,0.08472660853165581,0.08920415802159919,0.08432897090430766,0.08819307075903421,0.0902106928148972,0.08605529240654111,0.0899695395633662,0.08976349081459511,0.08921964522585991,0.08888693051399939,0.08822433950098024,0.08870605446701776,0.08731422873063421,0.08598287416934164,0.08373438702052652,0.08520181672575765,0.08778701601233113,0.08724923880441976,0.08424388375544759,0.08693748017462123,0.07954406785014613,0.08504162085002177,0.09222033443330799,0.08339115198189084,0.09493429469359364,0.08927331972624948,0.08868677924309679,0.08156868176323359,0.08303382469331835,0.08573079553483742,0.083398392265465,0.08176276799185629,0.08468401767149948,0.08520053022420919,0.08226291879070495,0.08269910418583273,0.08444678971253869,0.0845957794302323,0.08399476968286665,0.08214260877312765,0.08297191799047673,0.08864376472127186,0.08267913636538393,0.08632447542400842,0.08980681523380397,0.0853283510575506,0.08975649787437627,0.09327324017455348,0.08657650832025976,0.08610231155835477,0.09678798655047775,0.09281793251339636,0.09379008188305482,0.0887268588230126,0.10537466025147668,0.10491470075718964,0.09757435892104396,0.10332458564060416,0.12939413139537076,0.12839429377678943,0.1254887002317341,0.12685270789046627,0.11872931889154106
ENVflows,0.07507066401840498,0.06858453250710225,0.06863537969970238,0.06476999712106109,0.07177501446215828,0.07390535635127346,0.06899550553396283,0.07020558218139392,0.06826055043665963,0.07082818412379467,0.06906469846843201,0.06910398605557665,0.06949331390170949,0.06837445035500829,0.06872152289701655,0.07380982269540234,0.07255901826758052,0.06990293634848983,0.07155582443156727,0.06794018700805445,0.07488434225734293,0.06869720704610818,0.06796965691495911,0.07259335967340035,0.07359816770712588,0.07000246238609795,0.07082559303350042,0.07099674272762793,0.0731847826164563,0.07438550472020908,0.06870814244573412,0.06981653795083367,0.07329055648758745,0.06849629914426184,0.07095046527835569,0.07411054586477625,0.07680050800691474,0.07499946149966046,0.0720599158514138,0.07160099925575811,0.07716290051427917,0.07008829493293886,0.07283740085310556,0.07134238277328428,0.06686932431970136,0.07129003074075277,0.07203410867940252,0.07544035929058548,0.07209039528101185,0.06495696836774964,0.07451642436563759,0.06664336871324651,0.07465807164473105,0.07046798725828365,0.06661067920382463,0.06586285807088374,0.07857872669465332,0.07375372987498917,0.0740324245525382,0.06560025660833377,0.0702076371165861,0.07328104229753467,0.06926389701645633,0.06987707057567773,0.07418936105439605,0.07288607774312396,0.07297418652910118,0.06535289502409831,0.0688388292849256,0.07624395375907032,0.06985141568702866,0.06850014105138756,0.06651613261433979,0.07232526616336518,0.07077428360691944,0.06831462040916639,0.07457625814178566,0.07342943216558058,0.07246971877416704,0.07114254844493345,0.07827248748240231,0.07290250119963737,0.06894624000038227,0.06849868873683371,0.06605381578494375,0.07029743180934948,0.07101423437555182,0.06622908799682883,0.05679319197721104,0.06804515481195923,0.06643305287445458,0.07880932310845179,0.08025557581953081,0.07490390451206781,0.0826641545517417,0.07632224350306546,0.08302166744480285,0.06995585771289092,0.058108479420337686,0.0565477810061672
EVAdelta,0.04018084556555333,0.0363981006390951,0.036245611273124985,0.04387976504771193,0.03796484903371746,0.03833679563491018,0.0414930140272502,0.037535565322723556,0.03967354073297487,0.04000793169762917,0.036344674551656374,0.04104311872125795,0.03764861333572116,0.04149513924968541,0.03774562498742949,0.03659631323228788,0.03658149196504089,0.032800604226182375,0.03650379091417762,0.03668517293146627,0.038538540185627634,0.03478371121434177,0.03592434390606454,0.0381998419261745,0.040615495371286225,0.038263818058040015,0.03471315766582672,0.03350327249214462,0.03814263288753218,0.03459205899481244,0.03765447963210889,0.042866611333751393,0.03784756403795851,0.039539290800622615,0.040998918472815477,0.04121520636810945,0.03784976058098777,0.03886645646070544,0.03413709426026984,0.03864012757670573,0.03771114715264625,0.03599038445443995,0.03772012858113542,0.03352754314072616,0.03886722201537729,0.03864143371299923,0.04001214118594745,0.03780143193441849,0.03167019831421009,0.03988597472724069,0.037746063489634475,0.04210535187870123,0.03575678969101525,0.03692343006981038,0.04168565932351799,0.03868951921527212,0.03640832877083071,0.039109345649342916,0.03829483562220548,0.037590635702472563,0.03748628626538074,0.03791531215637064,0.03419347062908508,0.033686967964325756,0.03755318526687724,0.03813804336873182,0.04106589632713885,0.038437770544253944,0.034331646089191904,0.039120650940620436,0.04179079067980267,0.038616087991523884,0.03995522538360872,0.0357744476030805,0.03851948958361787,0.04119261243765696,0.04358670076546249,0.03859419356197985,0.0403657543773982,0.035821233368533364,0.04026897710408218,0.03971837330213814,0.038096160525300994,0.039034781515569925,0.032327682634786636,0.03539151619241703,0.041382201120088405,0.036894775796223564,0.045815465366944,0.02737342816810575,0.03943028977794984,0.03557343543967047,0.03789085164563699,0.032353647923592285,0.031409793873755476,0.042269427734454884,0.03565884273223135,0.036023956406033224,0.04054704041401739,0.03789915203384915
XBM_mu0,0.208724806629689,0.20248736998901856,0.20737571864981336,0.20349329756966542,0.2071271012555153,0.2097151671553832,0.2026872033378797,0.20303540861010516,0.20330796507047638,0.20693534353186868,0.20966539611173327,0.20331200161414348,0.20817548522058088,0.20201140416792676,0.21203045569950518,0.203814733932558,0.20217163337987745,0.20891168961046297,0.20371023121654858,0.20573143975858205,0.21055001092432177,0.2070752806476622,0.21155219697615252,0.20728391988750258,0.21081731944596038,0.21291184785593398,0.20764471322661154,0.20208087025509144,0.20466736526001456,0.2082175323974112,0.2000100211009101,0.20641350777687215,0.20974331313907751,0.2081726429426745,0.215632617773383,0.2043974070274039,0.20525404968125951,0.21013664265254905,0.21002340594159047,0.20624833640401757,0.21227735354067617,0.21121482067174235,0.20962934382660495,0.21229422199019776,0.2080933153796182,0.21067352133918074,0.20298140249901345,0.20873254380233058,0.20930186877748996,0.1987902733448603,0.21476853906943144,0.2064899939110803,0.2080619380006034,0.20795393078590987,0.20707259641734557,0.20876996025674796,0.21346669682307146,0.20617492294286727,0.201679294684126,0.2065933650290014,0.20775355109667876,0.20214274303317276,0.20729460783541764,0.20747976553284272,0.2063885806730299,0.2058351453080715,0.20728534251757197,0.21155758375988604,0.19914433838552562,0.20342851420888008,0.20662421628872787,0.20971428157286773,0.20249842085681996,0.20366901441251395,0.20404122431030833,0.20966990983206157,0.19932473076444435,0.20249351486300388,0.21104120482538521,0.2074911230081169,0.20356228340751564,0.20383595156291173,0.21274381445179857,0.2081208748961612,0.2059818417029191,0.2098279495916152,0.20989732710618908,0.20727741055147703,0.21225660561128845,0.19641372192835346,0.18249665298833082,0.1668745512236541,0.16565673922481539,0.16589923160768688,0.15466340389895722,0.17236605725448872,0.169688860566521,0.19653337334348514,0.2131100227908454,0.21953472892599463
XBM_sigma0,0.024893998884346735,0.03045739609695038,0.03025766930087066,0.024667817657814728,0.025931028135682422,0.02694974717869437,0.025476617944400447,0.022773391881108655,0.026208333813182855,0.018695148876896283,0.024578316245789177,0.026937718167454727,0.027411883706073763,0.026522417656559598,0.034648027222376136,0.02196382190873058,0.0247284298487469,0.03135754290971511,0.02398306050297442,0.02431208835665087,0.026726324455878515,0.022333233802956782,0.02416236261294737,0.025546203951984748,0.02639235369751718,0.028148254639583693,0.02397710488686064,0.028375749867364918,0.021374354231767333,0.028497794225048355,0.02958130484144309,0.027948852857180496,0.028266110753010755,0.022737261556865798,0.02722578584897084,0.027729694156328137,0.02696702381094973,0.02849044146785611,0.02857710535513148,0.022754572773591143,0.029781412479646663,0.03203756889474838,0.030888780038766394,0.028399553716455677,0.025181859614294116,0.02847731027637284,0.029447016362606958,0.020368849000430633,0.026792091212051405,0.028458758279585238,0.028670912089094346,0.02487927989862434,0.028644000431654954,0.02167852150383341,0.029037616118800312,0.028620798069411618,0.025400477739101368,0.02608846565098834,0.02788118333416618,0.028681279755677785,0.028077438415511406,0.02574281328025822,0.02985688261629076,0.02933801209025925,0.031780589298458575,0.026209578180546044,0.02583295921070012,0.030701433149668056,0.027727252652981337,0.024004714883366158,0.02821317380485011,0.025841926078130358,0.023471696826929872,0.02756619348857985,0.024711395141188298,0.030494666203139863,0.024790590003480203,0.02946146567914374,0.026835378329313275,0.026724877935390808,0.02754659095887043,0.028488595392719907,0.027353597617618138,0.03187434006397262,0.026897249940904026,0.026084423816073465,0.027209068149094302,0.029112048817093374,0.03106183520371155,0.02649770193803059,0.0333653100506906,0.0358663367898139,0.03470479093902577,0.03487430433287898,0.03879023294294908,0.030943938539277027,0.03433878480917579,0.042637801536810016,0.039241978586541174,0.04225807241321907
XBM_mu1,0.09522333242054501,0.09522907685493075,0.09485540748484436,0.09979712795262474,0.09869640423342449,0.09944383342880206,0.09899949183039433,0.09299727537327289,0.09764693845195063,0.09563194849270738,0.10204286742768995,0.09826318542775467,0.095082079630084,0.10149349490357591,0.09633928036356564,0.09867522190250325,0.09382185362818743,0.09611414664781152,0.09608622033684615,0.09311049787717826,0.10137886915569409,0.09280231019517336,0.101196630359043,0.09941009181507354,0.10003548935760158,0.1009024852165346,0.10768605642063975,0.10050867949484195,0.09874462138716993,0.10140044839871128,0.09750874037417892,0.09461558757458824,0.09037169312331657,0.08968224802966937,0.09748357194743086,0.09538745359054682,0.09898010824825001,0.09079311854421426,0.09858708193865219,0.0975587757727929,0.09424654057076434,0.10138324426008254,0.09935373098544398,0.10111831269072975,0.0949566726489651,0.09560722560107666,0.10014547146816251,0.09155156275543709,0.09442666898630767,0.09427023564989445,0.0969635289017099,0.09416469657626607,0.1021474103099664,0.09706679323469289,0.0976047394690051,0.09692680650505751,0.0966663643310584,0.0979242056241636,0.09911217168324253,0.09172531234850571,0.09546732105480873,0.09518255658758927,0.0966237594099135,0.0923211981569573,0.09591785472649343,0.09796222525793645,0.09324413238555437,0.09765414430373756,0.09712619111900526,0.09869775335663081,0.09733009120085187,0.0954103830977638,0.10252567924270306,0.10267514988645192,0.09480642168155098,0.10217708889173527,0.10215041021559557,0.09486087707416324,0.09384357919042748,0.09472900120917309,0.0960702144420115,0.09472319398109837,0.10296700931942333,0.09460517137177105,0.091329697037878,0.0967764053045945,0.0964136559788749,0.09253035796939882,0.0886915189123115,0.10466462191183405,0.10507082421169585,0.09986802337227743,0.1167524917382942,0.11838262496987495,0.10813978694933304,0.1043835668850481,0.09090475189523053,0.08552453992872569,0.0589759528172729,0.058283431093146175
