,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.02095401976862508,0.022269306405062427,0.025428051405662646,0.026353215060010808,0.02693868961224587,0.02701299449564294,0.03177853201956138,0.03626494168337971,0.0348938492250333,0.028952384770968037,0.02386089412808911,0.020060541963479152,0.02124225493023378,0.02169448587175262
RESloss,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.0033073390963753316,0.003164708981101143,0.0034157150824779877,0.0036661600653729903,0.003609976964762873,0.0035734724280137237,0.0033680862519888883,0.002620803991565765,0.0025373679827775716,0.002710995210694526,0.0027851782406330397,0.003142215572809242,0.002820894328982879,0.0029095510812827013
TBDmultiplier,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.000330158594371664,0.00023665439229121656,0.0001262789652838133,0.0001220959168603324,8.231177559007928e-05,9.106417070842268e-05,0.0003131835219684017,0.0006256306367008221,0.0006248252540643448,0.0007445060893780958,0.0008410308483039488,0.0011401628174977092,0.0005314222699498097,0.0005922586496893755
M_Imultiplier,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003924995346448142,0.003771486594845345,0.0038224503643808916,0.004279618694261187,0.0039841877126919785,0.003941789702839568,0.00404654787204234,0.0034527205503584167,0.003665018986182006,0.0037468887503480865,0.0037358686345721204,0.00336783112622244,0.0032407529267304896,0.003482083496523686
ShoshoneDMND,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.011898680654599696,0.01177394177805298,0.011087297533969415,0.012026074117903442,0.011989161251224498,0.012443577530611108,0.013625399735150194,0.0143320690061754,0.013913777980243347,0.014029094013617406,0.014718627385629955,0.016667594252909833,0.01672538110858693,0.016911187510313442
ENVflows,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.0055365312816561055,0.00591738293281198,0.005885947226604753,0.00592261538577953,0.006035118549609282,0.005867464984892834,0.006792089694096332,0.007607993567467442,0.007688351398349496,0.008323047675681467,0.008620403325787345,0.008204316298498373,0.008430774471265402,0.008306928740624745
EVAdelta,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0018012493891909698,0.0020304621418776717,0.002187699074694787,0.0025234275816710203,0.0026298975209813687,0.002704476605425313,0.0026110642300864904,0.0026732102220109544,0.002608781434808909,0.00252281223555881,0.002638446874902068,0.0019961612791145685,0.0021728890702332336,0.0021451848830101824
XBM_mu0,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4133654905393328,0.4076630415442107,0.39894117776502613,0.3946578161538688,0.3932549833419237,0.3922070619160594,0.38592532031378696,0.38268041458107166,0.38130758532394926,0.37575483400141396,0.3743279254102269,0.35037200767869153,0.33780576338124085,0.3352392253993366
XBM_sigma0,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0024581463861900596,0.0026727161468269077,0.0026448165808439453,0.0025792058813589027,0.002326444373896907,0.002335391204486981,0.002472154071395341,0.0028856734728872476,0.003176635289017352,0.0032259760809939452,0.0030897884957447512,0.0025337276148093687,0.0024194033574549355,0.0023509361570756625
XBM_mu1,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.052325092580353436,0.053339840185843305,0.054502349396709726,0.05572009696680583,0.05758544493285342,0.05762984173877547,0.05763405869143566,0.05532756790248605,0.05541221946848538,0.0573790311409396,0.056980872190037106,0.06269471163732868,0.062814026305935,0.062330498934355216
