,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.06271611979972486,0.058732733945532724,0.05592101252663444,0.05058848190077403,0.05068791553991668,0.04944676203901975,0.04725454378093744,0.04205859978497615,0.045003426214937074,0.044235706108196216,0.04475518725802298,0.04611678071209173,0.04456216162547936,0.045682996758507594,0.0442329071379103,0.04499567993353351,0.045288131040718466,0.0435313143125044,0.046540181765839954,0.04639169895936671,0.04168232129060573,0.04265961652352862,0.0473745160341863,0.04503038933296279,0.04650659533135994,0.04310986979687566,0.04470747885296729,0.043192256417513224,0.04549648890541469,0.04482516913080485,0.04677664708752318,0.043459475919235116,0.04246182892040534,0.04468776455182004,0.04627567013119097,0.045007872798085546,0.04725783408314698,0.05092203496300894,0.04977109880284224,0.048503215754500076,0.047971765287632626,0.04856627153432197,0.05181467764222954,0.05133732558259545,0.05167791650262778,0.05138556039184242,0.053373384227384926,0.054328304789559315,0.05149323499410648,0.053157230024102595,0.05519721438229723,0.05343354312028831,0.05568846777910743,0.05457186480943118,0.057312341227805055,0.055088422752276336,0.05188332062751087,0.05390598709515201,0.053723131423445133,0.05757376952625688,0.05682839499972091,0.05591598739027699,0.05585908835856387,0.05307332142001716,0.05479418589521773,0.05284194013306651,0.05674094609056314,0.0545236337425465,0.053223256041699044,0.05462972538397672,0.057052276188790566,0.058624298713240694,0.05445078936165833,0.056864551454409815,0.055006652301396675,0.05327005307292818,0.05490890090924523,0.05357987586149904,0.05654871187935499,0.05235987126392505,0.05636126482201491,0.05230818444024467,0.05284758970253547,0.05117024098406693,0.0497697933279881,0.0548034321902484,0.05625784072076523,0.05672923385267026,0.05598673787793623,0.05437151190180939,0.05409767729777928,0.0594704606804891,0.058789464959911844,0.05999454474768103,0.05650137723740585,0.05673467807793094,0.05440517258770132,0.05565767139462772,0.05992539118980593,0.06213475117308548
RESloss,0.06672573038616533,0.060130056024422396,0.05864418328575967,0.057826759463811106,0.04772139666808576,0.05067659484706468,0.04571849530961454,0.04639352821466315,0.04847782144942326,0.04582957526882593,0.04759262708540825,0.04354942130772349,0.045776846876217456,0.04546877025730263,0.041900738169188524,0.04231929826149179,0.04251110806153789,0.03829829946108926,0.03928181505473495,0.040090201746904155,0.032869388058659264,0.03563176229592542,0.03504664173351657,0.04016806517985357,0.035805733123004176,0.03547433449737641,0.03121242884113818,0.03452408939049957,0.03591798389797844,0.03462781037206522,0.0341699631896029,0.03478860285322605,0.03410162011107108,0.0356405187376473,0.03900251412083986,0.03654570378853298,0.04084608142102268,0.04264592097997484,0.04402767172843694,0.04415977802746823,0.046027272316173894,0.04517676402708389,0.045987947077013744,0.047173794473475424,0.05138464170984266,0.049186666651922624,0.05312735333144558,0.05214840600875424,0.05485993915029304,0.05151391326032066,0.050298607273183825,0.05139392372857106,0.05171819518713137,0.05269790050609206,0.05529735746339108,0.05694896137329249,0.05547632864501162,0.05350766468097642,0.05258523361716131,0.05112155783315029,0.05250970533731346,0.05163576095716057,0.05111830664714674,0.05259553978803942,0.05084044574122972,0.04769776886792967,0.04986618771069444,0.04965941931966564,0.04870565159403357,0.04834519353032907,0.05049857315399643,0.05002677874717969,0.05123951328808611,0.052086633345326025,0.04904591286819458,0.048236457363966805,0.047357550656802104,0.04886569146541166,0.05155240632506549,0.05134239339903236,0.048175181285689914,0.0473222075568215,0.050044324381732466,0.050006030843063196,0.04708674422583832,0.04813134795191178,0.049172839883755926,0.05011143632829205,0.049040595037073254,0.05072867845667097,0.05022452813237529,0.050610508277495046,0.0527839078866672,0.05655189044135049,0.05343870792626575,0.05517215781954492,0.057017884694738695,0.05259416788980599,0.057098887794326925,0.059528759841284695
TBDmultiplier,0.30771300271188085,0.29207350177321095,0.29163295836606984,0.2795191591517642,0.27253070294295817,0.26974875904339946,0.2625351811571251,0.2677437349678456,0.26269431061255777,0.26974751725309626,0.2646587884347539,0.26842499219679244,0.2621412848991773,0.2619585480570111,0.25805005382464613,0.25893568563546393,0.2650825506743901,0.25787441173443443,0.25986722611637275,0.2641238067476327,0.2709303605259349,0.26318674018276356,0.26774318018251864,0.258090980277158,0.26574177919829023,0.25982087860963526,0.26099005443367884,0.26311158893297193,0.26047993483043924,0.26344914531058816,0.2666336509500698,0.2682713968714139,0.2644011746921024,0.27043231260538225,0.26722915631465494,0.27761959307833367,0.2709581526979564,0.27232030043366506,0.2797561279224352,0.27605078030352026,0.27618901797804185,0.284941949529255,0.2809145049999867,0.2884397566351423,0.28168416228721227,0.2827391086191837,0.2854210623619653,0.2810954544930013,0.28635139933947695,0.285192661700914,0.29211155171028064,0.29060596136624295,0.28564742080944316,0.2950331279927166,0.3004337216107496,0.29842490918249115,0.30991570996966583,0.30663172927777527,0.3000972524397497,0.30966753129923374,0.3197026540518918,0.32147829307750503,0.3182465554971018,0.3208781809668394,0.3255286428850022,0.33141980266750976,0.33275459325497053,0.3307508671173454,0.3347226362117583,0.3360324883239456,0.34042376163910737,0.3431817713907583,0.34072387592703823,0.34077919946676066,0.3392725081258561,0.3440070438555908,0.3503707877045944,0.34557941915911,0.3508657660798177,0.34803781303420267,0.355119737347065,0.3636907489907087,0.36529111224750693,0.3771360347375129,0.3721860178808075,0.37655873178499716,0.39709943864196506,0.4105903777314549,0.4101101092593663,0.40796079587623985,0.440074354461408,0.9899935536776138,0.33804774343452476,0.3397642887549678,0.33778074091382904,0.344387511602604,0.3577799847716383,0.4602812052907949,0.332202378953074,0.3460324346965221
M_Imultiplier,0.05947693612207975,0.04969192332438163,0.04733782519498801,0.043525165041584234,0.03722722534152954,0.03310121195835392,0.034977013316040105,0.0330619521814194,0.03545422388630624,0.035402934697593834,0.037299445289712595,0.03588639888725542,0.034339423035014215,0.03716195241924923,0.04032222826661127,0.03902032205125264,0.03730154070496734,0.03541064587563893,0.03456392449934957,0.038333564589369484,0.03728178355800337,0.03793194822669364,0.039004171346084845,0.03688271235251049,0.03709358434170319,0.03711585495653124,0.03560997352079397,0.03500491713426171,0.036085105056533194,0.038781884266944934,0.0376336429700837,0.041350785988845215,0.04187470147687408,0.044905086360546645,0.043043598491048204,0.041980573760022184,0.04479679499289943,0.044726351106925535,0.04524665463360319,0.04508417965517464,0.04728607832969227,0.04750621634976451,0.04583891539054739,0.04783629938803628,0.046558246693014775,0.04603774978591155,0.044227100086414575,0.047115938471136695,0.04472529304881091,0.0418951147337535,0.04635222751781496,0.04288250059623028,0.04330683269557853,0.048511035775700116,0.04943698308592573,0.04670968909389725,0.046203119078381,0.04582037907830987,0.04777049861004637,0.04735517277006508,0.04432052104821499,0.043977204712743426,0.04663715335434005,0.04482289794051274,0.04693335161972055,0.044602535371489074,0.04883585937844391,0.048315697268267274,0.04816440347546379,0.04825465373659876,0.04623537639494311,0.049453379992703314,0.045886087199298056,0.04672279313058122,0.04496478553464859,0.04483991157028901,0.043737441113698386,0.045783129044311976,0.045777836261256324,0.044682439577805565,0.04555295530136224,0.043965124254956404,0.04510927709539904,0.0438355959436886,0.045700944371664366,0.044768353317103604,0.04871377857586408,0.04742157397934889,0.0508418047757669,0.047107160607945536,0.049409449324513466,0.04823462110808589,0.05151329711858865,0.05100606828714953,0.05409568740224065,0.05145951347661545,0.049827100696550955,0.057234313386989824,0.06716084804712995,0.05898356404069187
ShoshoneDMND,0.05861472297619942,0.05573323312712143,0.051745620377350345,0.04613300853095258,0.040657955371839305,0.03779757087863169,0.038069873612945546,0.033328399868745404,0.036725747644185305,0.034587532406262805,0.033937171216596604,0.031604337403259894,0.03285410051716775,0.03482474571566482,0.030005307162280892,0.034507308321998796,0.035414701330615944,0.03189192986414596,0.0303156197594291,0.032989412060655324,0.03154252936276868,0.033144990110870944,0.03340795192909668,0.02863250136911267,0.03219263165980089,0.0333909193678374,0.03309580242956663,0.032584946455090975,0.031582014965754704,0.03156112312416197,0.030410820911942676,0.033253271815695984,0.03182195414092305,0.0343999014414713,0.03241903231284114,0.03445059855100406,0.039580423340356205,0.04048253755453257,0.04207751205290329,0.0406578799541028,0.04269455596172886,0.040907180528043985,0.04427875502993313,0.044900467224468436,0.0427724898156799,0.04226177084533837,0.042863662391946875,0.043766320442579984,0.04460404500861172,0.04526512912801804,0.04594571968640217,0.04250466119649408,0.04443740943673743,0.04328643369603856,0.04334239921235378,0.04060514237439674,0.04328200863013151,0.04001584386014918,0.04224553827280678,0.04052326180590193,0.04616115684511205,0.04692558718104558,0.04762456092881427,0.04507506590447567,0.0493449159846948,0.0493877814496977,0.049786079453739,0.04797459224952633,0.04671889554407825,0.04682501493015225,0.04968118759337407,0.0508696971646727,0.0505829431159077,0.04850049512599715,0.05230067311387365,0.051135264088760624,0.056462923870529425,0.05379856693873506,0.0527101034984354,0.057507424792689776,0.052311484033175495,0.05292885007046244,0.054184313889433275,0.057631395233001335,0.05778157192124964,0.058468532927805884,0.05813915010224121,0.061798706535558745,0.05916179399005815,0.05664135616162382,0.06437913714155177,0.0672706636267445,0.06407309937655258,0.06337008910879922,0.06318861089957999,0.06277915079227424,0.06116709140882315,0.06203525478563787,0.06315938147807015,0.06491954607757033
ENVflows,0.05906808481752159,0.04877536258158215,0.046773533100242126,0.042561638518083755,0.03887238382065108,0.03721434966375468,0.03754184720430291,0.039628501832486354,0.03676220458971678,0.03840482989831249,0.03526346895350181,0.03624650965327288,0.038373635597439004,0.035999928055743875,0.03848891559627765,0.03305812563282186,0.03518835960900303,0.03451194133047765,0.0346861951770535,0.03678270802752898,0.03805934932850967,0.04137972192753588,0.03614957161587721,0.04082456634089185,0.041266024185661,0.03709936387630709,0.036660039050824225,0.03780306659594203,0.039036231859978884,0.03861136653551159,0.04093519582175861,0.03970041027413024,0.04066820761500277,0.04425851353452429,0.039781895584072295,0.039230601391389716,0.042860512162467446,0.04291706150896123,0.042636627071411845,0.047565072403515374,0.04055825060682848,0.043469889713400586,0.0464236849266214,0.04191280649517337,0.04656243152794936,0.04379950697062067,0.04736226809227092,0.04415663049542806,0.04503647868069607,0.04257256080144272,0.04526994319982875,0.0464479864963494,0.04570273178965393,0.04447489977071477,0.04298277817251954,0.04528163926889299,0.047258424864341224,0.04557390512183222,0.044857610754263075,0.04408521051505107,0.04641347695100999,0.04410865477711584,0.0465981975757875,0.04753429141032384,0.0479770967848139,0.047833149812318086,0.047094792844085465,0.04609964910647667,0.047935092611374956,0.047382040605160804,0.04782941405111525,0.04799015562953387,0.05049315809442491,0.049668946600792394,0.049094657364136055,0.05286486772881603,0.05115057641099936,0.052010991666876095,0.051802296613551735,0.05168150032760319,0.05379196085510115,0.05377478566918372,0.055009625759478195,0.05307004831747316,0.05025204859875364,0.05129538148356923,0.05517374912516072,0.05521258410972803,0.054222301181561586,0.052602495858695586,0.053889644033523365,0.05423873371866293,0.05640085342162553,0.05747655497277508,0.05895815504096341,0.059364557225870085,0.059112461189152046,0.060451020389778586,0.060162594057114105,0.06199084000170656
EVAdelta,0.061095255715125654,0.05305944577419251,0.05307207165487006,0.04450814161493456,0.042380738970836454,0.042760391045665966,0.04222908832027858,0.039870325753259175,0.044515140846098755,0.04169793036359021,0.038950635342679944,0.040134845487322365,0.04096263498404786,0.04204283025781187,0.04157710894439691,0.036787378567906336,0.037917156100873636,0.038579428368605874,0.037594899926369996,0.03802738852983929,0.036492204646176064,0.03708783020170138,0.03675020813516916,0.03597944582336881,0.03291728761202216,0.03761071391204166,0.038744410333913924,0.035496596550019764,0.0380255103732108,0.03813453894858421,0.03776146293918796,0.040497746417718146,0.03727123200765819,0.03802062657628576,0.03608554983030272,0.03756778345307806,0.03956709968401051,0.03783312557686991,0.039509265345618626,0.039038537745900666,0.03821389824388977,0.041953776788503934,0.042599995911963076,0.03929543941496727,0.037960341022439135,0.0418870707823394,0.04094811732671289,0.041732787540048034,0.041665102324908464,0.04102852594847713,0.042361957181130935,0.041958884244994596,0.04230505214689839,0.04309390974504058,0.04005405796338638,0.03900676474274132,0.04293982007189559,0.040758479067312524,0.04132242569938346,0.04340069366544504,0.044170949210555296,0.045941746062951226,0.04169882573521847,0.04724921595422652,0.04740468275717008,0.0419372358853846,0.044922960770306206,0.04334379414730499,0.04845204561171097,0.048380693142497135,0.04371741065468584,0.047155508202635754,0.04753590569675413,0.0515593044783131,0.04869897626852687,0.05231066683595227,0.04984829385292061,0.05164286651317884,0.04919993276873543,0.04881615397773821,0.05242656431484144,0.05262989163398525,0.051506456626243965,0.05004726920342249,0.05013670235601606,0.052689614571085695,0.05216849105629719,0.04788590639362666,0.05344499506752657,0.05147611838767867,0.05293295715333064,0.05057136442668113,0.05896357132138715,0.057477657541097925,0.057253134258889185,0.057566202252096924,0.058018445048585374,0.05625849719407692,0.060808523002261736,0.054177508174734504
XBM_mu0,0.0642294135769004,0.058060720789266516,0.059413449048461894,0.05766259213578566,0.053634958791163624,0.05132541457001605,0.0512987621235633,0.04942675193946713,0.04630794853073791,0.04535070606346896,0.04757650991588949,0.0447540581019732,0.04627218556265915,0.0444865973559023,0.04730148804529359,0.044480310254469135,0.04812479246219535,0.0428433565309991,0.042598035903305714,0.043119429201472555,0.04187166327891932,0.04755328806887435,0.04602591006202979,0.04119197748335241,0.043277205530165175,0.040683203975972616,0.04194804188938551,0.041215096234233764,0.042470961570618734,0.041378756045012274,0.039673856142607405,0.04169907001309499,0.04508929066442262,0.0442418724546488,0.04409391552619616,0.04311783229730433,0.047832495878852264,0.04890673895088274,0.044008776257361014,0.046505756280155186,0.04820165617110428,0.04771618958559215,0.046470450763014676,0.04699149796215961,0.048458375712752466,0.04968026803880275,0.047803585782761934,0.05105242724408754,0.050271014334275554,0.05075489427907907,0.0483342790096997,0.048234469188662046,0.046753969548304866,0.050100437517252905,0.0531126697505193,0.051584861241635506,0.05274880648303548,0.05125630759151532,0.04963607370543801,0.05083086344918443,0.054343283335747825,0.048607768834291784,0.05427265100493438,0.05371724227805499,0.05510994694014846,0.05700169715538839,0.05704984685486777,0.05846076935766087,0.060161588589792356,0.057620932093256326,0.06002694924008202,0.057846970899511185,0.05802680739738626,0.05946687596566319,0.05645593409873294,0.05723314590704669,0.056251166389033734,0.0572951889810418,0.056226723510387565,0.05401276864550295,0.05694717317810851,0.054721045734004825,0.05743995450424666,0.05751635223926228,0.06039230148610286,0.061545900407092125,0.05713984148698974,0.056881798553499875,0.06272246619668373,0.056800752986561356,0.06183174859027931,0.06102392827085832,0.0663365003768471,0.06654886843347138,0.06650182860298402,0.06896618988118529,0.07537984237373871,0.07395380880365542,0.08784741200963404,0.0889599848287175
XBM_sigma0,0.06232083970798905,0.05813011194628777,0.05646246036863252,0.05056604411670963,0.046191139043168655,0.04217265592039535,0.044208193374050714,0.04106421645969956,0.0415671372022555,0.04417130555540685,0.0403806741887262,0.03858706577135899,0.04468157115275193,0.042556064465580246,0.04257522258271751,0.039043291603732634,0.04742343813535539,0.03769697161825657,0.038351677171521596,0.03731405688362885,0.03565671067812735,0.04079306407580609,0.03981329429082546,0.04110094183636156,0.03985632955741204,0.04151968817288209,0.04179946587664979,0.040833562113338134,0.04059265490078296,0.040708181597944815,0.03869571495443439,0.043673073291004616,0.04393596204086818,0.04459848498811687,0.04299307034328788,0.04082254929577609,0.03950677083405512,0.04699346560419117,0.04680996881699967,0.045550633223913034,0.04461428046468039,0.04637355161070432,0.050677705278599286,0.047404233669081565,0.04699935875142535,0.0489683888137947,0.048505941028752705,0.046415653039073676,0.0496926303325557,0.04766529883366395,0.048894721272355876,0.04542887110807685,0.04815919870673527,0.04928429453772709,0.04723854783995145,0.04875693758482786,0.04704257065569695,0.04754137368960466,0.04869631672585989,0.047590123465641114,0.04715227159015049,0.043678143524504956,0.04583279381337664,0.04531371775361631,0.044925831769509705,0.04673105269699353,0.04465646433352331,0.04380552635022902,0.047195313493190554,0.0455464477763323,0.04670537283620681,0.04904744884577174,0.045084589152413874,0.0457938127159684,0.04632389646649241,0.04753843958814539,0.046234889488884226,0.0468317157583426,0.046893854166282445,0.043302844298044804,0.04524469093667345,0.045812183124391274,0.048337404873470574,0.04587752529935207,0.050245786126980184,0.049527666853569165,0.05229668659195032,0.05046179040037748,0.0523902569537663,0.05029153631692139,0.051252277402624426,0.05162323012096017,0.049157515183939585,0.0515892155395127,0.04944634743876834,0.05193033149167862,0.05192848476321369,0.055591600305206865,0.05649488282925681,0.05884388801515741
XBM_mu1,0.10973964570905734,0.10106410136003172,0.10131492928875682,0.09273022740656225,0.08969909212868228,0.08741298388680233,0.09059508680434379,0.09221092216488198,0.08456433288963941,0.08795726443431054,0.09547612999211275,0.09524139065763529,0.09533193596648545,0.09345512002665042,0.08899788010525508,0.09697288795298578,0.09298626989409409,0.08750408294317369,0.08753240944739474,0.09046572172721444,0.08258956353157446,0.08714642793136258,0.08831729795413529,0.08928339072255999,0.0897549571350504,0.08555202865327845,0.08892753001229256,0.085280568789842,0.08591507531785285,0.08777792282558765,0.08847948947768779,0.0907633637697246,0.09036026175123688,0.09177808167448422,0.0949078283373474,0.09320573283337279,0.08617495547946102,0.0915259382990746,0.09084743831520888,0.08621950208646231,0.08673267369359083,0.0941322658146561,0.08915126410286657,0.09248558719990296,0.0939243281979373,0.088540555478531,0.09505450323351614,0.0899303755894819,0.09552598145740424,0.08689833852703373,0.09219967791966381,0.09350572476711916,0.09035639896944789,0.0887236926120131,0.0858360797749531,0.08863145081457463,0.09155642232013442,0.09430365337971079,0.08988514512476116,0.09192981507193487,0.08656279286637544,0.09085987334048597,0.08288139753695224,0.08504654688465525,0.09342980946362485,0.08594621915479708,0.08357465446063408,0.0801187043425257,0.08191746220743616,0.08185119206044733,0.0854619913610229,0.08284514362928097,0.08305775177525491,0.08191247215074879,0.08063438625614897,0.0800626011752917,0.07934417836870553,0.08031109736791243,0.08452115405436975,0.07931766745161953,0.07854802452453033,0.07978171674778546,0.08197706322811638,0.07910650370479785,0.07731187914046386,0.07737578526178103,0.08225387621254449,0.07613343771699285,0.07313431977854556,0.07937801069779367,0.07957659351389028,0.07803007320706569,0.075018419913117,0.0742028492507388,0.07149934158534785,0.07738845230525712,0.07585728730896288,0.06754488036157773,0.06839729149190146,0.07092773902105075
