,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682,0.05670231737396682
RESloss,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078,0.0032538530630650078
TBDmultiplier,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435,0.0024138290972006435
M_Imultiplier,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987,0.007204824612057987
ShoshoneDMND,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949,0.02453528587610949
ENVflows,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052,0.10117915577742052
EVAdelta,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572,0.0036613938706838572
XBM_mu0,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717,0.14405509090792717
XBM_sigma0,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073,0.003338141006562073
XBM_mu1,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368,0.01992294639822368
