,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07196162798102979,0.07712733977420323,0.07474709382433986,0.06923921840780582,0.0668693650329667,0.0645427597075998,0.05991799796918483,0.0613276411004689
RESloss,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.0005524883329852233,0.000471414775668243,0.0004791622937638754,0.0007942224771060354,0.000714732172196813,0.00073850336330944,0.001040234482809194,0.001291092115676367
TBDmultiplier,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0010304616812587075,0.0012912305736780044,0.001012758996379669,0.0010255925394265326,0.0012043566889021096,0.0012088240709891879,0.002492834829692629,0.003505692893816749
M_Imultiplier,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.003354322873361084,0.0031401716022926305,0.0037106701400084533,0.004637268264745837,0.004544464832417006,0.004203880396013754,0.0036196414466816195,0.005416264285126843
ShoshoneDMND,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.00874989578691154,0.008716791979546248,0.008175659030621323,0.008758586528173764,0.008787973188460033,0.008694734003891522,0.008192729899236846,0.0057813602343659174
ENVflows,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.006499215040915049,0.005838734787456073,0.005293375657172056,0.004582956123426856,0.004175491983735322,0.0038645415391031063,0.004848684207853944,0.010330143614361072
EVAdelta,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.0013901003994866371,0.002153158733679383,0.003438738744312775,0.0029672849411405662,0.002492653324773977,0.0024737845230639838,0.002782049927714637,0.004835621086851338
XBM_mu0,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.419495774195183,0.43198587334812133,0.4961514608013441,0.5157735631328508,0.5290510062247316,0.5428169166787805,0.5942188934556383,0.6422570533009954
XBM_sigma0,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.0066333010831289806,0.005412379752026122,0.008931061507209565,0.010979598854115619,0.013846659224368304,0.013636923227510369,0.023972347491110737,0.06927368425763206
XBM_mu1,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06291631205474858,0.06136190576896072,0.047228541655881626,0.04590473343410129,0.04436695806701771,0.04290263160221135,0.030490914916011705,0.020140969648478148
