,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4086629483473754,0.4178618847976562,0.4178618847976562,0.4178618847976562,0.4271013654221385,0.4455586105397027,0.45432644915276343,0.46079933079369484,0.46178121655244353,0.46461936772874557,0.46591295075981076,0.4663409839112306,0.4655061550131895,0.46550054173994615,0.46591230427490726,0.4684861790664576,0.47168967181791055,0.4789252775094486,0.4772817424782281,0.4790709661418394,0.47940933782202855,0.4771457939966517,0.47689005682482843,0.4762988259913026,0.48302950781451826,0.5105752708663498,0.522687927149627,0.5309633517806591,0.5351398807151166,0.5464163833781706,0.5410730245865316,0.541610530166448,0.5467811698699918,0.5551505007560739,0.5658268496487535,0.5662977211266138,0.5683072839468528,0.5831287636943232,0.5978969544759257,0.6053444845235427,0.6082566033945258,0.5951108166606414,0.5904661804644094
RESloss,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.4254532007469436e-05,5.892037631571867e-06,5.892037631571867e-06,5.892037631571867e-06,1.367518437489501e-06,1.0439612776469431e-06,1.2882592110741165e-05,3.411061451585873e-05,2.4398678499348847e-05,1.9446149853163952e-05,1.165620338250406e-05,1.6504383762661057e-05,1.2510916875263511e-05,1.2487318057363694e-05,4.5500371914641846e-07,4.121230575249157e-06,1.625177533248756e-05,6.104666674722203e-06,7.214172206282399e-06,8.978009043980606e-07,9.631796109577095e-07,1.182340421412853e-05,1.5232983141766354e-05,6.330844859903095e-06,1.53819243786657e-07,4.56792847991494e-09,2.0036478932450308e-05,2.4818026925221837e-05,5.247147097231508e-05,5.668311642204049e-05,1.2568456356998325e-05,6.1086940889021335e-06,2.735052513436198e-05,5.755661656059452e-06,7.981934002643243e-10,3.5957697228639063e-06,3.219906563600716e-10,1.225198937437888e-05,1.7636799876097342e-06,1.4632761006772022e-05,4.2281258830545454e-05,3.088397561656908e-05,6.604041273283734e-06
TBDmultiplier,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.00011835769229207038,0.0002590514685180123,0.0002590514685180123,0.0002590514685180123,0.0003285880315809786,0.00027356391253074985,0.0002939790695591915,0.0004363647862283271,0.00038138075170590646,0.0003774197270209889,0.00044452903349723183,0.00045360227847912604,0.00048797876244655036,0.0004883672182592891,0.0005025487790982774,0.0004964096624924252,0.0004833991065434917,0.0003451784299358662,0.00034395369114004204,0.00034782785392251103,0.0002882788352138732,0.00014636806158774274,0.00013451639438322172,7.444680032953066e-05,6.490389998103918e-05,0.00013622670222901423,0.00017650980053074417,0.00022295425484086806,0.00028752912128759966,0.0005395725946186758,0.0005528220332309264,0.000578174904774631,0.00044467123123814734,0.0005811988341990482,0.0006729586239230256,0.0007238733396397468,0.0006613662038396084,0.0008125490219643705,0.0010017102380428522,0.0012855511620571969,0.0011851184314924934,0.0009586927818999724,0.0004342471592330144
M_Imultiplier,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0008733479008942169,0.0009289928570396233,0.0009289928570396233,0.0009289928570396233,0.000806166107059636,0.0006020479783171995,0.0004865488643185367,0.00045541108419344667,0.0004548041897378674,0.00039608265760193717,0.00046159241081378255,0.0005109373841356568,0.0005496521597060378,0.0005497965095904167,0.0005385507651769483,0.0006586374146134721,0.0007411241093364662,0.0007069422261097857,0.0006796455565621917,0.0006412481864872532,0.0007239033274947237,0.0007789569087806036,0.0007334790710080696,0.0007954791821394025,0.0006865032602596521,0.0006327887793223796,0.0005573381855675796,0.00046253938966422936,0.0003448445751494944,0.00038835828912586745,0.00041724034760892703,0.00043173438198862435,0.0004951629782138367,0.0003848453252094375,0.00041606027691809544,0.0003720998999564573,0.00033200481488537825,0.00026509590385404014,0.000229985206784189,0.0004430596341838955,0.0007257009422180216,0.0008833793557158076,0.0011310588302729796
ShoshoneDMND,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002208242814042416,0.0002616783342895834,0.0002616783342895834,0.0002616783342895834,0.00028567815349378467,0.00030403824375857536,0.00025127610899122743,0.0001728826979249254,0.00017657480195398811,0.00013548258581042028,0.0001047920423710158,0.00013459657911918388,0.00011599322650013288,0.00011625345694987743,0.00010927536451266207,0.00016796896049253718,9.121406533207921e-05,0.00011707333952581944,0.00012158255951455477,0.00010737025952223256,8.932800703587152e-05,0.00014962156971598528,0.0001443532274129078,0.000281585261460382,0.00029252816153879646,0.0002810073106633837,0.00042878760536324556,0.0003600006211313955,0.0003250811144701604,0.0001608157447925418,9.588729521237127e-05,0.00010885505952240582,0.00011505522160837334,9.5322298695244e-05,7.245939030819937e-05,7.902924684610735e-05,2.3996834188189098e-05,1.97998306651348e-05,3.325453498403963e-05,1.0181229386674318e-05,3.114080545651987e-07,3.254657909845804e-08,3.8675313831504354e-06
ENVflows,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.0052999053252638095,0.005375669844730924,0.005375669844730924,0.005375669844730924,0.005219250188343683,0.005524944742521298,0.005416298735798519,0.005215339450309275,0.005054999186252962,0.0048518181810947025,0.004886461033594469,0.0048230801311507365,0.004815585598019423,0.004815153230105174,0.0048889805470442305,0.00462953820148948,0.004367448834220911,0.004340459374461592,0.004066493387788306,0.004216835849889078,0.004076135647139045,0.004531321743125094,0.004512081284299141,0.005190687871183375,0.004742621120152002,0.004684367352482788,0.004965373235825132,0.004795900795055097,0.0046297396758592235,0.004986308613215362,0.0048361652790218645,0.004871798009577377,0.005411809835262238,0.005196651838530353,0.005860640555782837,0.005600711790313073,0.005776234737346342,0.004305026294320835,0.004729929650471143,0.005293426406846602,0.006748254303481915,0.006964280438624071,0.00738956914445299
EVAdelta,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.000837057255975826,0.0008756670082882279,0.0008756670082882279,0.0008756670082882279,0.0008500783022221681,0.0008635056275663189,0.001108893904601893,0.0010638155831997897,0.0011589504572109277,0.0011327029464200944,0.0011245481750681297,0.001093922461981145,0.0010942394132865685,0.001094479553133798,0.0012258758026516547,0.0013608173923850275,0.0014140422094042204,0.0011847159609065239,0.0011233922072435565,0.0010849284048989327,0.0010022882777706021,0.0010539377903320268,0.0010453563641781294,0.0009584873605837929,0.0009907998453345668,0.0009370655424242313,0.0010074507949633382,0.001052090043582643,0.0010548642885894743,0.0010727248562839575,0.0009439058153447588,0.0008206399850342327,0.0007647153689940289,0.001166546131447399,0.0016249439848575742,0.0015514063310509973,0.0016996661646734301,0.0017469369944608237,0.0022581557673472252,0.002628864438841916,0.0021947144424789844,0.0015581324524109874,0.0012578624673865724
XBM_mu0,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.1566961828268395,0.15528245205775437,0.15528245205775437,0.15528245205775437,0.1558903080551607,0.1554327688921957,0.1557856837232705,0.1552813418794734,0.15523767356562523,0.15578905451652647,0.15603373765335204,0.15429042358799627,0.15498228310761952,0.1549814809824578,0.15512086465142505,0.15594608698876478,0.1588323136703116,0.16803602739347423,0.16921065796924128,0.16943632232037376,0.1712084843850632,0.17532004051151073,0.17617118461604198,0.17904442377454344,0.18190010613699636,0.179113419815644,0.17938275532082126,0.17908003591072652,0.1788208820094478,0.17930712762600498,0.1863488638200793,0.18782972520943197,0.18720705331526244,0.18736319664952017,0.18844778919294403,0.19110811885476853,0.19000847769406748,0.19261034678679478,0.19731432020123052,0.20180973023796,0.20885342506474136,0.2128018447096358,0.20261832460947815
XBM_sigma0,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.003072568672777609,0.0026471657621922606,0.0026471657621922606,0.0026471657621922606,0.002267903885747047,0.002393186284165627,0.0021142218497463006,0.0018969893226566947,0.0020103837441195482,0.0019408134636316188,0.0020107298787335193,0.002031452382834087,0.0018374975108630398,0.0018371969748162131,0.001747110890003678,0.00149315383897497,0.001477958759851683,0.0013236013850360662,0.00125443998395669,0.001244796568754869,0.0013016293366581166,0.0010316531465608403,0.0010215572287793906,0.0009620280575068918,0.0007717958234703115,0.0005868436561399237,0.0004876739309606082,0.0004679751309075719,0.0004896763878705634,0.00015601706708190388,0.00010773274991571213,2.0485318560026222e-05,2.6850495671304486e-06,3.379313250384541e-05,0.00014042247830503563,0.0001809032920797593,0.00021056656213647162,0.00028219829840436805,0.0007146081032977092,0.0012979331414060269,0.0027178172716895155,0.0030561149430435863,0.0033207567480568745
XBM_mu1,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.06696174038463187,0.0638018549577073,0.0638018549577073,0.0638018549577073,0.05976315704546786,0.0547243120419908,0.05191476137161122,0.04863122366220929,0.04712633090057028,0.047014197027521076,0.04705765671389839,0.04592493058252478,0.0453871229798839,0.0453790873170431,0.045313157826113115,0.04405516517366359,0.044904041825687746,0.03834090566127801,0.037870206897497205,0.03742422123261613,0.03754483101055872,0.03481528310763726,0.034492484529925704,0.03298731184815973,0.03020148383622545,0.02194041034367944,0.019991527124049613,0.0185794263772302,0.017763506899656667,0.014835451036884661,0.014200531189122123,0.011967719919849129,0.011372071849924614,0.00958524302916508,0.008565259832658989,0.008239621128218855,0.007625893710067055,0.00657529087834563,0.0052257573832460436,0.003270437768233103,0.0009929824032338663,0.0008711009367848854,0.0007690416700876224
