,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.469845639699478,0.39296095268784703,0.3678533671217678,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.370975314939044,0.45919853477869427,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373,0.5431757693810373
RESloss,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.002467668755164424,0.0027767716260672067,0.0017503274633723306,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016441523461365932,0.0016499935888002852,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445,0.002261088762068445
TBDmultiplier,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0021553065874888202,0.0010244127126028222,0.001654027495659869,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0016155666293528404,0.0010487229844214447,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255,0.0015929321058219255
M_Imultiplier,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0028308697828593418,0.0025513362074548766,0.0023306190015661343,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0024948127676244084,0.0038728928855799555,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187,0.0027708715120212187
ShoshoneDMND,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.01769308141371379,0.017771306084186887,0.015484821384891663,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.015547466329687768,0.011886750318611007,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183,0.008025388252689183
ENVflows,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.010840332821898908,0.011752364511459194,0.00827995111566271,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.008076606430356612,0.009132388897238965,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673,0.008075153553045673
EVAdelta,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.005016591682178723,0.007300362040868359,0.010265767760817045,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.010093553744782238,0.004968814992088,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422,0.0034391235676537422
XBM_mu0,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.08672714402415026,0.07337639358341148,0.06957864038366568,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.07010585098539367,0.09404718411833758,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087,0.06661058507440087
XBM_sigma0,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.008734818611657306,0.011640920083578924,0.013413970321394094,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.013340568431745203,0.006704158736383499,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693,0.009053233258404693
XBM_mu1,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.10530387586793721,0.12479985143023761,0.10077983823072562,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.09985196243641203,0.0321703974340776,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493,0.023958644114787493
