,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
IWRmultiplier,0.45609144457633066,0.45609144457633066,0.45609144457633066,0.45609144457633066,0.45609144457633066,0.4556908212035985,0.4542861055589257,0.45318599669624926,0.4550239127962372,0.45440596486290885,0.454427992766402,0.4536626530061397,0.46001473502371115,0.46198233509138265,0.46198233509138265,0.46436395460119995,0.463315342444789,0.465388898415494,0.46534818577123305,0.4651665515706157,0.46471672940298303,0.4646199086300564,0.4646199086300564,0.46376121296333817,0.4629478295396221,0.46154764346246824,0.4616347942415079,0.45818790632714046,0.4578299500299391,0.4577024101159217,0.45676247124029545,0.455495163301498,0.4533550638162155,0.44935081439620295,0.4462019930429111,0.442421352330431,0.4409275557015997,0.43972475264481103,0.43812773886840817,0.4292882400244734,0.42319801688817416,0.4213985238511576,0.42035039667206087,0.4133264120804798,0.4108546208213294,0.41057723222270026,0.40593881310946756,0.4019587905888191,0.3976444274187636,0.3951391430751112,0.3951786513219838,0.3951393078491361,0.3942939265062617,0.39400247458629434,0.3937166827961124,0.3904582343094347,0.3901216997336022,0.3887911843135262,0.3874291546659334,0.3866078335123815,0.3861010583365654,0.3839060570017737,0.38415156808018314,0.38334007207291576,0.38387547357216356,0.3833966480994384,0.3832104484318396,0.3834577213343584,0.38622397238670225,0.3859296501303455,0.38530436657596834,0.3867209044900509,0.38765685031720143,0.3920863983614621,0.41419482000935726,0.4322863963527376,0.44225776511313375,0.4500590808813423,0.45569746479651907,0.48497214862387217,0.5058007085817636,0.5143285512848098,0.5136866708410517,0.5146428001585803,0.5182593818032506,0.5257363065182223,0.5411401815754817,0.5550847673385011,0.5833100766484315,0.6092733943643911,0.6150474149660432,0.6226989146141269,0.62094286450934,0.6221315640091774,0.628168724115937,0.624705274256949,0.6242941338249208,0.6221196073352313,0.6111777956429046,0.6600255398978774
RESloss,0.00044710412998261173,0.00044710412998261173,0.00044710412998261173,0.00044710412998261173,0.00044710412998261173,0.00037921182091804617,0.0003980906944365259,0.00036003514966320704,0.0003986448223760597,0.00043927701824841847,0.0002160658902451429,0.000209841943404232,0.0002544721298127772,0.000296686993308537,0.000296686993308537,0.00024867830706309935,0.00022697829676787684,0.000164019025827411,0.000196328496705922,0.00021123348466622893,0.00026362206965890866,0.00030163758167922605,0.00030163758167922605,0.00027067167356298327,0.0002679520903591248,0.00027020011781508924,0.00024605816399669855,0.00025246546033386164,0.0002542918304516695,0.00026856865418056763,0.000275488867459317,0.00028225905311829447,0.00023873166433907578,0.0002598539052610649,0.0002644747819068316,0.0002508246308107198,0.00020303365129081818,0.00020886176479717466,0.00024319084622959064,0.0003083429752760436,0.00027169672473836837,0.0002562382363950899,0.0002563289509889266,0.0003281542632489476,0.0002947568194395789,0.0002983743430132746,0.00028509790611896957,0.0002761833393017943,0.00035121641951896265,0.0003051052732878645,0.00030887959743319815,0.000224878946161855,0.0002453758052974875,0.0002449326218253445,0.0002280605561743032,0.00018057533594184605,0.0001598473944857126,0.00021866821492511068,0.00022506202491379135,0.0001659942134536463,0.00015506687649435857,0.00011408558253711565,0.00010313674811468498,7.46518631635773e-05,6.864584713328625e-05,9.767479786504385e-05,7.955881658372466e-05,0.00010061417739970491,9.749566672390131e-05,0.00010777152763219444,9.926199735099672e-05,9.438347630330579e-05,0.0001200529548789353,0.00011569613624229369,0.0001543997896694682,0.00011588756569924641,9.311287339630603e-05,2.1338841989737567e-05,3.966569656954633e-06,1.1137139859229706e-06,9.5233096161218e-06,1.427633694339736e-05,1.0705074120820335e-05,1.8547543391145282e-05,1.5736928628662383e-05,2.578859673030287e-06,1.193813506827901e-06,1.2129459007192978e-06,4.786136931222984e-09,4.223526367530539e-07,5.897086552408837e-06,3.0163712188668867e-05,4.000950244376078e-05,5.4768439234242905e-05,7.030167571420165e-07,3.82728109504793e-06,2.203457999350178e-05,5.204359548760529e-06,6.0306604275472964e-05,5.698296915124246e-05
TBDmultiplier,0.00014971354395465486,0.00014971354395465486,0.00014971354395465486,0.00014971354395465486,0.00014971354395465486,0.00024459107560104165,0.000248203270840075,0.00026011821481075614,0.0002942405998695996,0.000394236228863587,0.0005069908379775612,0.0006285882146940258,0.0007966931977033687,0.0008737000385377058,0.0008737000385377058,0.000867835085967883,0.0008715176092235488,0.0009096930480378962,0.000902795300718684,0.0009108735637438636,0.0008768224829671656,0.0008084163037448411,0.0008084163037448411,0.0007498246273216491,0.0007409774006433834,0.0007264930795506386,0.0007280248745248352,0.0007845975636364688,0.0007910968045398148,0.0007354381806304877,0.0007754522777506656,0.0007974041122725817,0.0007345546406980485,0.000731748282859157,0.0007542428270115309,0.0006977298816930322,0.0006793545235307397,0.0006472680842333212,0.000762232225856474,0.0007822661139271769,0.0008957185475856333,0.0008892350832750973,0.000927938433715414,0.0010382606692862506,0.0010878186239643428,0.0010719382741293249,0.0010354899723823419,0.0010345749927811454,0.0010263068836429134,0.0008898928277235596,0.0008892933229270872,0.0008609459454642643,0.0008158573963180649,0.0008060909710129183,0.0008067121329004001,0.0008149290121465258,0.0008101762253620581,0.0007649300018244265,0.0007002208885262817,0.0006837176984675342,0.0007278296260629924,0.0007199344846537947,0.0006818447391049309,0.0007635482115516679,0.0005385100608980009,0.0005890643598576162,0.0006472884350553487,0.0005694038993544481,0.0005270309921525662,0.0005522305199278099,0.0005829126034995191,0.0004111242133496562,0.00032745187987115454,0.00028508426997864156,0.0002613098616597309,0.00019651660868902354,0.00011012990828573876,0.00012714275971070776,0.00012663091862363807,0.00033627022541338203,0.00022835168294144115,0.0001881609269738238,0.00017329635863150283,0.000167272710438926,0.00013767422013100106,0.0002066019098012628,0.00037661197486027476,0.00039352937762071605,0.0007533860706027129,0.0006175224428960346,0.0005619620707844053,0.0008582935855379059,0.0007847448214962638,0.0007714585064438895,0.0008019548345451488,0.0009056519694093934,0.0007467180723733646,0.000797101207983375,0.0009291807932917395,0.0003624059943817537
M_Imultiplier,0.0007824611855230534,0.0007824611855230534,0.0007824611855230534,0.0007824611855230534,0.0007824611855230534,0.0007694515358799281,0.0007691222022296884,0.000734724599636194,0.0006084580660848937,0.0005482368701116291,0.00044069165468085814,0.0004374318028788071,0.000486246701262516,0.0006146683005873177,0.0006146683005873177,0.0006810136131608635,0.0007016500092315026,0.0006821084061164884,0.0006695973167769598,0.0006541965260662419,0.0007367743632019641,0.0007626199027747083,0.0007626199027747083,0.0008112771001144159,0.0008051285713480683,0.0007864530569540173,0.0008074557629214052,0.0008462276047205286,0.0008387679780901269,0.0008319857287261145,0.0009341037842532929,0.0009421697447735689,0.0010483031475237992,0.0010088457634862547,0.0009548802805049439,0.00107552453852644,0.0011071425836129967,0.001021526800794037,0.0009256212609999315,0.001021763860045044,0.0011567562681387145,0.001223956347729982,0.0013021302000368884,0.0015041085946575494,0.0014672850799241077,0.0014451888537075908,0.0014185498888756864,0.0014543199972985033,0.0015319878245519947,0.0013367276618224677,0.0013626649504231425,0.0013467115865184454,0.001320308951789917,0.0013209455127025649,0.001279485048998552,0.001362299765139241,0.0013967701958135237,0.0015161503927956232,0.0016623472714788479,0.0019034531035522217,0.002054124720295314,0.0021275930876006877,0.0019954623731290866,0.002031106355018464,0.0021096150426661575,0.002011850291197659,0.001968412104114692,0.0017831731164977827,0.0017472294624960583,0.0017893852539200283,0.0017276193188150435,0.0017947598334963066,0.0017532486290243732,0.0017857790514073102,0.0016287743217692219,0.0015979704202776501,0.001520036367887001,0.001449474515631488,0.001610219409309388,0.0014528854764732646,0.0012967392083128582,0.0010804304219901306,0.0011479357447414795,0.0010899134918390674,0.001125813472345305,0.0010459459204523736,0.0008340090588143667,0.0008114826708479628,0.0004644219135988559,0.0003287294827296616,0.00022413604790427755,0.00027300233092386605,0.0002715269939764786,0.00025208259587727877,0.0002889398271688215,0.0003558490694088867,0.0003825921492871531,0.00019678190831085018,0.0001700347471639274,0.00012587826679233416
ShoshoneDMND,0.0001405172594057813,0.0001405172594057813,0.0001405172594057813,0.0001405172594057813,0.0001405172594057813,0.00026444770170719334,0.00026968195659615724,0.00032160211224074864,0.0003026522204613302,0.0003067666520502055,0.0003329913542579055,0.0004329572703145601,0.00040338269607964605,0.0003701592139594423,0.0003701592139594423,0.00033915910108406333,0.00034788818902442564,0.00032106087713712483,0.0002986899065602344,0.00030991387241230406,0.00030363608465378,0.00026610356860501394,0.00026610356860501394,0.00022606857477536213,0.000228667716638431,0.00017689071286197677,0.0001794423221450625,0.00014005915834391924,0.00011684045035242896,0.00011531714157952955,9.617942022921433e-05,8.946635513085166e-05,8.64969652558667e-05,9.335305813695793e-05,7.441653138717808e-05,4.899372684030734e-05,4.7789058595482103e-05,3.877048228606572e-05,4.642724632220041e-05,7.524303135475474e-05,4.8895526000847234e-05,2.7298696086086593e-05,3.008030258522254e-05,4.522323328903788e-05,6.778359329184802e-05,8.389412627096693e-05,8.327843236455301e-05,0.00016785453644752035,0.0002470076442923075,0.00032435559203769504,0.00032577192079752404,0.00029701159996642357,0.00029070449240842233,0.0003045803026664462,0.0003007969357012863,0.0002991203555557931,0.00034528743185302524,0.0004331702253761449,0.00043893462129152017,0.00034902208243181576,0.00038181016905347587,0.0003333824977184152,0.0003849880964188479,0.00041285227693699245,0.0003601937410351308,0.0004390455352284439,0.0003794602060189778,0.0002815869469936505,0.0002963122637390514,0.00031111697092567336,0.00033460621486713915,0.00027293107979908804,0.00027145098871850237,0.0002533560778028576,0.00012442643415966348,4.3326044000480124e-05,5.9450440311303865e-05,6.417847307815805e-06,7.034715476805786e-07,1.0489713429762126e-05,1.2709726944226674e-06,7.057403016985653e-06,1.2705477946739485e-05,1.817673112136653e-06,5.076658368907694e-06,3.6554869786709077e-07,8.647657357974126e-07,5.12195727941922e-07,1.6751152542404668e-05,1.0948368195040636e-05,2.6180849539980677e-05,7.354320166985673e-05,8.511166722602326e-05,7.295175423005507e-05,6.812601095884663e-05,7.944598022302518e-05,8.996535468197564e-05,4.4956523182149155e-05,4.585806461609998e-05,5.934810774488319e-06
ENVflows,0.0033898483438832283,0.0033898483438832283,0.0033898483438832283,0.0033898483438832283,0.0033898483438832283,0.0034047180163977453,0.0034538269438251223,0.0034812696902297713,0.0035611814099362205,0.0034250518638743177,0.003176043139575757,0.003642707003833734,0.0035676672364297612,0.0035182394205410805,0.0035182394205410805,0.0036252990964577014,0.0037295919191693283,0.003768432534032473,0.0038191711821302654,0.003773190737057841,0.0037705707552553314,0.0038750346817258974,0.0038750346817258974,0.0038352079850774157,0.00384775260896264,0.003722300398883882,0.003768211110869002,0.0035998215446022552,0.003590734497588177,0.003666963882468788,0.0037967614003634464,0.003906599521274368,0.003961481648213416,0.0038175884112674474,0.0038498648334746033,0.003852833874413042,0.0038837790284328433,0.00384698780094872,0.0038235021545249825,0.003908714621701392,0.003786658734521331,0.003896836062624587,0.0038129018111950908,0.004010932914725207,0.0041594224466102725,0.004115158259509921,0.004073456805248621,0.004087163028439922,0.004242990234359256,0.004165636088532376,0.004219090350406018,0.0043275372865160255,0.004397461517712475,0.004405856556516929,0.004427127024738353,0.004296038219873566,0.004283066939560043,0.00448545126200095,0.004496874267634343,0.004768908513150594,0.004553366662685576,0.004532223289422044,0.004693898231130089,0.004817304242305642,0.004644843138390642,0.004707511751519733,0.0046572385578430575,0.004657488738606164,0.004664220019349186,0.004654727655725721,0.004563686510079434,0.0045327688547380784,0.004713139274690414,0.005218029218271414,0.005553473767173189,0.005735962039058795,0.005471881693748792,0.005280924669261777,0.005032816628753212,0.005965903150429441,0.005678022501705238,0.005232614285213932,0.005256471618762859,0.005195295277798606,0.004974661743194164,0.005531921722418565,0.00484075202010148,0.005421147964184914,0.004396122697474691,0.004315829580306851,0.004410969372332985,0.004374525848167665,0.00437921569583144,0.004049597582976738,0.005115549412164078,0.005636324268575077,0.005767630708594207,0.004440869580145446,0.004446150202710442,0.0048082881917115294
EVAdelta,0.0004941972012797446,0.0004941972012797446,0.0004941972012797446,0.0004941972012797446,0.0004941972012797446,0.0003720246882740197,0.00025435780070948155,0.00015985455696243545,0.00013085865596640378,0.0001063576801642041,0.00013953187853987803,8.54266501213452e-05,9.703322335630205e-06,1.3530674025652445e-08,1.3530674025652445e-08,3.006527928728353e-06,3.423811982927738e-06,1.2605569569612562e-05,1.2189154419139925e-05,1.1170113313641039e-05,2.745770549406057e-05,2.460213372845743e-05,2.460213372845743e-05,7.643467050233443e-05,7.632181523264947e-05,7.631251699491415e-05,8.134829007544475e-05,8.080708050373087e-05,7.537714875838208e-05,7.429211574261352e-05,0.00012248240475054573,0.00014646215797520235,0.00015766174411091516,0.0001393200419835816,0.00011411733495436671,0.00013264596487572167,0.00011590275489203883,9.54665707807445e-05,7.30357758682576e-05,4.697602628900288e-05,4.187143478806554e-05,5.674983837022918e-05,2.9287080960616052e-05,4.493550753148501e-05,4.350211819170724e-05,4.024182048201208e-05,6.0909370645734207e-05,3.224182241423623e-05,1.5924009372003667e-05,1.0912050766309633e-06,1.602917460208353e-06,1.2101198556546677e-06,1.3366312472395947e-06,2.3008735747787057e-06,7.111699847905939e-07,5.552790449669942e-09,2.1406348138519604e-07,6.7711812812287775e-06,1.766662770297245e-05,1.5616436774390507e-05,1.346260297374613e-05,2.3686308676995615e-05,2.6286192263969e-05,1.809216384329737e-05,3.183196134004529e-05,2.205151181111642e-05,1.6424279489335447e-05,1.8844305053056232e-05,1.7742764493289265e-05,1.7550802415278177e-05,2.54865771960322e-05,1.0561826660260287e-05,1.3580554279135626e-05,3.6329674932389366e-05,0.00018913466086722952,0.0001974319313480244,0.00020372503690213595,0.00012375684861931635,0.0001933229251120938,0.00013821333976460348,0.0001254490792154117,0.00013878288624957769,0.00015614469025237998,0.00020426502991988116,0.00019510548273760087,0.0001754391252105636,0.00015372178633943356,8.725324648428678e-05,2.7330979103901143e-05,3.434207963115554e-06,3.294024697453324e-08,4.568651389424971e-06,1.29380062097173e-06,1.2780909425691434e-05,1.890872332366289e-05,4.164153237784518e-06,1.63256007345014e-05,2.2076052671238244e-05,7.897968495407248e-05,6.379198378314577e-06
XBM_mu0,0.04392829939449994,0.04392829939449994,0.04392829939449994,0.04392829939449994,0.04392829939449994,0.04268102357640002,0.04422147452215719,0.04323276358961847,0.04395420011884732,0.04353015509044589,0.042467101053724754,0.04036432475616225,0.03840785413392789,0.03873773454891316,0.03873773454891316,0.038330537382536445,0.03862713764463044,0.03742097242065179,0.03697262401719925,0.037117612640485076,0.03700408227413321,0.03677402206790381,0.03677402206790381,0.036172875311579644,0.0360128265413191,0.03571886729640106,0.035517809330162575,0.03581598834704358,0.035664421263946866,0.03554890430719437,0.03540772001825576,0.03597177596100265,0.03488421627127469,0.035661210538771915,0.036085279788580005,0.03624385950067277,0.03634590548996064,0.03675694710884214,0.037758306155659005,0.038624725015176664,0.039774526768711405,0.040237472563994015,0.040969812354821666,0.04227773008194935,0.042177312405134226,0.04245300926211515,0.04441576519762147,0.04614772701298575,0.04706275248929204,0.047658337085202285,0.0475389393090212,0.04764936753480398,0.04783771844943874,0.04789889801141278,0.04806242912399872,0.04961274745129973,0.04986738094089982,0.05058659764406659,0.05148838654629573,0.0512593092117013,0.051416501607673415,0.052578737349057714,0.05410906110616165,0.055146964913977636,0.057441730063336194,0.05855753868432245,0.06007270958908628,0.05985054015429314,0.059904086142205104,0.059545488486776654,0.062058719686861274,0.06417015423106809,0.06463617305657099,0.06604407467471374,0.07650126289854242,0.07902180111050239,0.08166234456522381,0.08516412450322963,0.08690472241200242,0.09448783822728513,0.10096275949387856,0.1054225730217968,0.10519906759944664,0.10655001861746327,0.10843135747921107,0.11186579364486737,0.11349664023832295,0.11628562867250658,0.12211706394598232,0.12220566657353349,0.12378190774214959,0.1241008541832268,0.12445115079862423,0.12469529283019676,0.12956972321118976,0.13297425065026602,0.13481049811447698,0.14573093258678715,0.1606084254517096,0.1642664180987684
XBM_sigma0,0.0026756526753876075,0.0026756526753876075,0.0026756526753876075,0.0026756526753876075,0.0026756526753876075,0.0027615472126421015,0.002589535087775041,0.002512242977511847,0.002690042679298621,0.0027215595055898323,0.0032534559051240475,0.0032469470599856276,0.0034573910823783027,0.0034389512697561297,0.0034389512697561297,0.003291987742616853,0.003380661345744218,0.0032861571131407308,0.0032142908369788836,0.0031416466277855992,0.0029351245861910513,0.0029096266612054222,0.0029096266612054222,0.0029654654768433986,0.0029451984813935184,0.0029563288869229876,0.0030276758215438404,0.002970566569068689,0.0030833532150478238,0.0029262918952460693,0.002762819947059625,0.0026216854065529427,0.0028379668486102627,0.0029686017037581225,0.0030386738280427927,0.0033184942839349363,0.003441565419541992,0.0035524158037705256,0.0036039359046714514,0.0036382703967938745,0.0036524546468709174,0.0037270180301194333,0.003788945954045886,0.003873025600467317,0.003911110256263561,0.0038308492942916716,0.003904090998697707,0.003926220927808255,0.004117176401549627,0.0041356938013638045,0.0041535224193609555,0.0038760558542161316,0.0039050909463190786,0.0038673003259438454,0.0038846215145507124,0.0037215731072850478,0.0035745664825399537,0.0037903535115368925,0.004007333934823221,0.003920321761362144,0.003933835861824275,0.0038521357588866545,0.0037950683001730656,0.0034960506838749295,0.0036357970615861213,0.003506891370389509,0.003533467506164678,0.0035339254624516814,0.0034142404754798905,0.003486581988543569,0.0034417544095680652,0.0033721349570865478,0.0037202424794773314,0.003557060089541597,0.0030027054185487456,0.0031615149099695206,0.0029156100264872142,0.0032244644867822636,0.0031351185513932567,0.0031052387465799747,0.002625197648488231,0.0026415240541399765,0.0024510488639913897,0.002428489275121515,0.002449187310187395,0.0023100102139302914,0.0025617082860918128,0.002306379578160378,0.0019392485940981086,0.001471769879211604,0.0010590770023614082,0.0009479917996548792,0.0009234096919150669,0.0008248496178768772,0.00046171214851076225,0.0004241879593558373,0.00038528567131046465,4.7530592698019625e-05,0.00026295947766030725,0.001029245175277027
XBM_mu1,0.13675192021076377,0.13675192021076377,0.13675192021076377,0.13675192021076377,0.13675192021076377,0.13506642982126738,0.12740151649778342,0.12447669758987545,0.1200800899667066,0.11836518349783243,0.11312052714337317,0.10255813097403055,0.0898356640754332,0.08329817735723855,0.08329817735723855,0.08044499375548264,0.07926769710474513,0.07621313581030154,0.0755918649411097,0.07575160866810737,0.07413097458713491,0.07380817098198,0.07380817098198,0.07037956921547972,0.07027750580335856,0.06828051983330041,0.0679173199587445,0.06652932998561689,0.06570099190046541,0.06521906318136461,0.06450729161109281,0.06490972435407871,0.0651414850331028,0.06570214347119008,0.0662763130747499,0.06783119903872503,0.06846576974403273,0.06820930631085076,0.06946031998582947,0.07332663561185149,0.07373721925986221,0.07350906145538993,0.07416041155506192,0.07576659209581826,0.07622969609018071,0.07599233889710721,0.07611039749728177,0.07603998053583982,0.07531680391440032,0.0766922089885601,0.07655884398076507,0.07541285837603184,0.07544339561045366,0.07530911121577977,0.0748586637721852,0.0755032686015702,0.07595566411263166,0.0752231333051524,0.07415190912886438,0.07330631338550442,0.0731631259871971,0.07095629252282931,0.07064453300773421,0.06900072126752033,0.06652707854494622,0.06624503482696631,0.06622438834718924,0.06536606966594538,0.06475626672464962,0.06432656049032226,0.0631358550198503,0.06282966349516916,0.06178006762496846,0.05850637245132417,0.051623535267475984,0.04761755916730859,0.04596275363270086,0.043737922431429044,0.04095928329144771,0.03593163446690106,0.03216882166944335,0.03002617999889956,0.029797345662585517,0.02920420155334358,0.028253523358056087,0.02761832622107252,0.0262383956730039,0.023489353406933144,0.019966252221512826,0.016524593181791447,0.015530412101785074,0.014720782162847335,0.014635068241090954,0.014825431359142272,0.01579635831085835,0.01584771296871068,0.015292202161878654,0.0162669720889268,0.0182384506161255,0.012924065600125045
