,IWRmultiplier,RESloss,TBDmultiplier,M_Imultiplier,ShoshoneDMND,ENVflows,EVAdelta,XBM_mu0,XBM_sigma0,XBM_mu1,XBM_sigma1,XBM_p00,XBM_p11,shift,Controlvariable
3600507,0.00044273563528229865,0.001338699039091451,4.944816202800961e-05,0.002335398966246016,0.00037085440620587834,0.0016590884652811775,0.00029588257850954314,0.1391033199719155,5.197587555227923e-05,0.02458320306458728,0.001360924605827818,0.030108082774282563,0.00026900139704710835,0.6712583298306216,0.00015154300947806118
3600603,0.13751201645040578,0.0016963740775786107,4.5048054191365586e-06,0.003510209721281909,0.008216097750187501,0.0036875747761093694,9.88246277738858e-05,0.4690780271459123,0.039520449796793485,0.008611084670033686,0.0033036534628315684,0.03986784193065573,0.016348194212707057,0.09401295277743672,0.001623927169327799
3600642,0.14485741649196293,0.0005544176504512778,0.0069076278942150635,0.005122026380715683,0.01611570824130515,0.003630648616477661,0.010939229648773585,0.18293651152764207,0.003028905068584331,0.02500947423353217,4.967725969751147e-05,0.021566382136221973,0.0172804162977388,0.17387361004752822,0.00012133891702037493
3600645,0.09417258674914376,0.003306179222401062,6.211485253704296e-06,0.0007660090015939591,0.0017387810651023905,0.002931327343108414,0.0013855145425692994,0.20354450053453052,0.003347594301089329,0.15458788103521914,0.00015923946319595927,0.12435859688428284,0.014323356438874838,0.09212514705503604,0.0010313813505908878
3600658,0.13829271321467276,0.0009127801664963188,0.00018386576636097995,0.001941793290120897,0.07888295812876167,0.00030174719460895894,0.000768750873790025,0.42097685887447134,0.03009850694895655,0.0016610051533456627,0.004839314967514552,0.04726361169587634,0.004894188156132628,0.022117887158117355,0.0014283165473187864
3600660,0.6400321815146126,4.182595587320925e-06,0.002101375306241437,2.2089326698448982e-05,0.02324736856889686,0.0037595011874844713,0.004936198209507414,0.11877924891583867,0.007671310542697206,4.0626063451898446e-05,0.002625155348462416,0.01774439708536757,0.0008244463651211342,0.0028250513688331536,0.0034641427342243514
3600671,0.15389048310325626,0.0011754556704109964,0.0005088289755854625,0.001667946884806315,0.039478574631774184,0.00013484051180912004,0.0008868682816363106,0.4797625814581792,0.0254743107530202,0.005057868778720942,0.004415064870905261,0.058601908950175134,0.007736815957832709,0.014584607601260903,0.00011384608975306687
3600687,0.006033928699671343,0.000921515226165015,0.00018215171189139845,0.0027855903274099925,8.161143256324443e-05,0.0012561094960723553,9.864644956181225e-05,0.13382725768228956,0.00035784651903481013,0.0931947048226549,0.003503010247237315,0.057191133618540994,0.005603212528382029,0.5008402811576509,0.000378322982745094
3600709,0.13425427725034433,0.001276420639055198,0.0007920744736888974,0.0021021136359741233,0.0932803595501508,0.0008990207950708707,0.00010827699880977536,0.4574958839240434,0.03644666971635857,0.003971714801890625,0.004724688318862413,0.0481732303739103,0.004380173949529387,0.01835078903113252,0.002646756345445533
3600725,0.13383332309064774,0.0003430126599337502,2.518538720863717e-05,0.0016906483687582075,0.015178911589176947,3.9062435204906265e-05,0.0011691141009213535,0.4398232487415423,0.03317794465382928,0.004943287099459681,0.005231574598805966,0.05094004070832914,0.010981172490814872,0.002275328671918375,3.8502870043588544e-05
3600728,0.13778267922561171,0.0008867629718681824,3.0392949518232015e-06,0.0024255316355147327,0.013003304098341606,0.0002748586210735704,0.002873190174906504,0.4347860504679504,0.034060504383057966,0.0029671849486099244,0.003577310925775068,0.052751497035480883,0.007250852277926989,0.017084763319659246,0.0003123824036735945
3600729,0.11955862752592684,0.0012375919910196929,0.0001426556317405403,0.003172997822685097,0.016955425788508168,0.004340557109892784,2.5940091388010345e-05,0.5304933834071628,0.04213603679036537,0.005263816575477143,0.0011898773138464547,0.037659940401505776,0.008177179215588914,0.10154684439873117,0.0014593275732326385
3600734,0.14839412008829644,0.002405350409722118,1.2057714445790069e-06,0.002235611404247884,0.017155260185002574,0.0018493905290332124,0.006822998020617033,0.4097178387141067,0.017289756551775337,0.003877267369775561,0.004511712152806768,0.053874250623258124,0.008389527416317377,0.011539865739614186,0.0013303367623003215
3600765,0.0932449863421274,0.003185513446010257,0.0006727893633412528,0.0012397164231201518,0.0017884790590750874,0.0007599876913781943,0.003277352973393821,0.23327029118803155,0.008407535191890636,0.029650641599399893,0.0004371737279781352,0.036048262681478205,0.009037579389406636,0.10104740767815146,5.440175553650395e-05
3600775,0.19963181210064185,5.101759857895072e-05,0.008960483606580638,0.006584092831654731,0.017431633729866336,0.02799303571622236,0.004851335489796216,0.31042263813184623,0.0007931837215688907,0.06968496835460136,0.0022980003749413225,0.08310184564410661,0.016166285214210152,0.021857471365232303,0.0006121243348400363
