,IWRmultiplier,TBDmultiplier,ShoshoneDMND,ENVflows,XBM_mu0,XBM_mu1,shift
3600507,0.14793039,0.000640672,0.011655213,0.005650512,0.119306447,0.02676153,0.542690651
3600603,0,0,0,0,0,0,0
3600642,0.159614295,0.01720269,0.016114589,0.012213191,0.178462365,0.060456764,0.296409884
3600645,0.305596614,0.00102793,0.009568579,0.008329245,0.32322985,0.029669854,0.117269007
3600658,0.190770947,0.002592534,0.026164341,0.007341237,0.462999736,0.011441585,0.024149536
3600660,0,0,0,0,0,0,0
3600671,0.164318642,0.002161058,0.035734957,0.007038189,0.49798178,0.01842204,0.021285398
3600687,0.002171026,0.00010382,0.016049046,0.004501637,0.11599581,0.059929931,0.727167817
3600709,0.153548641,0.00234955,0.052838212,0.008861652,0.463983249,0.013146245,0.01308975
3600725,0.132130766,0.002511768,0.014909844,0.00725841,0.44828556,0.009685346,0.041185523
3600728,0,0,0,0,0,0,0
3600729,0,0,0,0,0,0,0
3600734,0.155357536,0.00163067,0.011998391,0.005980311,0.490375023,0.013593079,0.05338744
3600765,0.117768809,0.002511718,0.00760768,0.006910386,0.35214317,0.028660959,0.145438161
3600775,0,0,0,0,0,0,0
3600780,0,0,0,0,0,0,0
3600796,0.178720957,0.001474952,0.01266027,0.006818902,0.464043172,0.010512832,0.071447053
3600801,0.096987315,0.000143461,0.013549005,0.006195816,0.281281889,0.088374374,0.346481323
3603543,0,0,0,0,0,0,0
3604512,0,0,0,0,0,0,0
3604684,0.006022542,0.850248387,0.003602971,0.004481012,0.009766109,0.026021266,0.028794834
3700519,0.025660201,0.002924279,0.005219958,0.005201281,0.587240222,0.062998053,0.01242991
3700539,0,0,0,0,0,0,0
3700545,0.133887906,0.003420245,0.053413443,0.007864556,0.434508387,0.012049794,0.010985148
3700548,0.06175205,0.004284016,0.303059655,0.011783178,0.202790998,0.014053654,0.008001605
3700560,0.011129256,0.001360986,0.003707626,0.003078995,0.463727548,0.150963891,0.051883691
3700561,0,0,0,0,0,0,0
3700571,0,0,0,0,0,0,0
3700642,0.069264546,0.004060387,0.299770412,0.009660853,0.171386243,0.01326532,0.007898096
3700655,0,0,0,0,0,0,0
3700658,0.150634726,0.003453694,0.028236123,0.012720389,0.431922262,0.011429766,0.006751666
3700686,0,0,0,0,0,0,0
3700694,0.546749925,0.002549473,0.012138148,0.006511343,0.257223533,0.007824006,0.010645275
3700723,0,0,0,0,0,0,0
3700743,0.045929604,0.004950449,0.166147912,0.010383213,0.190071193,0.012075328,0.008958262
3700823,0.179840361,0.000409642,0.015352031,0.008850458,0.259805952,0.019773875,0.443114757
3700830,0,0,0,0,0,0,0
3700843,0,0,0,0,0,0,0
3700848,0,0,0,0,0,0,0
3700857,0.232184384,0.002309371,0.022658043,0.006277346,0.443219758,0.01496392,0.02639626
3704516,0,0,0,0,0,0,0
3704614,0,0,0,0,0,0,0
3800516,0.12538095,0.000665787,0.013746375,0.006983275,0.407195471,0.045649431,0.26326033
3800528,0.223286067,0.002263823,0.006109795,0.007709365,0.430871642,0.008761868,0.007182805
3800545,0.609388764,0.002019114,0.004260583,0.007017415,0.175026126,0.015371469,0.006312202
3800547,0.149881968,0.001901381,0.006191266,0.014164059,0.496938135,0.015039016,0.018321927
3800569,0.698974744,0.00155947,0.007474771,0.008243731,0.090875163,0.012661797,0.048435955
3800572,0.324017332,0.001320698,0.006630327,0.007218244,0.408416193,0.029155614,0.023650058
3800573,0.507027722,0.001244255,0.00848412,0.008564302,0.15900707,0.019827993,0.144837423
3800574,0.124268227,0.002035023,0.005292199,0.007230586,0.556316085,0.01489318,0.011895067
3800606,0.070118177,0.000882096,0.009672783,0.004811603,0.525547312,0.041979101,0.123539169
3800618,0.220420005,0.001697342,0.051347106,0.054516541,0.418375365,0.016381764,0.0092736
3800639,0.326775296,0.001591278,0.005517791,0.006073574,0.411319813,0.019486977,0.010734193
3800651,0.215091514,0.003181716,0.004060128,0.004549412,0.467829439,0.007592337,0.007781931
3800659,0.432811845,0.001410379,0.004406193,0.013950024,0.336317057,0.005649309,0.012408974
3800660,0.108359112,0.000973622,0.006507968,0.016081202,0.477009202,0.021109228,0.076121292
3800663,0.126346714,0.001704909,0.005733837,0.004621429,0.573130613,0.02673119,0.004781688
3800667,0.679992778,0.003036562,0.009670443,0.011722256,0.051170541,0.011218702,0.166076964
3800688,0,0,0,0,0,0,0
3800712,0.22990314,0.001454623,0.009194567,0.034399448,0.446238785,0.014159664,0.011221567
3800715,0.210947056,0.001614604,0.006820886,0.024008876,0.462133221,0.013118855,0.01319389
3800720,0,0,0,0,0,0,0
3800740,0.180542853,0.001672771,0.005468299,0.033746118,0.480847621,0.012289479,0.011733147
3800749,0,0,0,0,0,0,0
3800755,0.152752357,0.001592781,0.005100571,0.004777371,0.491960847,0.008960619,0.01828224
3800757,0.204725684,0.001105536,0.006878378,0.033553979,0.432333843,0.012018568,0.025994669
3800798,0,0,0,0,0,0,0
3800800,0.197216682,0.002088994,0.00436122,0.016319747,0.451993909,0.010043593,0.007859268
3800822,0.217652718,0.000700618,0.015481929,0.007832994,0.210559364,0.046680826,0.404759602
3800838,0.172612194,0.001608802,0.003720523,0.006854617,0.475720129,0.009690778,0.012639494
3800840,0.092971064,0.002091998,0.004774795,0.004020509,0.555054028,0.016316892,0.008431339
3800861,0.350365094,0.001387567,0.008146288,0.00694032,0.357918742,0.020225382,0.041963646
3800879,0.236644577,0.001702485,0.008003535,0.006480596,0.447265947,0.023004278,0.061487978
3800881,0.106765974,0.000891926,0.014384702,0.005714172,0.212933402,0.064059895,0.477353575
3800890,0.128115242,0.003961516,0.003742987,0.00314184,0.466796311,0.010819602,0.007818206
3800893,0.42364848,0.00048922,0.007375467,0.007268192,0.258536244,0.011486489,0.063023311
3800902,0.57758645,0.001064321,0.008801539,0.00842511,0.118281617,0.014977464,0.120224134
3800920,0.181069134,0.001848226,0.006908039,0.016788003,0.48731765,0.012205331,0.009724836
3800924,0.078484305,0.000673829,0.010817277,0.005121361,0.487066242,0.042375745,0.184369661
3800925,0,0,0,0,0,0,0
3800930,0.185166375,0.000799455,0.007290422,0.032755614,0.485424344,0.020575943,0.021794113
3800939,0,0,0,0,0,0,0
3800959,0.133680683,0.001292823,0.005339851,0.006489368,0.495390588,0.015357259,0.038840582
3800966,0.186208994,0.001886519,0.0047066,0.011239776,0.495546032,0.009874932,0.006341137
3800968,0.191561219,0.002244218,0.003696133,0.031060059,0.461461194,0.011421152,0.007469935
