Year,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78,Site79,Site80,Site81,Site82,Site83,Site84,Site85,Site86,Site87,Site88,Site89,Site90,Site91,Site92,Site93,Site94,Site95,Site96,Site97,Site98,Site99,Site100,Site101,Site102,Site103,Site104,Site105,Site106,Site107,Site108,Site109,Site110,Site111,Site112,Site113,Site114,Site115,Site116,Site117,Site118,Site119,Site120,Site121,Site122,Site123,Site124,Site125,Site126,Site127,Site128,Site129,Site130,Site131,Site132,Site133,Site134,Site135,Site136,Site137,Site138,Site139,Site140,Site141,Site142,Site143,Site144,Site145,Site146,Site147,Site148,Site149,Site150,Site151,Site152,Site153,Site154,Site155,Site156,Site157,Site158,Site159,Site160,Site161,Site162,Site163,Site164,Site165,Site166,Site167,Site168,Site169,Site170,Site171,Site172,Site173,Site174,Site175,Site176,Site177,Site178,Site179,Site180,Site181,Site182,Site183,Site184,Site185,Site186,Site187,Site188,Site189,Site190,Site191,Site192,Site193,Site194,Site195,Site196,Site197,Site198,Site199,Site200,Site201,Site202,Site203,Site204,Site205,Site206,Site207,Site208
1909,75860,113054,214750,219630,369866,369866,89672,89942,4397,37773,38583,25842,36812,37764,37764,7752,27122,27122,14077,45922,10573,8390,8390,295099,744076,3553,12385,27786,31634,116989,168180,169385,174218,174253,11772,34963,35459,39495,39047,36870,37280,2081,8165,54997,64181,17062,0,16791,109199,109960,2383,5785,45381,113452,3714,71437,77440,89096,107181,119753,338952,338952,19573,457716,24228,24228,32135,483996,13710,496063,499143,31589,21191,21191,571372,571993,21297,11103,622709,1795502,17855,6217,39857,39857,45497,2509,6740,10545,936,67711,86517,23555,8161,2361,20311,11608,58032,27502,22194,68926,196870,57318,57318,30903,68737,396950,431084,22618,39480,524740,45820,69673,32519,32519,37044,54728,707124,2985922,14759,44004,52489,1154,106906,152723,48914,61143,42250,42250,71449,64579,69572,19180,24204,71035,43332,176494,25490,186292,238225,279476,279476,11678,12318,911629,3460,299665,355373,23698,59044,17219,17219,20679,41807,5363,15351,1423926,4669543,51778,54562,70757,64023,2033,28364,92387,2026,1337,1990,36205,15667,82358,5686,29134,29134,21415,5074,4763,8899,15813,5215,21028,5259126,10023,17644,12577,36330,5249114,7733,26354,67768,101753,2406,46260,46260,13553,11843,27665,14672,14672,3134,7241,2037,9706,281657,6706,6555,2316077,7967601,8108354
1910,36120,53831,111994,114783,200705,200705,45796,45935,2952,25352,25896,15376,21904,23951,23951,4234,13701,13701,7111,28050,6706,5189,5189,197964,436476,2581,5505,12871,14714,71408,120165,121314,128974,129029,6335,18818,19086,18935,18953,21137,21370,1444,5822,39512,47027,11847,0,11657,79668,80290,1332,3234,25365,63411,1816,34907,40496,44391,53404,59667,189935,189935,9564,249681,16406,16406,20405,267123,9190,275482,277041,21174,10399,10399,334194,335013,10451,5448,350229,1043298,8066,2808,18008,18008,21759,2534,6802,10644,200,44992,57487,10641,2816,1775,9611,5492,27456,13222,10669,33133,98507,30038,30038,18849,39369,208061,226577,12266,21412,277867,32389,45325,25374,25374,27827,37418,392062,1738496,5093,22433,31120,789,60788,86843,27970,34961,27626,27626,47635,47720,51142,14173,16586,52494,32022,130421,11907,87021,111281,141865,141865,5231,5518,553902,2370,180847,219025,9249,33473,13732,13732,16102,30584,6779,13625,878518,2654296,30701,32350,36870,67325,2139,29825,97150,1164,2092,1148,20769,8746,47003,3262,28144,28144,20687,2889,1758,5748,11178,3686,14864,2968745,5973,10517,9812,25096,3036393,3915,13343,34309,51515,1915,36863,36863,10802,9436,22044,12059,12059,3038,7017,1977,9408,185868,6500,6489,1356632,4644409,4713185
1911,73847,110056,187134,190833,304701,304701,60097,60278,3656,31399,32073,19893,28336,27447,27447,5920,18213,18213,9453,33927,7685,6802,6802,182323,541481,2621,8196,16594,18695,81981,125193,126210,133244,133294,8350,24798,25150,26260,26138,27836,28144,1664,6855,46812,54246,13642,303,13424,90657,91271,1757,4265,33461,83646,2569,49403,51308,76907,92516,103369,247301,247301,13535,337213,20634,20634,26722,359428,11389,369549,371922,26237,16655,16655,423751,424038,16739,8728,454546,1300398,13259,4618,29595,29595,32886,2696,7238,11328,343,39471,50434,17492,11330,2404,21572,12329,61637,23781,19190,59601,162135,47963,47963,27295,49427,302829,322797,13232,23095,378607,33564,47515,25698,25698,28344,38691,498734,2106369,20488,44033,42257,908,81122,115887,34340,42925,31718,31718,54745,50688,54627,15054,19091,55757,34012,138531,27611,201796,258050,224467,224467,7642,8062,709356,2727,234571,278506,19843,47717,12574,12574,15301,31966,6819,14696,1114357,3318766,41687,43926,52451,66843,2121,29612,96455,1901,1948,1380,33963,11400,73961,5331,28045,28045,20611,5938,2556,6872,18204,6004,24208,3749752,7626,13427,9979,28203,3724730,7346,25030,64363,96642,2280,43827,43827,12839,11221,26208,12657,12657,3035,7009,1973,9395,252351,6491,6729,2245932,6233573,6230087
1912,71574,106668,233994,240104,428200,428200,94180,94465,4695,40323,41190,26371,37564,40893,40893,7903,25645,25645,13310,43563,11449,8304,8304,196729,718812,3670,11059,29370,33948,122550,185565,187047,189538,189557,11159,33143,33613,40447,39687,34494,34877,2161,8314,55683,67139,17714,797,17429,117009,117956,2450,5948,46650,116623,3440,66167,70780,92577,111367,124433,333584,333584,18129,474620,27574,27574,37371,504738,13831,516533,520350,31868,22419,22419,627739,629438,22531,11749,694719,1899902,17635,6142,39368,39368,45200,2888,7752,12129,361,69997,89438,23266,9827,4103,23539,13452,67252,26120,21080,65465,201791,59428,59428,32122,69504,403859,437582,22345,39007,531887,51679,75246,34602,34602,39070,56544,720968,3118464,17770,51348,60264,1683,106756,152508,44735,55920,43931,43931,86535,73607,80896,21862,35317,80967,49390,201168,33928,247960,317084,292456,292456,9496,10017,1038964,5046,358962,440248,39087,90661,16296,16296,21342,52174,5900,20476,1701944,4758216,59451,62646,76370,71718,2276,31772,103490,2866,2884,2139,51169,16067,110321,8034,28128,28128,20674,6995,4072,8272,22330,7363,29693,5344081,11888,20931,8896,32339,5344054,9266,31580,81204,121929,3067,58979,58979,17280,15098,35269,14221,14221,3441,7946,2237,10653,350801,7362,6761,2868572,8483312,8359910
1913,52044,77562,154381,158067,271550,271550,56641,56810,2922,25108,25646,17632,25115,26606,26606,5717,15077,15077,7824,31116,7451,10545,10545,174138,498342,3211,6637,15569,17803,77191,133564,134892,141463,141509,7240,21505,21812,22395,22330,25915,26203,1697,6688,45104,51668,13904,531,13682,87768,88312,1841,4472,35064,87659,2455,47239,53783,52990,63743,71223,243518,243518,12944,298465,18523,18523,21871,317855,9202,326363,327667,21203,13854,13854,389633,390494,13924,7259,414315,1209078,10181,3544,22722,22722,25938,2872,7713,12068,171,39473,50437,13429,4219,3107,14877,8500,42505,15810,12759,39624,121633,35782,35782,19150,40529,239769,259057,12780,22306,313751,32564,46041,23797,23797,26353,36346,428900,1918690,7628,29478,39216,1052,77824,111180,31061,38827,30143,30143,56824,47871,52435,14218,22118,52657,32120,130829,13009,95089,121596,169922,169922,6130,6466,663737,3161,223693,274598,16628,48928,13165,13165,16326,35634,8653,17781,1077892,2960174,38687,40765,43454,77306,2453,34247,111553,1649,3266,1234,29434,10934,65153,4622,28312,28312,20809,3895,976,7047,15549,5128,20677,3280276,6616,11649,9529,25807,3342948,5048,17202,44232,66415,2127,40909,40909,11986,10472,24463,12171,12171,2922,6749,1899,9047,217090,6251,6422,1912182,5367765,5214390
1914,78501,116990,227758,233073,396705,396705,103151,103462,5135,44090,45037,28201,40171,39794,39794,8359,25324,25324,13143,45722,11142,10013,10013,267458,760963,6230,11148,27146,31146,117762,187821,189469,194587,194624,13202,39211,39768,41581,41379,40470,40920,2367,9543,64779,75761,19404,664,19093,128278,129186,2846,6912,54220,135550,3839,73811,80743,91381,109926,122823,371792,371792,20226,464546,28143,28143,33923,494187,12902,505891,508144,29731,22045,22045,584640,585433,22157,11553,627367,1837613,22058,7682,49239,49239,53025,3498,9391,14697,282,45430,58051,29100,11061,9273,20904,11945,59728,25955,20944,65047,202213,59669,59669,30578,72487,416365,454174,25054,43730,564573,51727,78149,37952,37952,42963,62552,769500,2993629,20001,57851,67931,1975,109516,156451,47036,58795,41640,41640,91696,78953,87516,23448,41495,86848,52978,215777,27484,200867,256861,303906,303906,9398,9914,1122496,5927,416964,512465,60517,121109,20311,20311,26238,62463,9629,26752,1915099,5090858,67012,70613,86354,87997,2794,38983,126980,4223,2510,1617,75408,20844,159745,11839,28910,28910,21249,6481,4639,8569,23847,7864,31711,5776079,13536,23828,10797,36698,5772376,11045,37642,96788,145326,3651,70234,70234,20579,17980,42000,13838,13838,3656,8446,2377,11319,447129,7820,6562,3730724,9530216,8961387
1915,50939,75913,152237,155896,268645,268645,47451,47592,4678,40185,41047,23555,33553,31466,31466,5387,16929,16929,8787,29183,8811,5354,5354,152151,468652,2300,7459,17631,20172,86500,144838,146209,151690,151729,6367,18908,19177,17530,17711,18326,18528,1675,5695,36619,40754,13744,505,13524,73558,73899,1765,4289,33636,84092,2561,49259,56103,51211,61605,68832,241286,241286,13498,296202,20077,20077,23378,317138,8727,325177,326464,20106,14362,14362,383798,384529,14434,7525,399006,1116600,8181,2848,18262,18262,22024,2511,6741,10550,249,45139,57677,10794,3620,1345,12131,6933,34658,13153,10613,32963,105598,36359,36359,17956,38510,220678,239220,12286,21447,290162,28941,41898,21753,21753,24212,33817,397375,1819251,6547,23618,30641,547,74629,106612,30070,37586,27792,27792,41432,41445,43778,12309,11463,45591,27810,113270,16894,123470,157889,167064,167064,6616,6980,541411,1636,168908,194928,6726,23236,10508,10508,12122,21993,6211,10877,811470,2713486,30227,31851,35144,56023,1779,24819,80842,780,1793,1264,13890,8217,33803,2180,27744,27744,20391,3193,1081,4592,10125,3340,13465,2976586,5317,9363,9240,23092,3041795,3926,13372,34388,51632,1160,22324,22324,6540,5716,13349,10370,10370,2440,5636,1587,7555,140940,5220,6547,1216732,4447092,4494044
1916,57828,86180,165730,169546,287062,287062,60147,60328,3617,31064,31730,21120,30087,32765,32765,7043,19591,19591,10169,31350,9174,6891,6891,168939,514357,2758,7216,18147,20880,96642,140945,141987,149639,149693,8671,25754,26118,27929,27727,27765,28074,1953,6894,44935,51193,16000,674,15744,91222,91740,1825,4431,34747,86871,2807,53995,55933,65785,79136,88420,240356,240356,14795,324833,24895,24895,30450,351169,10768,360784,362948,24813,18900,18900,428178,428866,18994,9905,465976,1312694,12782,4451,28531,28531,31818,2944,7906,12372,355,39452,50412,16862,5676,2434,18537,10593,52962,18066,14577,45277,149312,52028,52028,24071,51712,307126,332062,16523,28841,401192,38534,55959,28803,28803,32107,45027,544536,2157438,10264,35549,45383,1117,93865,134093,41143,51428,38405,38405,66737,61333,66178,18214,23485,67465,41154,167623,26334,192466,246119,234675,234675,9189,9694,818225,3355,278283,332339,19314,53610,15162,15162,18517,39023,7973,17667,1300376,3680231,44771,47175,53971,70493,2238,31230,101723,1873,2664,1719,33453,13747,75368,5253,28353,28353,20840,4976,2003,7489,19980,6589,26569,4088523,8682,15285,11425,32127,4134556,6738,22966,59055,88671,2213,42570,42570,12476,10897,25455,14319,14319,3016,6969,1964,9342,245356,6455,6750,2139174,6504170,6467346
1917,76065,113362,233733,239508,417328,417328,84826,85082,3682,31612,32291,21686,30893,36959,36959,8702,24013,24013,12462,43904,10349,8341,8341,227720,724552,3560,9881,27204,31536,111651,178808,180388,185355,185390,10887,32331,32789,35997,35639,31944,32299,2073,8430,57340,68009,16993,801,16722,115497,116379,2232,5425,42544,106361,3076,59140,63164,86344,103869,116053,304553,304553,16204,428677,26187,26187,34788,457099,11904,467212,470564,27426,20658,20658,545316,546170,20762,10826,592312,1743017,16587,5775,37025,37025,42423,2897,7778,12174,361,64768,82762,21882,7850,2689,18868,10783,53915,19490,15727,48844,177145,53460,53460,27212,67468,376838,413156,24067,42006,512983,46321,71699,32263,32263,37076,55893,702274,2906775,14194,42599,50980,1300,115418,164884,48957,61198,44295,44295,77221,64990,70622,19302,27294,71489,43607,177618,24834,181494,232090,265684,265684,9863,10403,938920,3900,327158,389977,46009,85866,18835,18835,22735,46561,8307,19572,1526817,4643361,50291,52994,67115,66082,2098,29272,95354,2687,4850,1659,47989,18077,106472,7533,28584,28584,21007,5387,4152,9082,20304,6697,27001,5215105,16774,29532,7131,33066,5215782,8549,29141,74938,112517,2806,53973,53973,15813,13817,32275,13724,13724,3135,7240,2037,9704,342981,6704,6421,2848475,8237091,7997097
1918,70536,105120,211220,216310,373050,373050,93769,94051,5049,43363,44294,28130,40070,39815,39815,8783,25714,25714,13347,43853,11149,8960,8960,218715,683658,4892,10420,26096,30015,120140,184946,186471,192222,192263,11568,34356,34842,36871,36648,35234,35625,2098,9181,63698,73260,17193,780,16919,119779,120569,2382,5784,45363,113404,3413,65600,71256,84206,101297,113179,324506,324506,17972,436017,26002,26002,33459,463957,12153,474560,477466,28003,20800,20800,554031,554918,20905,10900,595929,1707725,17917,6239,39992,39992,46092,2930,7866,12309,354,73211,93549,23635,9351,5325,22621,12927,64634,22243,17950,55746,183306,52425,52425,27345,61400,363758,394479,20358,35535,481979,45305,66777,33575,33575,37648,53563,654508,2878763,16907,49469,58441,1218,113320,161884,51618,64523,42242,42242,73063,57182,62456,16983,25549,62901,38369,156279,24478,178894,228766,251380,251380,10215,10776,889923,3648,300903,359705,27254,64564,23278,23278,26926,49232,9251,19797,1426209,4373313,57649,60749,73356,73412,2331,32522,105934,2560,4471,1007,45722,13692,97913,7179,28807,28807,21173,6129,3732,8151,17388,5735,23123,4927229,11941,21023,5150,28468,4947834,8593,29289,75314,113083,2698,51898,51898,15205,13287,31034,13063,13063,3048,7041,1981,9437,272212,6520,6391,2024035,7211751,7152511
