Date,Flow
1951-10-01,2460
1951-10-02,2660
1951-10-03,2690
1951-10-04,2660
1951-10-05,2820
1951-10-06,2980
1951-10-07,2940
1951-10-08,2920
1951-10-09,2690
1951-10-10,2440
1951-10-11,2530
1951-10-12,2550
1951-10-13,2370
1951-10-14,2390
1951-10-15,2440
1951-10-16,2450
1951-10-17,2460
1951-10-18,2400
1951-10-19,2520
1951-10-20,2460
1951-10-21,2520
1951-10-22,2570
1951-10-23,2450
1951-10-24,2520
1951-10-25,2600
1951-10-26,3260
1951-10-27,4030
1951-10-28,3390
1951-10-29,3360
1951-10-30,3060
1951-10-31,2920
1951-11-01,2940
1951-11-02,2920
1951-11-03,2900
1951-11-04,2880
1951-11-05,3210
1951-11-06,3080
1951-11-07,3050
1951-11-08,3050
1951-11-09,3030
1951-11-10,3060
1951-11-11,3100
1951-11-12,3100
1951-11-13,3030
1951-11-14,2980
1951-11-15,3130
1951-11-16,3120
1951-11-17,3060
1951-11-18,2730
1951-11-19,2900
1951-11-20,2570
1951-11-21,2590
1951-11-22,2770
1951-11-23,3260
1951-11-24,3300
1951-11-25,3100
1951-11-26,3030
1951-11-27,3000
1951-11-28,2630
1951-11-29,2660
1951-11-30,2820
1951-12-01,2880
1951-12-02,2830
1951-12-03,2890
1951-12-04,2920
1951-12-05,2890
1951-12-06,2980
1951-12-07,2770
1951-12-08,2620
1951-12-09,2400
1951-12-10,2200
1951-12-11,2000
1951-12-12,2080
1951-12-13,2390
1951-12-14,2860
1951-12-15,2880
1951-12-16,2630
1951-12-17,2700
1951-12-18,2600
1951-12-19,2500
1951-12-20,2600
1951-12-21,2700
1951-12-22,2830
1951-12-23,3030
1951-12-24,3190
1951-12-25,3030
1951-12-26,2880
1951-12-27,2700
1951-12-28,2570
1951-12-29,2620
1951-12-30,4070
1951-12-31,5550
1952-01-01,3490
1952-01-02,3150
1952-01-03,2700
1952-01-04,2400
1952-01-05,2200
1952-01-06,2400
1952-01-07,2300
1952-01-08,2300
1952-01-09,2400
1952-01-10,2500
1952-01-11,2500
1952-01-12,2600
1952-01-13,2700
1952-01-14,2800
1952-01-15,3000
1952-01-16,3100
1952-01-17,3200
1952-01-18,3200
1952-01-19,3100
1952-01-20,3100
1952-01-21,3000
1952-01-22,3000
1952-01-23,3000
1952-01-24,2900
1952-01-25,3000
1952-01-26,3200
1952-01-27,3200
1952-01-28,3200
1952-01-29,3000
1952-01-30,2700
1952-01-31,2400
1952-02-01,2400
1952-02-02,2500
1952-02-03,2600
1952-02-04,2780
1952-02-05,2630
1952-02-06,2490
1952-02-07,2420
1952-02-08,2280
1952-02-09,2410
1952-02-10,2440
1952-02-11,2490
1952-02-12,2450
1952-02-13,2420
1952-02-14,2520
1952-02-15,2500
1952-02-16,2370
1952-02-17,2300
1952-02-18,2490
1952-02-19,2490
1952-02-20,2340
1952-02-21,2240
1952-02-22,2490
1952-02-23,2600
1952-02-24,2550
1952-02-25,2390
1952-02-26,2180
1952-02-27,2140
1952-02-28,2250
1952-02-29,2350
1952-03-01,2400
1952-03-02,2300
1952-03-03,2300
1952-03-04,2200
1952-03-05,2300
1952-03-06,2400
1952-03-07,2440
1952-03-08,2530
1952-03-09,2840
1952-03-10,3130
1952-03-11,3030
1952-03-12,2630
1952-03-13,2560
1952-03-14,2560
1952-03-15,2600
1952-03-16,2560
1952-03-17,2770
1952-03-18,2880
1952-03-19,2690
1952-03-20,2700
1952-03-21,2800
1952-03-22,2800
1952-03-23,2700
1952-03-24,2730
1952-03-25,2760
1952-03-26,2860
1952-03-27,3360
1952-03-28,3550
1952-03-29,3630
1952-03-30,3930
1952-03-31,4170
1952-04-01,3830
1952-04-02,3530
1952-04-03,3550
1952-04-04,3510
1952-04-05,3470
1952-04-06,3630
1952-04-07,3890
1952-04-08,4820
1952-04-09,5700
1952-04-10,5620
1952-04-11,6030
1952-04-12,5950
1952-04-13,6180
1952-04-14,6390
1952-04-15,6990
1952-04-16,8240
1952-04-17,9780
1952-04-18,11100
1952-04-19,13500
1952-04-20,15500
1952-04-21,16500
1952-04-22,17400
1952-04-23,17000
1952-04-24,16400
1952-04-25,18600
1952-04-26,21100
1952-04-27,23400
1952-04-28,26400
1952-04-29,27400
1952-04-30,23300
1952-05-01,20700
1952-05-02,21400
1952-05-03,25200
1952-05-04,31800
1952-05-05,38800
1952-05-06,43400
1952-05-07,45300
1952-05-08,42200
1952-05-09,40900
1952-05-10,38600
1952-05-11,34000
1952-05-12,32400
1952-05-13,32900
1952-05-14,35200
1952-05-15,37800
1952-05-16,39500
1952-05-17,38400
1952-05-18,32800
1952-05-19,28600
1952-05-20,25600
1952-05-21,24900
1952-05-22,24900
1952-05-23,23000
1952-05-24,20600
1952-05-25,19400
1952-05-26,20300
1952-05-27,21800
1952-05-28,23600
1952-05-29,25300
1952-05-30,27400
1952-05-31,28900
1952-06-01,30000
1952-06-02,31600
1952-06-03,33300
1952-06-04,37600
1952-06-05,41700
