WDID,Admin,Decree,Source
3600507,12950,1,SLATE CREEK
3600507,13301,1.37,SLATE CREEK
3600507,17806,1,SLATE CREEK
3600507,22964.21102,2.13,SLATE CREEK
3600507,30184.23162,5.5,SLATE CREEK
3600603,19239,3.5,BLUE RIVER
3600603,20228,1.25,BLUE RIVER
3600603,32075.20228,6.21,BLUE RIVER
3600603,32075.25707,6.02,BLUE RIVER
3600606,31258,90,OTTER CREEK
3600642,19909,6.35,BLUE RIVER
3600642,49673.49466,10,BLUE RIVER
3600642,49798,3,BLUE RIVER
3600642,52230.49466,10,BLUE RIVER
3600642,53325.49773,3,BLUE RIVER
3600645,17288,5,ELLIOTT CREEK
3600645,19919,2.5,ELLIOTT CREEK
3600645,20294,2.5,ELLIOTT CREEK
3600645,21975.20392,10,ELLIOTT CREEK
3600645,32075.23878,14,ELLIOTT CREEK
3600645,33846,3.38,ELLIOTT CREEK
3600649_D,11110,1,SLATE CREEK
3600649_D,11114,1,SLATE CREEK
3600649_D,11840,3.5,SLATE CREEK
3600649_D,14093,13.4,SLATE CREEK
3600649_D,17363,1.25,SLATE CREEK
3600649_D,19180,4,SLATE CREEK
3600649_D,20615,4,SLATE CREEK
3600649_D,20615,8,SLATE CREEK
3600649_D,23296.22888,8,SLATE CREEK
3600649_D,25715.24262,2,SLATE CREEK
3600649_D,32075.17167,9.6,SLATE CREEK
3600649_D,32075.2366,22,SLATE CREEK
3600649_D,32075.25566,4,SLATE CREEK
3600649_D,32075.30102,12.39,SLATE CREEK
3600649_D,49673.47786,3,SLATE CREEK
3600649_D,49673.47786,3,SLATE CREEK
3600658,23296.22431,3.4,WILLOW CREEK
3600658,36311,8,WILLOW CREEK
3600660,12936,6,BLUE RIVER
3600660,30184.18262,2,BLUE RIVER
3600660,30184.23526,17.1,BLUE RIVER
3600662_D,22964.22029,2,ELLIOTT CREEK
3600662_D,22964.22029,10,ELLIOTT CREEK
3600662_D,22964.22029,1,ELLIOTT CREEK
3600662_D,22964.22029,5,ELLIOTT CREEK
3600662_D,22964.22029,25,ELLIOTT CREEK
3600662_D,22964.22029,0.5,ELLIOTT CREEK
3600662_D,22964.22029,25,ELLIOTT CREEK
3600662_D,22964.22029,2,ELLIOTT CREEK
3600662_D,22964.22029,3,ELLIOTT CREEK
3600662_D,99999.99999,999,ELLIOTT CREEK
3600671,14397,1.5,BLUE RIVER
3600671,14884,0.65,BLUE RIVER
3600671,22965.22553,1.5,BLUE RIVER
3600671,32075.2578,2,BLUE RIVER
3600671,32075.31166,18.8,BLUE RIVER
3600671,35929,15,BLUE RIVER
3600687,9324,3.25,SLATE CREEK
3600687,32075.09324,13.4,SLATE CREEK
3600709,30184.29584,18.33,BLUE RIVER
3600709,32075.11444,3,BLUE RIVER
3600709,32075.18262,17.85,BLUE RIVER
3600709,45290.45144,36.62,BLUE RIVER
3600725,19523,1,BLACK CREEK
3600725,32075.19523,4,BLACK CREEK
3600725,32075.2283,6.6,BLACK CREEK
3600725,37421,2.2,BLACK CREEK
3600728,18515,3,BLACK CREEK
3600728,32075.1888,3,BLACK CREEK
3600728,32075.22837,3,BLACK CREEK
3600728,37407,6.53,BLACK CREEK
3600729,19510,3,BLACK CREEK
3600729,32075.1951,3,BLACK CREEK
3600729,32075.22844,7.6,BLACK CREEK
3600729,37416,3.4,BLACK CREEK
3600729,99999.99999,999,BLACK CREEK
3600734,32075.28032,18.67,BLUE RIVER
3600734,99999.99999,999,BLUE RIVER
3600765,17046,5,BLUE RIVER
3600765,32075.27539,9.87,BLUE RIVER
3600765,99999.99999,999,BLUE RIVER
3600775,14703,5.25,BLUE RIVER
3600775,53325.52868,10.75,BLUE RIVER
3600776_D,11443,8,BLUE RIVER
3600776_D,13650,4,BLUE RIVER
3600776_D,19570,1.25,BLUE RIVER
3600776_D,30254,3,BLUE RIVER
3600776_D,31697,1,BLUE RIVER
3600776_D,53325.52868,17.2,BLUE RIVER
3600776_D,53325.52868,10,BLUE RIVER
3600780,19601,2.2,BLUE RIVER
3600780,30184.30107,9.3,BLUE RIVER
3600780,35915,12,BLUE RIVER
3600780,99999.99999,999,BLUE RIVER
3600784,12191,3.5,STRAIGHT CREEK
3600796,13259,3.25,BRUSH CREEK
3600796,32075.20453,13.79,BRUSH CREEK
3600801,15157,15,DEEP CREEK
3600801,18871,15,DEEP CREEK
3600801,99999.99999,999,DEEP CREEK
3600829,18005,3.5,STRAIGHT CREEK
3600832,16223,12.5,MARTIN CREEK
3600841,31566,35,SNAKE RIVER
3600841,99999.99999,999,SNAKE RIVER
3600868_D,14397,5.07,CATARACT CREEK
3600868_D,14397,2,CATARACT CREEK
3600868_D,14929,4,CATARACT CREEK
3600868_D,16588,2,CATARACT CREEK
3600868_D,19413,3,CATARACT CREEK
3600868_D,20696,2,CATARACT CREEK
3600868_D,99999.99999,999,CATARACT CREEK
3600881,31258,1726,BLUE RIVER
3600908,44925.44721,2.5,MINERS CREEK
3600908,47847.47116,3.7,MINERS CREEK
3600908,47968,1.1,MINERS CREEK
3600989,99999.99999,999,WILLOW CREEK
3601008,47483,2.9,BLUE RIVER
3601016,99999.99999,999,KEYSTONE CREEK
3604512HU,99999.99999,0,BLUE RIVER
3604626,15829,4.5,PERU CREEK
3604626,19875,4,PERU CREEK
3604626,23296.224,4,PERU CREEK
3604626,30184.16801,5.48,PERU CREEK
3604626,30184.23561,10,PERU CREEK
3604626,30951,3,PERU CREEK
3604626,32075.18444,2.72,PERU CREEK
3604626,32075.23561,10,PERU CREEK
3604626,33289,12.96,PERU CREEK
3604626,40020,31.8,PERU CREEK
3604626,99999.99999,999,PERU CREEK
3604683,35927,540,BLUE RIVER
3604683SU,99999.99999,0,BLUE RIVER
3604684,35927.00004,520,BLUE RIVER
3604685,30184.21915,16,INDIANA CREEK
3604699,30184.29071,77,BLUE RIVER
36GMCON,99999,0,#N/A
36_ADC017,10652,52.26,#N/A
36_ADC017,17774,13.33,#N/A
36_ADC017,20534,1.5,#N/A
36_ADC017,22439,50.06,#N/A
36_ADC017,31222,14,#N/A
36_ADC017,23824,94.86,#N/A
36_ADC017,42929,0.04,#N/A
36_ADC017,47389,0.33,#N/A
36_ADC018,13284,18.32,#N/A
36_ADC018,18089,35.21,#N/A
36_ADC018,20593,1.5,#N/A
36_ADC018,12174,2.5,#N/A
36_ADC018,25435,32.1,#N/A
36_ADC019,11640,7.2,#N/A
36_ADC019,18471,14,#N/A
36_ADC019,31563,3.51,#N/A
36_ADC019,20847,59.57,#N/A
36_ADC019,45210,2,#N/A
