WDID,Water Source
3600507,SLATE CREEK
3600603,BLUE RIVER
3600604,OTTER CREEK
3600607,BLUE RIVER
3600609,BRUSH CREEK
3600610,BRUSH CREEK
3600611,BRUSH CREEK
3600613,BRUSH CREEK
3600614,BEAVER CREEK
3600617,MARYLAND CREEK
3600618,FISH CREEK
3600619,BLUE RIVER
3600620,BLUE RIVER
3600621,STRAIGHT CREEK
3600623,PASS CREEK
3600624,PASS CREEK
3600625,TENMILE CREEK
3600626,TENMILE CREEK
3600630,STRAIGHT CREEK
3600631,BRUSH CREEK
3600633,BLACK CREEK
3600634,MINERS CREEK
3600635,MEADOW CREEK
3600636,MEADOW CREEK
3600637,GILBERT CREEK
3600640,QUAKING ASP CREEK
3600641,WILLOW CREEK
3600642,BLUE RIVER
3600643,BEAVER CREEK
3600644,CATARACT CREEK
3600645,ELLIOTT CREEK
3600646,CATARACT CREEK
3600647,CATARACT CREEK
3600649,SLATE CREEK
3600650,BLUE RIVER
3600651,SAWMILL CREEK
3600652,BEAVER CREEK
3600653,BEAVER CREEK
3600654,SLATE CREEK
3600655,SLATE CREEK
3600656,SPRUCE CREEK
3600658,WILLOW CREEK
3600659,SLATE CREEK
3600660,BLUE RIVER
3600661,BLUE RIVER
3600662,ELLIOTT CREEK
3600663,TENMILE CREEK
3600664,MEADOW CREEK
3600665,MINERS CREEK
3600666,BIG GULCH
3600667,NORTH TENMILE CREEK
3600668,ELLIOTT CREEK
3600670,BOULDER CREEK
3600671,BLUE RIVER
3600675,BEAVER CREEK
3600676,SNAKE RIVER
3600678,PEBBLE CREEK
3600679,SODA CREEK
3600680,SODA CREEK
3600683,KEYSTONE CREEK
3600687,SLATE CREEK
3600689,BLACK CREEK
3600690,CATARACT CREEK
3600691,OTTER CREEK
3600692,OTTER CREEK
3600693,OTTER CREEK
3600694,OTTER CREEK
3600695,OTTER CREEK
3600696,BLACK CREEK
3600697,HARSHA GULCH
3600699,ELLIOTT CREEK
3600700,BLUE RIVER
3600702,BLACK CREEK
3600703,STRAIGHT CREEK
3600704,PASS CREEK
3600705,BLUE RIVER
3600706,PASS CREEK
3600709,BLUE RIVER
3600710,BLUE RIVER
3600712,BRUSH CREEK
3600713,BLUE RIVER
3600714,WILLOW CREEK
3600715,WILLOW CREEK
3600716,SLATE CREEK
3600717,BLUE RIVER
3600718,NORTH TENMILE CREEK
3600719,CATARACT CREEK
3600720,ACORN CREEK
3600721,ACORN CREEK
3600722,ACORN CREEK
3600723,ACORN CREEK
3600724,ACORN CREEK
3600725,BLACK CREEK
3600726,WILLOW CREEK
3600727,WILLOW CREEK
3600728,BLACK CREEK
3600729,BLACK CREEK
3600730,BOULDER CREEK
3600733,BLACK CREEK
3600734,BLUE RIVER
3600736,MEADOW CREEK
3600739,SNAKE RIVER
3600741,MIDDLE BARTON CREEK
3600742,MIDDLE BARTON CREEK
3600743,MILLER GULCH
3600744,MILLER GULCH
3600745,BLACK CREEK
3600746,BLACK CREEK
3600749,BLUE RIVER
3600753,SLATE CREEK
3600754,SNAKE RIVER
3600757,SNAKE RIVER
3600758,BEAVER CREEK
3600759,ACORN CREEK
3600761,SLATE CREEK
3600762,OTTER CREEK
3600763,SHEEP CREEK
3600764,OTTER CREEK
3600765,BLUE RIVER
3600766,PASS CREEK
3600767,BOULDER CREEK
3600768,BOULDER CREEK
3600769,BOULDER CREEK
3600770,SOUTH FORK DEEP CREEK
3600771,ACORN CREEK
3600775,BLUE RIVER
3600776,BLUE RIVER
3600777,BLUE RIVER
3600778,KEYSTONE CREEK
3600779,SNAKE RIVER
3600780,BLUE RIVER
3600782,SPRUCE CREEK
3600783,QUAKING ASP CREEK
3600784,STRAIGHT CREEK
3600785,STRAIGHT CREEK
3600788,ELLIOTT CREEK
3600789,BLUE RIVER
3600790,SNAKE RIVER
3600791,BOULDER CREEK
3600792,BOULDER CREEK
3600793,WILLOW CREEK
3600794,WILLOW CREEK
3600795,BRUSH CREEK
3600796,BRUSH CREEK
3600797,WILLOW CREEK
3600800,SLATE CREEK
3600801,DEEP CREEK
3600802,DEEP CREEK
3600803,DEEP CREEK
3600806,ROCK CREEK
3600809,SODA CREEK
3600810,BUSHEE CREEK
3600811,BUSHEE CREEK
3600812,BUSHEE CREEK
3600813,BUSHEE CREEK
3600814,BUSHEE CREEK
3600815,ACORN CREEK
3600816,ROCK CREEK
3600817,SODA CREEK
3600818,BRUSH CREEK
3600819,BRUSH CREEK
3600820,SPRING CREEK
3600821,SPRING CREEK
3600822,SPRING CREEK
3600824,ROCK CREEK
3600825,SODA CREEK
3600826,BIG GULCH
3600827,BLUE RIVER
3600828,BIG GULCH
3600829,STRAIGHT CREEK
3600832,MARTIN CREEK
3600835,STRAIGHT CREEK
3600836,STRAIGHT CREEK
3600837,STRAIGHT CREEK
3600838,STRAIGHT CREEK
3600839,SNAKE RIVER
3600846,BIG GULCH
3600847,BIG GULCH
3600849,SQUAW CREEK
3600850,SQUAW CREEK
3600851,SQUAW CREEK
3600852,VENDETT GULCH CREEK
3600853,WILLOW CREEK
3600854,BLUE RIVER
3600855,WILLOW CREEK
3600856,WILLOW CREEK
3600857,BRUSH CREEK
3600858,HARRIGAN CREEK
3600859,HARRIGAN CREEK
3600860,HARRIGAN CREEK
3600861,HARRIGAN CREEK
3600862,HARRIGAN CREEK
3600863,FISH CREEK
3600864,BLUE RIVER
3600865,SLATE CREEK
3600866,SLATE CREEK
3600868,CATARACT CREEK
3600869,WEST TENMILE CREEK
3600870,SODA CREEK
3600871,MIDDLE BARTON CREEK
3600872,MIDDLE BARTON CREEK
3600873,MIDDLE BARTON CREEK
3600874,MIDDLE BARTON CREEK
3600875,MIDDLE BARTON CREEK
3600876,BLUE RIVER
3600879,OTTER CREEK
3600880,BLUE RIVER
3600883,BLUE RIVER
3600884,BLUE RIVER
3600886,BLUE RIVER
3600889,BLUE RIVER
3600892,BLUE RIVER
3600893,TENMILE CREEK
3600896,BLUE RIVER
3600897,SHANE GULCH
3600898,SHANE GULCH
3600899,BLUE RIVER
3600902,BLUE RIVER
3600903,BLUE RIVER
3600904,BLUE RIVER
3600905,MINERS CREEK
3600912,BLUE RIVER
3600913,BLUE RIVER
3600914,BLUE RIVER
3600917,BLUE RIVER
3600918,SWAN RIVER
3600920,BLUE RIVER
3600921,BLUE RIVER
3600926,SWAN RIVER
3600928,STRAIGHT CREEK
3600932,PERU CREEK
3600935,BLUE RIVER
3600936,CUCUMBER CREEK
3600937,BLUE RIVER
3600938,SNAKE RIVER
3600939,MIDDLE BARTON CREEK
3600940,MIDDLE BARTON CREEK
3600941,BLUE RIVER
3600944,SNAKE RIVER
3600945,SPRUCE CREEK
3600946,BLUE RIVER
3600949,BLUE RIVER
3600952,BLUE RIVER
3600965,OTTER CREEK
3600966,OTTER CREEK
3600982,SWAN RIVER
3600988,WILLOW CREEK
3600991,ACORN CREEK
3601001,SALT LICK CREEK
3601002,MUMFORD GULCH
3601003,MUMFORD GULCH
3601004,HORSE CREEK
3601005,BLUE RIVER
3601006,PEBBLE CREEK
3601007,BLUE RIVER
3601008,BLUE RIVER
3601009,SWAN RIVER
3601010,SNAKE RIVER
3601011,KEYSTONE CREEK
3601017,MEADOW CREEK
3601018,DEEP CREEK
3601019,SPRING CREEK
3601020,CAMP CREEK
3601021,KEYSTONE CREEK
3601023,BLUE RIVER
3601024,BLUE RIVER
3601025,QUAKING ASP CREEK
3601026,WEST TENMILE CREEK
3601027,ACORN CREEK
3601030,BUSHEE CREEK
3601042,HARRIGAN CREEK
3601044,BLUE RIVER
3601047,MARTIN CREEK
3601048,SPRING CREEK
3601049,NORTH SPRUCE CREEK
3601051,TENMILE CREEK
3601052,TENMILE CREEK
3601055,PERU CREEK
3601056,PERU CREEK
3601057,PERU CREEK
3601058,PERU CREEK
3601059,PERU CREEK
3601060,PERU CREEK
3601061,PERU CREEK
3601062,PERU CREEK
3601063,PERU CREEK
3601064,PERU CREEK
3601065,PERU CREEK
3601066,PERU CREEK
3601067,PERU CREEK
3601068,PERU CREEK
3601069,PERU CREEK
3601070,PERU CREEK
3601071,PERU CREEK
3601072,PERU CREEK
3601073,PERU CREEK
3601074,PERU CREEK
3601075,PERU CREEK
3601076,PERU CREEK
3601077,PERU CREEK
3601078,PERU CREEK
3601079,PERU CREEK
3601080,WILLOW CREEK
3601081,WILLOW CREEK
3601082,SALT LICK CREEK
3601083,PERU CREEK
3601085,WEST TENMILE CREEK
3601086,WEST TENMILE CREEK
3601087,WEST TENMILE CREEK
3601088,TENMILE CREEK
3601089,WEST TENMILE CREEK
3601090,WEST TENMILE CREEK
3601091,WEST TENMILE CREEK
3601093,SNAKE RIVER
3601094,BLUE RIVER
3601095,BLUE RIVER
3601096,BUSHEE CREEK
3601099,CAMP CREEK
3601100,BLUE RIVER
3601101,BUSHEE CREEK
3601102,BUSHEE CREEK
3601104,BLUE RIVER
3601106,OTTER CREEK
3601109,GILBERT CREEK
3601110,GILBERT CREEK
3601111,WILLOW CREEK
3601113,BLUE RIVER
3601115,BRUSH CREEK
3601118,MIDDLE BARTON CREEK
3601119,BLUE RIVER
3601120,BLUE RIVER
3601121,BLUE RIVER
3601122,OTTER CREEK
3601128,ELLIOTT CREEK
3601129,BLUE RIVER
3601130,DEEP CREEK
3601131,SPRING CREEK
3601132,SPRING CREEK
3601133,SPRUCE CREEK
3601134,SPRUCE CREEK
3601135,BLUE RIVER
3601136,BLUE RIVER
3601138,STRAIGHT CREEK
3601139,STRAIGHT CREEK
3601149,BLUE RIVER
3601150,BLUE RIVER
3601151,CATARACT CREEK
3601152,BLUE RIVER
3601153,BLUE RIVER
3601155,SWAN RIVER
3601157,SPRING CREEK
3603501,BLUE RIVER
3603502,SQUAW CREEK
3603503,SQUAW CREEK
3603504,SQUAW CREEK
3603505,SQUAW CREEK
3603506,BRUSH CREEK
3603507,BRUSH CREEK
3603508,BRUSH CREEK
3603509,BLUE RIVER
3603510,BLUE RIVER
3603511,BLUE RIVER
3603536,SAWMILL CREEK
3603537,BEAVER CREEK
3603539,BRUSH CREEK
3603540,SALT LICK CREEK
3603542,BLUE RIVER
3603543,BLUE RIVER
3603544,BEAVER CREEK
3603547,SQUAW CREEK
3603548,ELLIOTT CREEK
3603549,BEAVER CREEK
3603555,BLUE RIVER
3603557,BLUE RIVER
3603558,SPRUCE CREEK
3603565,SODA CREEK
3603567,SPRUCE CREEK
