Year,ReconCisco,ObservedNaturalCisco,ObservedNaturalStateline
1569,6375458.057,,
1570,8976229.859,,
1571,6948633.14,,
1572,8806790.549,,
1573,5415572.205,,
1574,3739014.822,,
1575,7687193.96,,
1576,5138307.88,,
1577,8169569.029,,
1578,7756915.398,,
1579,5674190.1,,
1580,3028829.006,,
1581,5739857.966,,
1582,6767843.828,,
1583,6064143.727,,
1584,1795732.4,,
1585,5666082.956,,
1586,7754483.255,,
1587,6000097.289,,
1588,7929597.566,,
1589,7446411.782,,
1590,2938028.993,,
1591,5494211.502,,
1592,4753218.539,,
1593,6960793.856,,
1594,8020397.579,,
1595,8628433.38,,
1596,8720854.822,,
1597,5844440.124,,
1598,1765735.968,,
1599,9265654.9,,
1600,2868307.554,,
1601,8763822.686,,
1602,8553036.941,,
1603,8848136.983,,
1604,8900022.705,,
1605,8842461.983,,
1606,7336965.338,,
1607,3905211.274,,
1608,8639783.382,,
1609,6635697.38,,
1610,9225929.895,,
1611,7676654.673,,
1612,6695690.246,,
1613,9097026.305,,
1614,8234426.181,,
1615,8257126.184,,
1616,8013101.149,,
1617,8670590.529,,
1618,7812043.978,,
1619,7316697.478,,
1620,6942147.424,,
1621,10979505.15,,
1622,5570418.656,,
1623,6098193.732,,
1624,4356779.196,,
1625,4038168.436,,
1626,4447579.209,,
1627,7692058.246,,
1628,6691636.674,,
1629,6324383.05,,
1630,6915393.849,,
1631,4291111.33,,
1632,4756461.397,,
1633,9539676.368,,
1634,5420436.492,,
1635,5400168.632,,
1636,6768654.542,,
1637,5844440.124,,
1638,6090086.588,,
1639,7328047.48,,
1640,7463436.785,,
1641,6313843.763,,
1642,7196711.747,,
1643,5801472.261,,
1644,7640172.524,,
1645,3715504.104,,
1646,3698479.102,,
1647,7522618.936,,
1648,6802704.547,,
1649,9225929.895,,
1650,7805558.262,,
1651,7798261.833,,
1652,6268443.756,,
1653,4031682.721,,
1654,3209618.318,,
1655,10015565.72,,
1656,4873204.27,,
1657,6347893.768,,
1658,4820507.834,,
1659,7052404.583,,
1660,7589097.517,,
1661,7213736.749,,
1662,7949865.426,,
1663,6231961.608,,
1664,5666893.67,,
1665,6069008.013,,
